incident_id,site,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-01864,SITE-006,2024-12-07,Fire,critical,42.2,Difficult bed race fund laugh mother fly peace across do season.,Valve Failure,0.6,Under Investigation
INC-04232,SITE-002,2024-04-14,Equip. Failure,Critical,36.9,Become anyone rate collection understand worry option late.,Valve Failure,2.8,Under Investigation
INC-02003,SITE-005,2024-11-10,Fire,low,87.3,Notice million sometimes blood real actually idea really major beautiful radio.,Corrosion,0.6,Open
INC-02056,SITE-001,2023-10-04T00:00:00Z,Spill,High,63.6,Smile great surface Republican decision player program imagine need should magazine across.,Material Fatigue,18.5,Under Investigation
INC-02146,SITE-003,2026-04-07,near miss,High,69.0,Decade capital cell product quite.,Operator Error,4.7,Under Investigation
INC-00055,SITE-002,2026-08-14,Spill,Low,96.2,Occur able top meet history protect find really.,Material Fatigue,11.7,Under Investigation
INC-02176,SITE-005,2025-08-04,Near Miss, medium,63.0,Get school same result natural watch certainly pretty majority.,Sensor Malfunction,2.4,Closed
INC-04047,SITE-004,2026-04-25,,Low,77.5,Hundred discover claim message article risk allow work.,Valve Failure,9.1,Open
INC-05553,SITE-002,2026-01-01,Spill,Low,85.6,Safe lawyer deep animal hair power.,Material Fatigue,3.4,Open
INC-05916,SITE-004,2026-07-02T00:00:00Z,Fire,LOW,85.4,Decade say present old threat recognize staff feeling admit lawyer political reality.,Valve Failure,4.7,Open
INC-05407,SITE-005,2024-09-07,Near Miss,,86.8,Trade still shoulder if computer director medical question suffer management.,Corrosion,10.0,Open
INC-01652,SITE-004,2025-12-31,Fire ,Critical,34.3,Alone education financial offer site question help.,Corrosion,3.0,Open
INC-05548,SITE-006,2025-04-19,Spill,High,92.2,Five thousand reach station rise see financial why wife conference prevent machine sense treat thousand cell.,,18.7,Closed
INC-00271,SITE-006,2024-11-23,Near Miss,Critical,39.7,Church growth figure able green manage position officer suggest.,,1.5,Closed
INC-01885,SITE-003,02/11/2024,Leak,High,43.1,Hear court argue share series voice stock because.,Sensor Malfunction,9.6,Under Investigation
INC-02666,SITE-003,2025-10-09,Leak,High,46.2,Chair another collection sort official candidate analysis every out large buy.,,6.1,Open
INC-02441,SITE-005,2025-09-28,Near Miss,Critical,45.2,Especially sit set rest over anyone you important president specific billion provide evidence type.,,4.7,Under Investigation
INC-00230,SITE-006,12-Feb-2024,Spill,High,44.1,Unit section power understand drive.,Operator Error,4.2,Closed
INC-00362,SITE-001,2024-07-27,Equipment Failure,Critical,58.7,College prove able forget against room trade college.,Material Fatigue,4.1,Closed
INC-00277,SITE-001,2025-06-20,LEAK,Low,88.9,Alone yes similar force child tell peace soon four follow.,Material Fatigue,14.4,Closed
INC-01016,SITE-006,2024-06-14,Near Miss,Medium,76.0,Able perhaps affect range record talk best serve born very.,,4.2,Closed
INC-01410,SITE-003,2025-06-04T00:00:00Z,Fire,High,51.4,Article south another around although view style continue opportunity.,Valve Failure,11.5,Under Investigation
INC-02025,SITE-006,12/02/2026,Leak,High,54.5,Consider soldier compare voice section positive free board.,,7.3,Closed
INC-00608,SITE-002,2025-04-06,Near Miss,High,55.2,Rule similar state prevent yourself strong.,,9.8,Under Investigation
INC-04390,SITE-001,2024-03-08,Fire,Low,85.7,Focus everyone six detail whose ever suggest risk modern stage grow training example hand after.,Operator Error,23.3,Closed
INC-01866,SITE-004,2026-06-15,Near Miss,High,44.7,Rise any table father.,Sensor Malfunction,12.3,Closed
INC-00080,SITE-006,12/28/2025,Leak,Critical,38.7,You huge exactly idea happy front entire society inside.,Valve Failure,2.2,Under Investigation
INC-03466,SITE-002,2025-04-21,Near Miss,crit,53.7,Responsibility student hard son a take process child.,,1.7,Under Investigation
INC-04443,SITE-002,28/08/2024,equipment failure,Low,85.2,Produce reduce class point series college whom action worker moment high individual itself.,Corrosion,8.3,Under Investigation
INC-03835,SITE-002,2024-08-31,Leak,Low,92.6,Run cold loss tell here school bank happy.,Sensor Malfunction,14.4,Closed
INC-02352,SITE-001,2026-02-04,Spill,Medium,69.8,Rock teach often radio most allow weight work example hour character shake.,Material Fatigue,25.8,Open
INC-05746,SITE-003,2026-03-13,Leak,Critical,23.8,Nor see your try wife necessary between finally.,Corrosion,5.7,Closed
INC-01104,SITE-003,2026-01-16,Equipment Failure,Hi,65.2,Never decade blood daughter can tough.,Operator Error,6.6,Open
INC-00423,SITE-004,2024-09-15,Near Miss,High,69.3,Pass now hand deal reflect exist term benefit.,Sensor Malfunction,7.1,Under Investigation
INC-04943,SITE-006,2025-11-10,Leak,High,61.8,Whose beat behavior.,Material Fatigue,24.6,Under Investigation
INC-03804,SITE-005,2026-01-14,Spill,,75.5,Tell only entire research size quite election executive sense beat a listen benefit side wonder.,Valve Failure,14.8,Open
INC-04247,SITE-001,2024-02-20,Near Miss, medium,-5.0,Wish adult within write edge shake next memory laugh voice window nation management east improve.,Valve Failure,1.5,Open
INC-02508,SITE-003,2023-12-30,Leak,Medium,57.2,Up body hold former hold factor cover source whose.,Corrosion,5.7,Under Investigation
INC-01976,SITE-002,2026-02-15,Spill,medium,83.4,Important cut plant age ever plan then yet step issue.,Material Fatigue,5.2,Closed
INC-04483,SITE-006,2024-08-10,equipment failure,Critical,46.5,His six nor bank yourself.,Sensor Malfunction,4.0,Closed
INC-03156,SITE-001,2026-06-07,Spill,MEDIUM,72.0,Oil than product position after.,Valve Failure,6.7,Under Investigation
INC-05884,SITE-006,2024-11-01,equipment failure,Medium,-0.5,Fear remember term it force girl cup blood thus girl world return pressure avoid.,Third-party Damage,16.4,Open
INC-03675,SITE-006,2026-07-23,Leak,High,49.7,Environmental factor adult teacher him again resource including recent believe until.,Valve Failure,9.2,Closed
INC-04300,SITE-001,04-May-2024,Equipment Failure,Low,90.5,Suffer more defense seven yourself class movement.,Sensor Malfunction,9.1,Under Investigation
INC-05851,SITE-005,2025-03-20,Fire,Critical,71.6,Step our short they collection form president attorney rise while central.,,5.8,Closed
INC-01941,SITE-003,2023-12-22,Leak,Critical,27.0,Among simply adult discussion control meeting most knowledge little family also their.,Sensor Malfunction,10.4,Under Investigation
INC-02394,SITE-003,2026-04-17,Leak, High,73.4,We capital race thank sit.,Corrosion,3.5,Open
INC-01023,SITE-006,2025-04-26,Spill,High,53.6,Bill pick pick girl middle hour weight bed place difficult meet myself study.,Valve Failure,2.2,Under Investigation
INC-02311,SITE-002,2023-10-26,Spill,Low,90.2,Pm sit wall speech owner chair policy.,Operator Error,16.1,Under Investigation
INC-03120,SITE-002,2024-10-28,Spill,Low,96.3,None buy happen idea time agree structure painting wrong itself consumer win partner issue center size seek your.,Sensor Malfunction,15.7,Under Investigation
INC-03958,SITE-006,2025-01-15,FIRE,Critical,39.2,Participant admit by indeed likely anyone country want table officer establish.,Sensor Malfunction,7.1,Open
INC-05887,SITE-002,2026-03-17,Equipment Failure,Critical,25.3,Economy whatever describe appear fly.,Material Fatigue,5.5,Closed
INC-02948,SITE-003,2024-08-24,Spill,High,45.4,Interest color class guess game can simple loss police his end day north item heavy plan something offer mean.,Operator Error,3.5,Open
INC-04878,SITE-001,2025-03-25,Leak,Medium,67.7,Stuff project threat once arrive Mr score cup card include.,Operator Error,3.6,Open
INC-00451,SITE-005,2025-03-25T00:00:00Z,,Medium,65.8,Cultural listen hundred us manage catch.,Corrosion,1.9,Closed
INC-01386,SITE-005,2025-02-07,Fire,High,62.4,Drop test enter game turn represent quality kitchen.,,7.9,Under Investigation
INC-00287,SITE-006,2024-12-17,spill,High,48.8,These hotel require door threat drug music.,Sensor Malfunction,5.2,Under Investigation
INC-03954,SITE-001,10-Oct-2025,Near Miss,Critical,67.9,Truth recognize room middle.,Corrosion,5.2,Open
INC-02442,SITE-003,2025-03-15,Leak,High,63.5,Professor against picture despite party act because.,Corrosion,8.0,Open
INC-05028,SITE-005,2026-06-24,Near Miss,Medium,79.9,Simply quite as approach store case thank shoulder reality describe knowledge option bit vote drive detail prove.,,3.0,Open
INC-01420,SITE-005,2024-07-15,Near Miss,Low,81.4,Necessary soon ahead to turn hit.,Operator Error,3.0,Closed
INC-01377,SITE-001,2024-03-18,Equipment Failure,Low,80.3,Us fish daughter really none follow entire north.,Corrosion,8.1,Under Investigation
INC-00442,SITE-006,2025-08-30,Spill,High,55.7,Amount should protect blood own particularly.,Corrosion,10.8,Closed
INC-00414,SITE-005,2024-07-05,Near Miss,Medium,87.1,None citizen military image weight.,Material Fatigue,7.2,Under Investigation
INC-01950,SITE-003,2024-11-14,Equipment Failure,CRITICAL,39.9,Create sure yes least someone painting subject.,Third-party Damage,0.2,Under Investigation
INC-01349,SITE-005,2024-01-23,Near Miss,,89.5,Hand lay ahead single serve might should language.,Corrosion,22.6,Under Investigation
INC-01099,SITE-002,2025-10-12,Near Miss,Medium,83.3,Positive important plan civil million picture will issue maintain.,Operator Error,15.7,Under Investigation
INC-01145,SITE-002,2025-03-11,Near Miss,Medium,66.0,Number establish church name discuss charge instead become see.,,4.6,Under Investigation
INC-05930,SITE-003,2024-08-23,Leak,High,56.8,Wife country bit street point shoulder.,Corrosion,6.4,Under Investigation
INC-01304,SITE-001,2024-02-17T00:00:00Z,Equipment Failure,Medium,90.6,Writer order but continue agree recently reduce outside from generation suffer.,Corrosion,6.1,Open
INC-01973,SITE-003,2026-05-18,fire,,79.7,Be threat action threat challenge walk.,Sensor Malfunction,7.3,Closed
INC-03055,SITE-002,2024-07-11,Equipment Failure,Medium,70.5,Quite walk law me claim many one rate serious.,Valve Failure,2.2,Under Investigation
INC-03206,SITE-003,2024-01-10,Near Miss,Critical,52.9,Change family push film attorney within road cut bed network late natural arrive single rule.,Material Fatigue,8.4,Under Investigation
INC-02114,SITE-003,2026-04-27,Leak, Low,94.2,Hand another Democrat life use hold the foreign appear cost community.,Material Fatigue,16.1,Under Investigation
INC-03180,SITE-006,2023-11-12,Leak,Critical,26.0,Image a door product fine among green treatment agree allow ago.,Sensor Malfunction,15.0,Under Investigation
INC-04688,SITE-001,2025-03-15,Fire,Low,90.5,Age public seat some blue black skin owner across describe vote institution.,Third-party Damage,4.4,Closed
INC-02946,SITE-004,05/14/2024,Spill,Medium,81.0,Life director myself single respond much development dinner study.,,17.4,Open
INC-03941,SITE-005,2024-10-16,Spill,Medium,74.1,During central edge process sea.,,1.8,Closed
INC-00587,SITE-005,2024-05-09,Fire,Medium,71.4,They card red allow table method professor choose.,Sensor Malfunction,11.2,Open
INC-04699,SITE-004,2025-06-18,Equipment Failure,Critical,44.7,Become increase partner appear federal understand note truth manager.,Third-party Damage,22.8,Closed
INC-01760,SITE-004,2025-02-10,Equipment Failure,Medium,93.1,Activity it fight institution ten development school also generation successful second while meeting role forward.,Sensor Malfunction,4.1,Open
INC-02745,SITE-006,09/29/2023,Leak,Medium,80.6,Easy night will wish brother skill.,Operator Error,8.5,Closed
INC-03181,SITE-005,2025-05-16,Near Miss,Critical,39.0,Card law contain instead front center act specific safe.,,3.0,Open
INC-05729,SITE-001,10/02/2024,NEAR MISS,Medium ,98.6,Guy civil purpose capital protect list scientist physical happy leg power size ability high author benefit.,Material Fatigue,10.8,Under Investigation
INC-02126,SITE-005,2023-10-05,Near Miss,Low,84.7,See grow break culture quality budget reason nation hit stuff identify machine fill bank thus on.,Valve Failure,30.5,Open
INC-03559,SITE-006,2025-03-17,Equipment Failure,High,71.3,Think forward step write event.,Valve Failure,2.9,Closed
INC-01802,SITE-002,2024-06-23,Fire,Medium,84.9,Shoulder art reduce figure treatment car fire.,Valve Failure,1.7,Open
INC-01098,SITE-005,2025-05-15,Spill,High,43.7,Affect skin vote specific so bad mouth create.,Valve Failure,4.0,Open
INC-04026,SITE-005,2025-06-20,Equipment Failure,Critical,50.8,Dream money conference candidate design reason offer officer full budget design.,Valve Failure,2.7,Open
INC-03090,SITE-002,2024-01-09,Oil Leak,High,59.0,City myself stuff culture order every but.,Material Fatigue,10.8,Open
INC-04487,SITE-003,2024-03-15,Leak,Medium,71.8,Determine interview structure set difference term smile of camera young significant.,Valve Failure,1.2,Closed
INC-00610,SITE-006,2024-05-08,Spill,Critical,44.7,President mission full go few many mouth election hundred technology.,Material Fatigue,4.9,Open
INC-05059,SITE-004,16/05/2024,Equipment Failure,Low,88.0,With along management save moment fine.,Sensor Malfunction,19.2,Open
INC-02155,SITE-005,2024-10-25,Near Miss,Low,87.7,Current himself today provide suffer production name player voice forget art name ground.,,5.1,Closed
INC-00926,SITE-003,2026-02-23,Spill ,Critical,36.8,Matter production rate its time wind event drug until so without environment ball every.,Valve Failure,6.4,Closed
INC-04946,SITE-004,2024-02-09,Near Miss,Med,65.4,Involve poor fall week action item want enjoy you home fill finally affect nearly offer to.,Valve Failure,1.2,Under Investigation
INC-02172,SITE-004,2023-08-03,Near Miss,Low,92.4,Ago goal section follow yet stand address stock mind fine head director foreign member forward.,Operator Error,8.5,Under Investigation
INC-02182,SITE-001,05/15/2026,Near Miss,Medium,64.9,Institution land most much authority term down option writer.,Third-party Damage,9.7,Closed
INC-03667,SITE-006,05-Nov-2025,Fire,,43.0,Goal single town across several.,,14.1,Closed
INC-02791,SITE-006,2026-02-07,Leak,Medium,-0.5,At pick page according add serve will against.,,5.4,Open
INC-01854,SITE-001,2025-03-03,Equipment Failure,low ,88.7,Market issue family benefit believe.,Material Fatigue,5.4,Open
INC-02125,SITE-005,2025-09-23T00:00:00Z,Spill,HIGH,71.9,About cup little between require bring democratic end program store opportunity.,Corrosion,4.9,Open
INC-01477,SITE-001,2026-07-27,Near Miss,Medium,73.6,Hand blood answer one walk rather begin executive reason everybody piece describe again crime maintain much fire race shake clearly.,Corrosion,3.3,Open
INC-01502,SITE-006,2025-11-06,Near Miss,Critical,32.4,Respond easy play small spend sound rock decade big blue fly question strong act affect mind.,Sensor Malfunction,5.2,Under Investigation
INC-02539,SITE-003,2023-08-20,Equipment Failure,CRITICAL,24.3,Leader enough food road clearly hard network than.,Material Fatigue,3.5,Under Investigation
INC-05516,SITE-005,2026-01-28,Spill,Low,86.1,Role data night also third perform.,Third-party Damage,2.2,Open
INC-01909,SITE-002,2024-12-20,Spill,Low,90.1,Whole everything adult technology.,,8.0,Closed
INC-01972,SITE-005,2024-12-03,Near Miss,High,70.5,Girl responsibility ten begin develop class read.,Third-party Damage,5.2,Under Investigation
INC-01789,SITE-001,12/16/2025,Near Miss,High,55.1,Cost magazine check ahead financial others full give maintain land like cell.,Valve Failure,5.4,Open
INC-01712,SITE-003,2024-04-03,Fire,Medium,62.4,Population carry soldier success indeed former daughter always open.,Sensor Malfunction,2.8,Open
INC-03777,SITE-004,2023-12-06,Equipment Failure,Medium,68.6,Then car data nation anyone medical someone middle tell.,Material Fatigue,1.6,Open
INC-01251,SITE-002,2025-05-27, fire,High,68.7,Foot him near little industry cost either person serve certain much some talk.,Corrosion,9.3,Closed
INC-03579,SITE-006,04/04/2026,Fire,Medium,67.2,Trouble camera bring start pay person.,Operator Error,2.5,Closed
INC-03641,SITE-003,2026-02-14,Leak,Critical,35.5,Even approach time write project who someone seven building sing effort.,Sensor Malfunction,5.5,Under Investigation
INC-05228,SITE-002,2026-01-12,Near Miss,Medium,74.0,Including too own itself image personal effort myself guy trade peace get.,Material Fatigue,4.6,Closed
INC-03838,SITE-001,2024-09-22,Near Miss,Low,87.0,Put himself knowledge travel join sign performance move choice language system impact.,Operator Error,9.8,Under Investigation
INC-00506,SITE-005,2026-02-04,Equipment Failure,Medium,68.6,Agreement off reason born study bank manage speak.,,9.8,Open
INC-05964,SITE-003,2024-12-20,Leak,Medium,76.9,Them head maintain feel against glass hear national early forward.,Corrosion,5.1,Open
INC-05013,SITE-003,2025-01-31,Equipment Failure,Low,81.1,Tv even too enjoy boy reason we blue Mr.,Third-party Damage,2.3,Closed
INC-00328,SITE-004,2023-08-12,Equipment Failure,Low,89.8,Wife south operation rock reach where cut low theory these.,Valve Failure,9.2,Closed
INC-00937,SITE-006,2024-09-12,Leak,Critical,63.8,Ask capital physical position voice mean note than rich.,Valve Failure,2.9,Closed
INC-02976,SITE-001,2024-11-12,Equipment Failure,Low,85.3,Raise risk great both entire floor already leave course or before enjoy street.,Material Fatigue,18.9,Under Investigation
INC-00654,SITE-006,2026-08-24,Leak,High,65.2,Country single hear than reduce red stop.,Operator Error,2.6,Closed
INC-00764,SITE-006,2026-01-23,Near Miss,High,53.6,It improve environment meeting least last stop identify analysis something top wonder down current list back against body.,Sensor Malfunction,9.7,Open
INC-05719,SITE-006,2024-08-21,Leak,,77.4,Beyond administration hear thank manage enough great.,Corrosion,5.8,Closed
INC-04671,SITE-005,10/01/2024,Fire,High,58.6,Once add easy ten accept some ground sure.,Material Fatigue,8.7,Closed
INC-03643,SITE-004,2025-10-31,Equipment Failure,Low,95.4,Story pressure house court relate opportunity again sense they science quickly necessary.,Corrosion,11.1,Closed
INC-01355,SITE-005,2026-02-25,Spill,High,74.9,Heavy statement fund church value once remember than yes shoulder magazine.,,2.7,Open
INC-01317,SITE-001,04/12/2024,Fire,Low,82.5,Site development material should increase black memory head institution boy.,,4.8,Open
INC-00940,SITE-005,2024-03-05,Fire,Low,85.8,Even understand wait pretty do hear market require put leader often white throw yes dream author.,,7.6,Open
INC-02934,SITE-006,2025-01-21,Equipment Failure,Critical,30.9,Travel personal run major despite toward.,,10.1,Under Investigation
INC-05633,SITE-002,2024-05-03T00:00:00Z,Equipment Failure,Low,84.3,Wind avoid husband create.,Valve Failure,2.5,Closed
INC-00136,SITE-003,10-Jan-2026,Spill,High,115.7,Indeed road position thank measure company against level compare piece project government.,,2.3,Under Investigation
INC-05737,SITE-001,2023-11-03,Near Miss,Critical,22.6,Husband affect PM chair to whole run book add dream and describe.,Third-party Damage,3.6,Open
INC-00367,SITE-002,2026-07-14,Equipment Failure,Medium,83.2,Respond keep start picture travel tonight.,Material Fatigue,9.6,Open
INC-04937,SITE-003,2026-07-03,Fire,High,52.2,Family those on Mrs edge so on order million very hour we movie call road evidence more perhaps.,Material Fatigue,3.5,Open
INC-00466,SITE-006,2024-12-19,Near Miss,Low,89.9,Save couple hope easy box care community professional east support.,Material Fatigue,0.9,Closed
INC-02384,SITE-005,2023-08-03,Leak,low,93.2,Painting their or for social us soldier south student national past once time.,Corrosion,3.2,Under Investigation
INC-04686,SITE-006,2024-11-23,Leak,HIGH,70.1,They with just difficult thought against president ahead.,Valve Failure,12.5,Open
INC-02832,SITE-006,2026-04-18,Leak,,72.6,Debate though service new television explain far buy think hotel.,,2.0,Under Investigation
INC-01716,SITE-004,2023-08-27,Fire,Medium,77.6,Today very drop policy case floor expect form need available better occur than forward.,Material Fatigue,8.0,Closed
INC-00184,SITE-005,2023-12-22,Spill,Low,78.4,Its anyone green world great however quite art answer them none look.,Operator Error,6.7,Closed
INC-05503,SITE-006,2026-02-09,EQUIPMENT FAILURE,High,72.6,Since ok rise way clear.,Third-party Damage,6.9,Open
INC-03884,SITE-001,2025-12-08,Equipment Failure,Low,86.6,Exist claim I section follow impact window physical prepare.,Material Fatigue,8.4,Closed
INC-05947,SITE-005,2024-10-05,Spill,Medium,82.7,Fire full theory run.,Material Fatigue,2.5,Closed
INC-00142,SITE-003,2025-02-12,Spill,High,53.2,Responsibility work focus five house indeed laugh pass only choose dinner city baby open.,Sensor Malfunction,9.9,Closed
INC-02254,SITE-001,2025-02-22,Spill,Critical,47.9,Book but alone say find prove lose back then generation method threat what sea foreign indicate.,Operator Error,1.9,Open
INC-03254,SITE-003,2026-04-22,Spill,High,49.5,Star blood something book million we ago.,Material Fatigue,1.7,Under Investigation
INC-00258,SITE-001,2023-11-30,Near Miss,Low,87.0,Entire he local wind various certainly themselves.,Valve Failure,4.4,Under Investigation
INC-02302,SITE-006,2025-02-16,Leak,High,61.0,Bill after entire mean yet themselves big scene.,Third-party Damage,8.1,Open
INC-04873,SITE-006,2025-03-29,Fire,High,66.0,Move need compare information prove event notice accept company what baby kid father under factor.,,6.7,Under Investigation
INC-03814,SITE-003,2024-07-20,Equipment Failure,Medium,81.3,Nearly language ask admit baby approach generation hard kitchen.,Material Fatigue,4.1,Under Investigation
INC-04198,SITE-005,2026-05-19,,Low,98.2,Too forward view well bank very financial parent protect Democrat parent space.,Valve Failure,4.5,Under Investigation
INC-04267,SITE-005,2025-05-04,Leak,,64.0,Since care onto better hope three teach project prove drop source.,Valve Failure,3.4,Under Investigation
INC-03554,SITE-004,2023-08-08,Near Miss,Critical,39.7,Rise capital reveal face difficult among employee bad school leave story alone fast manage challenge culture man.,Material Fatigue,2.9,Under Investigation
INC-01778,SITE-003,2024-09-15,Leak,High,79.0,Decide court he relationship him able serious hold instead structure.,,3.4,Closed
INC-05356,SITE-004,2025-03-01,FIRE,Low,91.3,May that understand carry technology responsibility very seat.,Material Fatigue,7.7,Closed
INC-02927,SITE-006,18/08/2024,Equipment Failure,High,59.6,Up level film indicate black around spring western this among rise hit provide create we call represent.,Sensor Malfunction,2.0,Closed
INC-04882,SITE-002,05/24/2024,Leak,Critical,69.2,Social under often morning remain action voice seek artist.,Material Fatigue,9.1,Open
INC-03855,SITE-002,2025-07-26T00:00:00Z,Near Miss,medium,115.7,Their occur relate turn we respond cut western window.,Corrosion,2.6,Open
INC-05972,SITE-004,09/18/2024,Equipment Failure,Low,150.0,Assume office crime almost consumer successful.,Sensor Malfunction,9.9,Under Investigation
INC-05052,SITE-006,2024-10-20,Equipment Failure,Low,83.5,Top kitchen bar back mind hundred edge bank.,Valve Failure,7.1,Closed
INC-05005,SITE-003,2025-08-30,Spill,Medium,75.6,Board kitchen view market poor too.,Material Fatigue,6.2,Under Investigation
INC-00013,SITE-005,2024-06-22,Near Miss,Low,79.6,Soldier light clear environment number expect high space environment charge pick under worry amount interest.,Sensor Malfunction,4.0,Under Investigation
INC-02950,SITE-002,2026-06-15,Near Miss, High,65.6,System meet radio blue south apply.,Material Fatigue,12.6,Closed
INC-04774,SITE-004,2025-03-17,Equipment Failure,Medium,72.9,Appear court family argue hand.,Third-party Damage,7.6,Closed
INC-02424,SITE-006,2025-04-01,Spill,Critical,37.1,Suddenly article whom event identify face attention.,Third-party Damage,6.5,Closed
INC-05193,SITE-005,2026-03-17T00:00:00Z,near-miss,Medium,69.7,Clearly task someone provide subject several million itself else key single today last speech west leave care.,Sensor Malfunction,0.9,Open
INC-00689,SITE-006,12/26/2024,Spill,Critical,53.2,Exist practice produce list woman possible city charge nor box finally example those.,Third-party Damage,10.2,Closed
INC-02253,SITE-001,2024-05-28,,Medium,68.7,Or store television consumer fear investment voice medical report operation.,Sensor Malfunction,0.9,Under Investigation
INC-00391,SITE-006,2025-08-11,Leak,Medium,78.0,Several song all.,Material Fatigue,7.5,Closed
INC-02218,SITE-003,2023-07-28,,high,59.5,Though parent similar education national know enter bank start know.,Corrosion,8.3,Open
