audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-03918,SITE-006,2024-10-01,2024-12-23,33.1,Maintenance Backlog,Why eye several scene sometimes who administration.,Oil school general make economic different wind him.,Jason Robinson,Closed
AUD-02712,SITE-005,2026-07-06,,92.9,Environmental Monitoring,Police region do team form play audience nearly weight sing song center line action mention specific.,Need decide pretty own red suddenly lead environmental song listen site picture pick end.,Renee Leach,In Progress
AUD-00691,SITE-002,2024-09-09,2024-09-18,87.9,Documentation,End perform goal laugh cultural morning.,Lose best style security break official southern tonight expect professional former.,Sarah Briggs,Closed
AUD-01180,SITE-006,2025-03-02,,54.8,Environmental Monitoring,Summer truth leader long major majority deep teach.,Single try far hotel bar our cut natural however herself friend short despite.,Samantha Eaton,In Progress
AUD-06158,SITE-006,2024-07-22,,55.7,Emergency Response,Cultural above away provide at worker win remain structure industry eight able here.,Time require begin service could get way worker change ten customer trip the.,Matthew Howard,Open
AUD-02398,SITE-006,2024-05-20,,72.9,Personnel Training,Low civil free first put able big nice space million sign result he look staff expert try.,Property top expect young instead white.,William Jones,Open
AUD-08519,SITE-003,2024-05-06,,67.6,Safety Equipment,Enter everyone kind our consider key usually important.,Remember show full career garden news human worry ago.,Dawn Norris,In Progress
AUD-03469,SITE-006,2024-07-28,2024-08-18,69.3,Personnel Training,Partner but lay be executive.,Data college action this.,Matthew Schneider,Closed
AUD-06977,SITE-006,2025-02-23,,37.3,Personnel Training,May difficult second nice spend shoulder set.,Standard method science threat project writer whole red international stage born.,John House,Open
AUD-02320,SITE-006,2025-04-16,2025-05-17,35.9,Personnel Training,Cost return when foreign answer area serious conference show fire despite performance vote professional agent image.,Carry organization plan.,Melissa Anthony,Closed
AUD-05759,SITE-005,05/12/2026,2026-05-18,76.7,Documentation,Term receive step scientist training attorney technology increase realize measure oil.,See already per cell despite campaign quality history anything game.,Daniel Maxwell,Closed
AUD-09478,SITE-005,2025-11-27,,88.1,Safety Equipment,Full exist seek third amount always head heart choose body carry turn option evidence.,Rather meeting lose increase shake report family since thus treat mother about.,Katrina Dominguez,Open
AUD-06206,SITE-006,2025-01-24,,62.5,Documentation,Present without sit next effort something result mean suddenly fight against pattern follow end actually.,Company have best stop likely close financial personal.,Susan Brown,Open
AUD-04792,SITE-001,2025-06-09,2025-06-25,96.8,Leak Detection,Although possible ball great issue near someone great different group than bill fund term.,,Erin Mcbride,Closed
AUD-02395,SITE-002,2024-09-26,2024-09-07,76.5,Documentation,Car source give determine apply effort news probably however court clearly nature do first blood far sense director.,One better summer get page must reflect technology rather.,Brandon Jackson,Closed
AUD-05529,SITE-002,2025-10-10,2025-11-01,93.8,Documentation,Will relate everyone college exactly buy eye move federal customer fire.,Story during house herself arrive.,Jeffrey Blair,Closed
AUD-00191,SITE-001,2024-10-12,2024-11-04,89.0,Leak Detection,Third training act road knowledge crime detail tax relationship quickly note staff natural carry hit or fear structure dark international too into fight.,,Brittany Fleming DDS,Closed
AUD-06878,SITE-005,02/22/2025,2025-03-21,89.1,Documentation,Available believe final star necessary boy remember live school new major and degree.,Including still set.,Mariah Kim,Closed
AUD-07926,SITE-001,2025-04-06,2025-05-05,89.1,Safety Equipment,Miss major where along tax where professor high theory each most realize.,Off four doctor anything own realize oil cover.,John Snyder,Closed
AUD-05813,SITE-001,2024-07-22,2024-08-03,85.5,Documentation,Him that like type must suddenly sing perhaps thousand name go.,Per enough country far quite either for keep artist save.,Kimberly Rodriguez,Closed
AUD-00826,SITE-004,2025-09-30,,76.7,Personnel Training,Wish sometimes up agreement organization treatment nature million art finish family purpose.,Whole listen range daughter book already everybody attention themselves perform dinner.,Jacob Alvarez,Open
AUD-01863,SITE-002,2024-09-08T00:00:00Z,2024-09-26,97.1,Safety Equipment,Represent increase somebody debate model method myself make cup street television before in thus agreement perform role.,Assume evidence onto there various almost.,Patty Jones,Closed
AUD-03457,SITE-001,2025-12-28,2026-01-20,95.1,Emergency Response,You store term concern watch bed then foreign now agency read bar fast.,,Kathleen Davis,Closed
AUD-04863,SITE-002,2024-09-11,2024-10-04,86.7,Containment Integrity,Leg by business not city network financial cover commercial real picture risk effect.,Message scene owner language main hundred least.,Kevin Boyd,Closed
AUD-01757,SITE-006,2024-11-17,,63.3,Containment Integrity,Dog chair feeling future main hand story whatever store law just office.,Door participant million tough worry evidence.,Tiffany Schmitt,In Progress
AUD-02142,SITE-005,2024-06-28,2024-07-27,97.2,Documentation,Truth probably beyond his center ground stand statement.,Remain water early bill ground.,Sarah Davis,Closed
AUD-06430,SITE-004,2024-09-22,2024-10-08,75.9,Maintenance Backlog,Red member seven case describe leg these finish I form stuff in hit.,Sometimes shake great choice free effort kitchen president almost right deep.,Catherine Cooper,Closed
AUD-05893,SITE-003,2026-07-13,09/06/2026,62.4,Environmental Monitoring,Food former over look eat reflect.,Piece seek glass hotel dark month cultural accept activity money.,Jennifer Nelson,Closed
AUD-06113,SITE-005,2026-03-16,2026-04-04,65.2,Leak Detection,Nation name become record gas contain price identify.,Ago must card significant although particular subject account chance skin.,Alicia Mckee,Closed
AUD-05617,SITE-006,2025-04-23,,36.5,Documentation,Step need citizen fear national three small thus pick.,Clearly reduce public recognize mission poor cut.,Joseph Moran,Open
AUD-08737,SITE-002,09-Aug-2024,,85.4,Containment Integrity,Security discussion age family building culture box talk newspaper foot past century as identify news laugh whether but agency threat test walk product certainly.,Camera would personal simply walk local standard hit feel rest great set.,Kendra Dodson,Open
AUD-07459,SITE-004,2024-09-21,,94.3,Personnel Training,Member before boy wind use agreement future field beat security.,Environment my phone just common surface market.,April Lee,In Progress
AUD-02053,SITE-004,2025-11-19T00:00:00Z,2025-12-06,88.1,Leak Detection,Focus who former dinner nearly seek least industry American hour happen back resource understand purpose hair pattern reach organization success.,Nearly move top thousand natural around speak yes significant information young choose.,Barbara Gutierrez,Closed
AUD-04877,SITE-001,2025-05-10,,86.7,Safety Equipment,Car but wish age throw party never approach teach benefit everyone trouble inside on.,,Kenneth Bryant,In Progress
AUD-00421,SITE-005,2025-11-04,12-Nov-2025,99.7,Maintenance Backlog,Include politics any business follow nor actually couple.,Tree room daughter opportunity indicate.,Jason Ayala,Closed
AUD-05515,SITE-004,2024-12-31,,89.5,Maintenance Backlog,Assume economic spend although wish instead matter cut your hospital nation why find beat.,Alone coach certainly style great hope together sound right hotel.,Carolyn Price,In Progress
AUD-05995,SITE-006,2025-08-25T00:00:00Z,,55.5,Environmental Monitoring,Serve something deal break western explain focus fund page recognize seven dog against east you.,Into want film development treat significant condition before purpose spring radio long traditional stand.,Deborah Meadows,Open
AUD-06338,SITE-004,2025-08-29,2025-09-13,80.2,Safety Equipment,Part cup even room science read anyone walk professional name alone.,This apply performance evening firm miss science deep capital dog see.,Aaron Rice,Closed
AUD-00013,SITE-001,2025-09-05T00:00:00Z,2025-10-04,88.7,Safety Equipment,Difference increase set summer data prevent final task answer note west discussion president.,Information present third lead walk concern record.,Daniel Brown,Closed
AUD-06144,SITE-005,2024-06-29,2024-07-21,60.1,Emergency Response,Common statement position majority think out modern two.,Write lose describe ground wish lead remember population natural cold art view.,Larry Bishop,Closed
AUD-00636,SITE-004,2024-07-26,2024-08-07,82.8,Containment Integrity,Them girl arrive a long but role reach thousand your dinner section gun.,Defense yes question poor focus town minute wear learn.,Lori Young,Closed
AUD-05794,SITE-005,2026-01-19,2026-02-04,83.1,Environmental Monitoring,Into season kind test away bring mother physical cut meet subject center item data.,Skill collection Mrs success up return born manage.,Ariana Bridges,Closed
AUD-07152,SITE-003,2026-01-09,,91.8,Leak Detection,Administration side top official memory threat reflect fight through huge design heavy onto especially some once mention natural many.,,Terri Green,Open
AUD-05922,SITE-006,2026-05-09,2026-07-02,61.9,Emergency Response,Firm side someone game authority surface believe cause five amount campaign any for speech yeah page.,What wife last call fund least manager.,Anthony Dennis,Closed
AUD-07720,SITE-005,2025-06-02,2025-06-29,88.6,Leak Detection,Second she white issue sing leave couple.,Yourself include road go owner meet according two notice century population sister.,Jennifer Munoz,Closed
AUD-05181,SITE-005,23/05/2024,,60.7,Safety Equipment,Ago support best medical partner keep democratic central catch security money part production evidence network.,Million four political often majority break organization fire.,Shawn Santos,Open
AUD-07630,SITE-004,2024-10-24,,75.0,Environmental Monitoring,On color season dark short force degree capital fact score really.,Sort leader police huge address.,Sheila Scott,In Progress
AUD-08652,SITE-001,2024-03-05,2024-03-13,84.1,Documentation,Beat body receive Democrat thank service prepare student particularly enjoy coach carry film who start.,,Bryan Ferguson,Closed
AUD-05963,SITE-002,2026-03-27,2026-04-01,93.5,Environmental Monitoring,At card which amount evidence down.,Action deal more season create.,Edward Hunt,Closed
AUD-06312,SITE-001,2025-11-23,2025-12-16,68.2,Documentation,Suddenly real catch thing value while leave.,Charge school conference century able better social wife article early ready.,Gerald Murray,Closed
AUD-05974,SITE-002,2024-11-27,2024-12-18,93.0,Environmental Monitoring,Offer marriage require me while data high able nation they both yourself son firm certainly.,Best administration adult should debate fine court.,Janice Mcdonald,Closed
AUD-06054,SITE-002,2024-10-05,2024-10-12,78.1,Maintenance Backlog,Discuss stuff choice statement long line stay middle nature enjoy environment image book need box key.,Information that usually strong either rate challenge improve computer share peace security environmental any.,Nicholas Lee,Closed
AUD-04603,SITE-003,2026-08-31,,62.9,Environmental Monitoring,Determine true change goal age animal role maintain rate.,Well respond about lot customer board right.,Alicia Fuller,In Progress
AUD-03615,SITE-006,2026-04-03,,72.2,Emergency Response,Learn drug parent yeah bank teacher build seek.,Country open phone character watch bar hot move offer play even huge option.,Angela Foster,In Progress
AUD-03065,SITE-002,2025-03-15,2025-04-13,88.6,Maintenance Backlog,Process first major big compare thought because people around small small develop leg.,,Shannon Oconnor,Closed
AUD-04424,SITE-006,2026-02-18,2026-05-07T00:00:00Z,57.8,Documentation,Thank green Republican money serious feeling sing series thousand.,State just from forget leg deep now person moment by magazine start ten follow seek.,Thomas Crawford,Closed
AUD-07538,SITE-003,2025-08-23,,74.6,Safety Equipment,Style generation politics number wide election evidence former easy attack rich school surface education medical prevent production usually become seat.,,Danny Avila,In Progress
AUD-03091,SITE-004,2024-07-26,2024-08-08,85.0,Environmental Monitoring,Whatever seven only want security reality.,,Chelsea Lee,Closed
AUD-03741,SITE-003,2024-06-28,,40.8,Emergency Response,Bar piece key PM car seek agent water parent.,Choose everybody brother security experience article discuss that might past gun close.,Arthur Stevenson,In Progress
AUD-07372,SITE-005,2026-07-17,2026-07-23,79.2,Safety Equipment,Skill develop country with democratic will green industry wear sign capital figure identify poor.,,Daniel Mcguire,Closed
AUD-02981,SITE-003,2024-06-08,,85.0,Maintenance Backlog,Specific understand require level account same character.,Hot painting candidate nor usually myself share right throw science amount last effect someone rock.,Patrick Ortiz,Open
AUD-06606,SITE-006,20/10/2024,2024-11-21,72.0,Maintenance Backlog,Relate figure appear change method understand from them leg.,Attention throw second do side.,James Brewer,Closed
AUD-03228,SITE-001,2024-05-11,2024-06-10,74.1,Environmental Monitoring,Wonder better than new still dog rise animal reveal just take instead develop good short board election challenge later such explain arm value include woman project class.,Live policy far color history data.,Wanda Brown,Closed
AUD-06351,SITE-004,2025-05-04,2025-05-31,93.4,Leak Detection,Base president own sing author many century seat quality property these prevent.,Information base actually every.,Victor Collins,Closed
AUD-06372,SITE-002,06/15/2024,2024-06-21,66.4,Maintenance Backlog,Give serve know who like foreign down bad enjoy agent bring push lead budget yard.,Speech how hope any month long phone fight beat general.,Melanie Martin,Closed
AUD-02748,SITE-004,06/01/2026,,85.3,Emergency Response,What he manage general stand play everyone stop hand popular somebody style them everybody a true run.,,Derek Bates,In Progress
AUD-08206,SITE-004,2024-11-07,2024-11-24,83.2,Safety Equipment,Among itself nature technology rich thus real billion yeah husband add similar thousand decade realize subject keep.,,Todd Adams,Closed
AUD-04931,SITE-003,2024-07-26,2024-10-13T00:00:00Z,69.8,Documentation,State both give behind single nor last weight should remain scene computer same idea its last.,,Michelle Chandler DDS,Closed
AUD-01370,SITE-005,2025-08-03,,66.4,Personnel Training,Available sound newspaper six time international contain paper your much decide think child security health likely close away catch father consumer.,,Michael Morris,In Progress
AUD-02896,SITE-002,2024-02-08,2024-02-13,73.3,Documentation,It central once open black beautiful create know fine.,,George Randall,Closed
AUD-07245,SITE-001,2024-02-27,2024-03-10,90.3,Environmental Monitoring,Within source eye popular wear charge.,Class answer themselves heavy.,Katherine Alexander,Closed
AUD-04941,SITE-004,2024-09-04,,66.7,Safety Equipment,Claim serve yard if act citizen common financial discuss close large account major mention into.,Catch a firm Democrat much air send day.,Jesse Jones,Open
AUD-02947,SITE-003,2026-05-08,,78.3,Leak Detection,Deal outside truth too purpose management father she measure method call cut environment.,,Holly Wilson,Open
AUD-08229,SITE-004,2024-05-24,,74.1,Personnel Training,Author up full according go pass outside hit resource six sound green enjoy official high.,Political chance item those.,Jennifer Rosales,Open
AUD-05899,SITE-001,2025-05-03,2025-05-18,150.9,Documentation,Night newspaper establish option behavior common together change city miss service.,,Julia Green,Closed
AUD-02962,SITE-001,2025-11-12,2025-10-20,82.7,Leak Detection,Second realize leave discussion interview follow message street state natural response heavy number tend amount interview throughout challenge meet but town from think environmental.,Write enough building operation Republican walk.,Dr. Albert Cooper,Closed
AUD-06403,SITE-005,2024-11-07,,70.8,Leak Detection,Bill reason line near for car simple whatever apply usually pass bed.,Season opportunity camera deep letter magazine gun throw.,John Clark,Open
AUD-02359,SITE-006,2025-02-22,2025-05-12,48.8,Containment Integrity,Necessary couple nation far meeting wait issue follow leg born will debate fear.,Manager since especially production onto foreign edge whose.,Matthew Mcconnell,Closed
AUD-00874,SITE-005,10/23/2024,2024-11-15,68.0,Maintenance Backlog,New have road hour go let human fly join suddenly both she much very edge remain manager pull wonder.,,Brandon Dennis,Closed
AUD-05653,SITE-005,2025-08-08,,79.6,Environmental Monitoring,Attack eat place water build term something budget bill set bar science expect well try risk field notice.,Red paper arm a stage these one.,Ronnie Davis,In Progress
AUD-07267,SITE-001,2025-05-31,,78.7,Personnel Training,Office various professor which marriage which inside but behavior full himself traditional president.,,Holly Haley,In Progress
AUD-05392,SITE-003,2025-07-15T00:00:00Z,,86.0,Maintenance Backlog,About figure other major card control our.,,Anthony Hickman,In Progress
AUD-04062,SITE-002,2025-03-08,2025-03-26,66.8,Containment Integrity,Available only language agency thousand listen whether piece discussion government tell.,Size organization cost good professional simply others control and.,Cathy West,Closed
AUD-03866,SITE-003,2025-01-23,,68.7,Emergency Response,Treat respond business may statement may teacher difference nearly direction plan position response middle never business daughter unit energy avoid final.,Increase many market six begin central.,Arthur Rich,In Progress
AUD-02936,SITE-002,2026-04-30,2026-05-09,93.2,Containment Integrity,She model gun place oil military why kind federal.,Body maybe painting good hundred.,Jessica Stevens,Closed
AUD-09101,SITE-005,2026-08-06,2026-03-23,61.8,Documentation,Resource act large local floor ball participant win toward local issue begin help care later.,,Daniel Zamora,Closed
AUD-03229,SITE-004,2024-05-09,,71.7,Personnel Training,Write relate quickly father key air suffer economy garden population not wait music.,Dinner social great sit eye mother right.,Michael Murphy,In Progress
AUD-07798,SITE-002,2024-05-19,2024-06-12,72.7,Environmental Monitoring,Black thus film partner according take art mother a suggest agreement affect firm necessary must such.,Buy cup computer contain friend alone.,Holly Lewis,Closed
AUD-02440,SITE-004,2025-06-09,2025-06-24,100.0,Maintenance Backlog,Campaign strong third final organization population by traditional history responsibility first future all stand play last Democrat push way low plan treatment.,Drop build professor involve police whatever those citizen discover mother history base cup reach dream.,Crystal Jones,Closed
AUD-02996,SITE-004,2024-06-02,2024-06-07,86.6,Personnel Training,Finish in analysis born only yeah someone administration others black.,,Tyler Miller,Closed
AUD-09049,SITE-002,2026-01-19,2026-02-08,77.9,Environmental Monitoring,Explain easy sense civil popular shake increase professional happen you small cell senior choose this high right oil.,Consumer reveal option store indeed yeah into we large pick chair.,Stephen Anderson,Closed
AUD-09100,SITE-006,2025-12-15,,70.5,Emergency Response,Strategy book money pressure seem difference own statement such course organization.,Need weight friend brother establish.,Natalie Watts,In Progress
AUD-06214,SITE-004,2024-08-16,2024-09-15,78.4,Environmental Monitoring,Manager need year material maybe safe too nature while common away.,Red arm many figure suffer begin nation help scientist.,Monique Leon,Closed
AUD-00345,SITE-004,2024-03-09,,82.5,Emergency Response,Body nor week middle attorney either large number religious election marriage respond other coach.,Which plan positive decade.,Annette Morris,In Progress
AUD-06233,SITE-002,2025-05-14,2025-05-30,91.2,Personnel Training,Bit he physical guy worry perhaps too certainly little success experience reflect line believe area glass again reality history.,They out attack ready begin kid.,Tracy Johnson,Closed
AUD-07050,SITE-003,2024-08-03,,76.1,Personnel Training,Speech series technology bag series across parent enter.,Wind both blue morning future road table behavior modern soldier.,Peter Sparks,In Progress
AUD-01965,SITE-006,2025-01-24,,75.1,Personnel Training,Woman especially yet various born along remember change local bad bed fly away on according hope its to focus important significant Congress newspaper force surface person.,,Alexandra Cross,In Progress
AUD-05911,SITE-001,2026-03-15,2026-04-10,93.1,Environmental Monitoring,Heavy those resource six I understand moment billion imagine.,Leader see move away red friend.,Elizabeth Martin,Closed
AUD-01882,SITE-005,2025-01-23,2025-02-10,76.1,Personnel Training,Only school without health name always five.,Range military out close become conference blood put.,Justin Gonzalez,Closed
AUD-01601,SITE-002,2024-06-30,,93.7,Containment Integrity,Record hit building certain store voice cup space such focus treatment me.,Suddenly board fear into their discover should focus fast foot.,Sherry Davis,Open
AUD-00177,SITE-003,2026-07-01,,57.0,Leak Detection,Painting set anyone child work with course ahead.,,Robert Hayes,Open
AUD-02944,SITE-006,2024-12-20,,67.1,Leak Detection,Current stuff its just act positive phone suffer.,,Bonnie Lee,Open
AUD-00830,SITE-005,2024-12-16,2025-01-01,92.9,Personnel Training,Pull wife capital that mission answer clear will mind serious turn television former young fine.,Section choice grow hundred appear less.,Douglas Robertson,Closed
AUD-00179,SITE-003,2024-04-28,,63.3,Maintenance Backlog,Help trip month either agree cultural.,,Stephanie Hoover,Open
AUD-06572,SITE-005,2026-05-23,2026-06-06,94.1,Maintenance Backlog,Center mother back moment stay garden grow bank value right research alone.,Record probably Congress seek.,Maria Davis,Closed
AUD-07869,SITE-004,2024-10-06T00:00:00Z,,75.0,Emergency Response,Almost president total will it threat find effect Mr save cell economy central tend few sometimes want.,Good they instead people player care.,Roberto Johnston,Open
AUD-06023,SITE-006,2025-11-18,2026-01-17,-2.6,Leak Detection,Key beat at how enjoy word theory herself ago industry but suddenly agent friend these between church state above sister card see.,Huge employee for agency kitchen same station theory.,Martin Richards,Closed
AUD-01218,SITE-003,02/11/2024,,70.5,Safety Equipment,Worker experience become next consumer add already central your need site provide exist business.,Her ask soon least to off.,Paul Norris,In Progress
AUD-00340,SITE-001,2024-10-22,,75.5,Safety Equipment,Throughout manage back sort industry simple own religious.,Picture stock his interesting treatment something organization threat season wide.,Debbie Fernandez,Open
AUD-08823,SITE-002,2024-04-19T00:00:00Z,,-7.2,Safety Equipment,Arm subject camera century wife true beyond already much ten check more place respond doctor.,,Cassandra Kennedy,In Progress
AUD-01252,SITE-005,2024-03-07,18-Mar-2024,72.5,Safety Equipment,Anyone democratic which writer within visit fast contain explain cause moment purpose hot try base care model which hand another far community no.,Once establish traditional open somebody when agreement majority usually season art model quickly appear citizen.,Carolyn Moss,Closed
AUD-03856,SITE-002,14-Nov-2024,,81.7,Emergency Response,Seven yard final production act hard win century question product western everyone all argue local lead property.,Town campaign start anything collection base her.,Hannah Love,Open
AUD-05002,SITE-001,2024-08-29,2024-09-05,96.9,Documentation,Opportunity maybe weight night turn fight age how defense make black quality early series half actually wife ball.,Figure bed responsibility girl true worry this store claim almost institution.,Michael Whitehead,Closed
AUD-05078,SITE-006,2024-10-04,,82.5,Leak Detection,Window current statement receive teacher subject or I yourself treatment western step wish others.,Itself then because present project personal trip few small consumer drop notice poor sometimes.,Tiffany Hill,In Progress
AUD-09233,SITE-003,2024-09-27T00:00:00Z,2024-10-29,57.4,Documentation,Head player dinner its mouth plant story condition usually wait event bring energy actually figure.,,Sheri Dalton,Closed
AUD-05765,SITE-002,2026-01-23,2026-02-11,63.3,Environmental Monitoring,Why per blue never practice many seven Republican garden hard still go nothing week south hair many care visit simply picture.,High build position study travel machine improve compare.,Teresa Carter,Closed
AUD-03337,SITE-002,2026-08-22,,89.8,Environmental Monitoring,Walk address forward on police recent pull operation close.,Many someone need hotel here stage time reveal attention.,Katrina Wilson,Open
AUD-01293,SITE-002,2025-09-09,,67.3,Personnel Training,Unit economy stage response cut stop center husband direction act.,,James Hernandez,Open
AUD-08905,SITE-004,2024-07-19,07/27/2024,100.0,Safety Equipment,Customer late history general name after pressure color human age understand think recently worry mean deal carry community almost radio.,Degree expect cost power camera that.,Sharon Carter,Closed
AUD-03252,SITE-005,2024-05-25,06/20/2024,72.4,Safety Equipment,Again ahead mention less financial institution school.,True much know if number watch.,Tiffany Elliott,Closed
AUD-06624,SITE-001,2026-07-15,2026-08-03,100.0,Environmental Monitoring,Movie place community election method none and attack response down science this language customer technology across science same.,Heart plant two character skill southern.,Amber Santiago,Closed
AUD-00158,SITE-002,2024-05-27,2024-06-14T00:00:00Z,73.2,Documentation,Author investment rate magazine time staff design maybe much bank color senior draw other car authority anyone choose.,Professional describe allow only stuff daughter service direction.,Sergio Washington,Closed
AUD-08356,SITE-004,2024-05-25,2024-06-01,73.6,Containment Integrity,Brother sport perhaps care policy my understand woman walk field four trouble international city after happen huge.,Many lot tell area economy drive mind religious expect.,Lisa Galvan,Closed
