record_id,dataset,issue_type,detail
INC-00324,incidents,dirty_label:severity,Low -> Lo
INC-00327,incidents,invalid_coordinates,"coordinates (0,0)"
INC-00327,incidents,missing_required_field:severity,
INC-00327,incidents,future_date:incident_date,2026-09-10
INC-00329,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/06/2026
INC-00329,incidents,out_of_range:compliance_score,-0.5
INC-00331,incidents,dirty_label:severity,Low -> Lo
INC-00331,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Aug-2023
INC-00333,incidents,missing_required_field:severity,
INC-00335,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-09-29T00:00:00Z
INC-00336,incidents,dirty_label:severity,Low -> Lo
INC-00337,incidents,dirty_label:severity,High -> high
INC-00340,incidents,dirty_label:severity,High -> high
INC-00341,incidents,missing_required_field:severity,
INC-00346,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Apr-2025
INC-00347,incidents,dirty_label:severity,Low -> low
INC-00348,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00350,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00354,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00357,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 06-Apr-2025
INC-00358,incidents,invalid_coordinates,longitude=251.935706 outside valid range
INC-00360,incidents,missing_required_field:severity,
INC-00360,incidents,future_date:incident_date,2026-09-29
INC-00361,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00363,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 10/02/2025
INC-00365,incidents,dirty_label:severity,Low -> low 
INC-00365,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 16-Apr-2025
INC-00365,incidents,missing_required_field:severity,
INC-00366,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 06/03/2024
INC-00369,incidents,missing_required_field:incident_type,
INC-00371,incidents,dirty_label:severity,Critical -> critical
INC-00376,incidents,dirty_label:severity,Medium -> Medium 
INC-00377,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00379,incidents,dirty_label:severity,Low -> Lo
INC-00379,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-10-21T00:00:00Z
INC-00379,incidents,missing_required_field:severity,
INC-00381,incidents,missing_required_field:incident_type,
INC-00384,incidents,missing_required_field:severity,
INC-00385,incidents,out_of_range:compliance_score,-12.3
INC-00387,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 23-Jul-2023
INC-00388,incidents,dirty_label:severity,High -> HIGH
INC-00391,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-11-18T00:00:00Z
INC-00392,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 24/04/2026
INC-00395,incidents,missing_required_field:severity,
INC-00397,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 29/06/2024
INC-00399,incidents,dirty_label:severity,Low -> Lo
INC-00400,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/17/2026
INC-00403,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00405,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 25-Jan-2024
INC-00406,incidents,invalid_coordinates,longitude=206.374834 outside valid range
INC-00406,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-08-01T00:00:00Z
INC-00408,incidents,dirty_label:incident_type,Spill -> SPILL
INC-00408,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 27-May-2025
INC-00409,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-10-03T00:00:00Z
INC-00414,incidents,dirty_label:severity,High ->  High
INC-00414,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/11/2025
INC-00416,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 18-Jul-2026
INC-00416,incidents,out_of_range:compliance_score,-5.0
INC-00418,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 27-Feb-2025
INC-00423,incidents,dirty_label:severity,High ->  High
INC-00426,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 10-Jun-2026
INC-00432,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 02/10/2025
INC-00433,incidents,dirty_label:severity,Low -> low
INC-00433,incidents,out_of_range:compliance_score,-5.0
INC-00434,incidents,dirty_label:severity,Critical -> Crit
INC-00436,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00436,incidents,missing_required_field:severity,
INC-00437,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-06-25T00:00:00Z
INC-00438,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00439,incidents,dirty_label:severity,Low -> low
INC-00440,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-08-12T00:00:00Z
INC-00441,incidents,missing_required_field:severity,
INC-00442,incidents,dirty_label:severity,High -> HIGH
INC-00443,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00445,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00445,incidents,missing_required_field:severity,
INC-00446,incidents,missing_required_field:severity,
INC-00450,incidents,dirty_label:severity,Medium -> Med
INC-00450,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-04-15T00:00:00Z
INC-00453,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 22/09/2023
INC-00454,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 01-Aug-2025
INC-00456,incidents,dirty_label:severity,High -> high
INC-00457,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/23/2024
INC-00459,incidents,dirty_label:incident_type,Spill -> Minor Spill
INC-00460,incidents,dirty_label:severity,Critical -> Crit
INC-00460,incidents,missing_required_field:severity,
INC-00461,incidents,dirty_label:severity,Low ->  Low
INC-00466,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 15-Jan-2025
INC-00467,incidents,out_of_range:compliance_score,115.7
INC-00469,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 06-Nov-2024
INC-00471,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 22-Jan-2024
INC-00472,incidents,dirty_label:severity,Medium ->  medium
INC-00473,incidents,dirty_label:severity,Critical -> critical
INC-00476,incidents,dirty_label:severity,Low -> Lo
INC-00476,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/29/2023
INC-00476,incidents,future_date:incident_date,2026-10-19
INC-00479,incidents,dirty_label:severity,Low -> Lo
INC-00484,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 16-May-2024
INC-00484,incidents,missing_required_field:incident_type,
INC-00487,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Jul-2026
INC-00490,incidents,missing_required_field:severity,
INC-00494,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-05-02T00:00:00Z
INC-00498,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 05/07/2024
INC-00500,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00500,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/02/2026
INC-00501,incidents,dirty_label:severity,Low -> LOW
INC-00503,incidents,missing_required_field:incident_type,
INC-00505,incidents,dirty_label:severity,Low -> low
INC-00505,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/04/2026
INC-00506,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 06-Apr-2024
INC-00507,incidents,dirty_label:severity,Medium -> medium
INC-00507,incidents,future_date:incident_date,2026-08-15
INC-00508,incidents,dirty_label:severity,Medium -> Med
INC-00508,incidents,out_of_range:compliance_score,150.0
INC-00510,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 03-Nov-2023
INC-00512,incidents,dirty_label:severity,High -> HIGH
INC-00518,incidents,future_date:incident_date,2026-09-27
INC-00520,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 24-Jun-2026
INC-00522,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/25/2024
INC-00524,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 10/04/2026
INC-00525,incidents,missing_required_field:severity,
INC-00527,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00529,incidents,dirty_label:severity,Medium -> medium
INC-00529,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 01/02/2026
INC-00529,incidents,missing_required_field:severity,
INC-00530,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00532,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 07-May-2026
INC-00533,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-08-27T00:00:00Z
INC-00534,incidents,dirty_label:severity,High ->  High
INC-00534,incidents,missing_required_field:severity,
INC-00536,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00538,incidents,missing_required_field:incident_type,
INC-00547,incidents,dirty_label:severity,High -> Hi
INC-00548,incidents,missing_required_field:incident_type,
INC-00550,incidents,missing_required_field:incident_type,
INC-00551,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-10-14T00:00:00Z
INC-00552,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00556,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00557,incidents,dirty_label:severity,High ->  High
INC-00557,incidents,dirty_label:incident_type,Leak -> leak
INC-00557,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-11-04T00:00:00Z
INC-00558,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00559,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00559,incidents,missing_required_field:incident_type,
INC-00561,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00561,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 26/12/2023
INC-00562,incidents,dirty_label:incident_type,Leak -> leak 
INC-00563,incidents,missing_required_field:severity,
INC-00564,incidents,missing_required_field:severity,
INC-00565,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-09-07T00:00:00Z
INC-00567,incidents,dirty_label:severity,High ->  High
INC-00569,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00572,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 13/02/2024
INC-00573,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 05/07/2024
INC-00576,incidents,dirty_label:severity,Critical ->  Critical
INC-00577,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-07-02T00:00:00Z
INC-00578,incidents,future_date:incident_date,2026-08-23
INC-00580,incidents,dirty_label:severity,Critical -> crit
INC-00582,incidents,dirty_label:severity,Medium -> Med
INC-00582,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00583,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/02/2024
INC-00585,incidents,future_date:incident_date,2026-08-14
INC-00588,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00590,incidents,dirty_label:severity,Medium -> Med
INC-00591,incidents,dirty_label:severity,High ->  High
INC-00591,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-09-13T00:00:00Z
INC-00594,incidents,future_date:incident_date,2026-09-16
INC-00596,incidents,missing_required_field:severity,
INC-00598,incidents,dirty_label:severity,Low -> LOW
INC-00601,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 16/11/2024
INC-00606,incidents,missing_required_field:severity,
INC-00609,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 06/04/2026
INC-00613,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 20/12/2024
INC-00618,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 02/07/2025
INC-00619,incidents,dirty_label:incident_type,Equipment Failure -> EQUIPMENT FAILURE
INC-00619,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 30/05/2026
INC-00620,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00623,incidents,dirty_label:severity,Critical ->  Critical
INC-00624,incidents,missing_required_field:severity,
INC-00627,incidents,dirty_label:incident_type,Fire -> fire
INC-00632,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 09/12/2025
INC-00635,incidents,missing_required_field:incident_type,
INC-00637,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 16-Oct-2023
INC-00638,incidents,missing_required_field:severity,
INC-00645,incidents,dirty_label:severity,Low -> LOW
INC-00646,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00647,incidents,missing_required_field:severity,
INC-00648,incidents,dirty_label:incident_type,Spill -> Minor Spill
INC-00651,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/06/2024
INC-00657,incidents,dirty_label:severity,Low -> Lo
INC-00660,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-11-26T00:00:00Z
INC-00661,incidents,dirty_label:severity,Medium -> medium
INC-00663,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 24/09/2023
INC-00664,incidents,missing_required_field:severity,
INC-00665,incidents,dirty_label:incident_type,Fire ->  fire
INC-00667,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/15/2026
INC-00671,incidents,missing_required_field:severity,
INC-00671,incidents,missing_required_field:incident_type,
INC-00672,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 28-May-2024
INC-00675,incidents,dirty_label:incident_type,Spill -> Minor Spill
INC-00678,incidents,dirty_label:severity,Low ->  Low
INC-00679,incidents,invalid_coordinates,latitude=166.214032 > 90
INC-00681,incidents,future_date:incident_date,2026-07-28
INC-00683,incidents,dirty_label:incident_type,Equipment Failure -> EQUIPMENT FAILURE
INC-00683,incidents,missing_required_field:severity,
INC-00684,incidents,dirty_label:severity,Low -> low
INC-00684,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/09/2026
INC-00686,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00686,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/06/2024
INC-00689,incidents,future_date:incident_date,2026-09-22
INC-00694,incidents,dirty_label:incident_type,Leak -> leak
INC-00694,incidents,missing_required_field:severity,
INC-00701,incidents,out_of_range:compliance_score,104.0
INC-00703,incidents,invalid_coordinates,"coordinates (0,0)"
INC-00703,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00704,incidents,missing_required_field:severity,
INC-00708,incidents,missing_required_field:incident_type,
INC-00710,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00711,incidents,missing_required_field:severity,
INC-00713,incidents,dirty_label:incident_type,Spill -> spill
INC-00718,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/24/2026
INC-00718,incidents,future_date:incident_date,2026-08-18
INC-00718,incidents,out_of_range:compliance_score,150.0
INC-00722,incidents,missing_required_field:severity,
INC-00727,incidents,missing_required_field:severity,
INC-00728,incidents,dirty_label:severity,Critical -> Crit
INC-00731,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 04-Dec-2023
INC-00732,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00733,incidents,dirty_label:severity,Low ->  Low
INC-00738,incidents,future_date:incident_date,2026-09-26
INC-00739,incidents,missing_required_field:incident_type,
INC-00740,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00741,incidents,dirty_label:incident_type,Spill -> Spill 
INC-00742,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00742,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/19/2025
INC-00744,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 08-Sep-2024
