reading_id,timestamp,site,pipeline_section,pressure_psi,flow_rate_bph,temperature_celsius,valve_status,sensor_id
TEL-002221,2026-06-01T07:20:12,SITE-006,Section A — Mombasa-Nairobi Main,454.8,3276.5,24.9,Partially Open,SNS-002
TEL-004824,2026-07-18T06:09:50,SITE-004,Section D — Sinendet Lateral,541.5,3358.5,20.0,Partially Open,SNS-014
TEL-003179,2026-06-18T10:38:24,SITE-007,Section C — Nakuru-Eldoret Extension,600.0,2340.4,30.6,Open,SNS-014
TEL-004108,2026-07-06T00:50:19,SITE-005,Section E — Makueni Branch,383.0,3085.5,34.2,Open,SNS-014
TEL-004260,2026-07-08T19:48:17,SITE-002,Section F — Kisumu Terminal Link,476.9,2767.7,28.8,Open,SNS-001
TEL-002535,2026-06-07T07:39:49,SITE-007,Section B — Nairobi-Nakuru Spur,446.8,3242.5,36.3,Closed,SNS-014
TEL-000102,2026-04-24T16:43:51,SITE-004,Section C — Nakuru-Eldoret Extension,332.8,3174.5,36.5,Open,SNS-007
TEL-004493,2026-07-12T23:33:28,SITE-002,Section F — Kisumu Terminal Link,432.4,3631.3,29.7,Partially Open,SNS-001
TEL-003495,2026-06-24T05:52:20,SITE-004,Section C — Nakuru-Eldoret Extension,357.1,2542.5,27.4,Closed,SNS-002
TEL-000394,2026-04-29T17:43:11,SITE-001,Section C — Nakuru-Eldoret Extension,330.5,3234.7,21.4,Open,SNS-013
TEL-001733,2026-05-23T05:16:42,Nairobi term,Section A — Mombasa-Nairobi Main,392.6,1971.8,29.1,Open,SNS-011
TEL-003480,2026-06-23T21:44:58,SITE-006,Section A — Mombasa-Nairobi Main,339.4,4392.3,25.2,Closed,SNS-008
TEL-002244,2026-06-01T19:43:44,SITE-005,Section B — Nairobi-Nakuru Spur,428.0,3452.7,37.9,Closed,SNS-012
TEL-004371,2026-07-10T20:37:11,SITE-007,Section D — Sinendet Lateral,487.1,2056.4,26.1,Partially Open,SNS-014
TEL-004189,2026-07-07T17:00:19,Sinendet PS,Section F — Kisumu Terminal Link,348.6,3355.9,28.6,Closed,SNS-002
TEL-002662,2026-06-09T15:27:27,SITE-002,Section E — Makueni Branch,,2582.5,22.3,Open,SNS-011
TEL-003611,2026-06-26T08:18:04,SITE-001,Section C — Nakuru-Eldoret Extension,,3405.3,23.2,Closed,SNS-004
TEL-000839,2026-05-07T15:48:54,sinendet pump station,Section C — Nakuru-Eldoret Extension,535.4,3228.2,24.8,Closed,SNS-003
TEL-001815,2026-05-24T20:49:20,makueni section,Section F — Kisumu Terminal Link,319.5,2485.2,16.0,Open,SNS-003
TEL-001831,2026-05-25T04:30:05,SITE-002,Section F — Kisumu Terminal Link,378.0,3316.5,34.3,Open,SNS-014
TEL-000515,2026-05-01T22:45:07,SITE-002,Section D — Sinendet Lateral,460.0,2061.0,36.6,Partially Open,SNS-004
TEL-003023,2026-06-15T18:30:54,SITE-002,Section E — Makueni Branch,536.2,2162.5,37.6,Open,SNS-014
TEL-004557,2026-07-14T03:20:17,SITE-006,Section F — Kisumu Terminal Link,461.3,2975.6,29.6,Open,SNS-003
TEL-004954,2026-07-20T23:12:56,sinendet pump,Section E — Makueni Branch,375.8,3301.0,19.3,Open,SNS-010
TEL-003374,2026-06-21T19:50:23,SITE-002,Section B — Nairobi-Nakuru Spur,339.6,2677.0,25.8,Open,SNS-008
TEL-001735,2026-05-23T06:32:12,SITE-005,Section B — Nairobi-Nakuru Spur,315.8,2637.9,38.2,Open,SNS-010
TEL-003503,2026-06-24T08:31:22,SITE-006,Section D — Sinendet Lateral,487.0,4297.2,37.4,Closed,SNS-003
TEL-003848,2026-06-30T22:09:59,SITE-007,Section F — Kisumu Terminal Link,423.9,2786.0,27.3,Partially Open,SNS-007
TEL-004058,2026-07-05T05:12:38,SITE-007,Section B — Nairobi-Nakuru Spur,403.4,1996.3,36.3,Partially Open,SNS-006
TEL-001239,2026-05-15T01:17:08,SITE-005,Section A — Mombasa-Nairobi Main,549.8,2214.7,41.8,Closed,SNS-006
TEL-003154,2026-06-18T01:24:31,SITE-006,Section D — Sinendet Lateral,350.5,1975.1,25.3,Closed,SNS-010
TEL-001676,2026-05-22T12:29:14,SITE-006,Section B — Nairobi-Nakuru Spur,568.7,3300.1,25.3,Open,SNS-008
TEL-001152,2026-05-13T13:53:38,SITE-004,Section B — Nairobi-Nakuru Spur,358.1,3413.4,31.7,Open,SNS-010
TEL-004880,2026-07-19T10:09:51,SITE-007,Section C — Nakuru-Eldoret Extension,473.5,3146.1,28.6,Open,SNS-014
TEL-000242,2026-04-27T05:09:01,Nakuru dep,Section B — Nairobi-Nakuru Spur,416.9,3431.7,32.6,Open,SNS-003
TEL-004215,2026-07-08T03:55:56,SITE-002,Section B — Nairobi-Nakuru Spur,534.1,3160.7,26.9,Open,SNS-012
TEL-003996,2026-07-04T00:10:06,SITE-004,Section A — Mombasa-Nairobi Main,484.0,2337.3,31.0,Closed,SNS-001
TEL-000345,2026-04-29T03:42:20,SITE-005,Section E — Makueni Branch,530.0,4317.6,22.0,Open,SNS-003
TEL-003659,2026-06-27T08:35:42,Kisumu term,Section A — Mombasa-Nairobi Main,496.5,3564.8,26.2,Open,SNS-008
TEL-000408,2026-04-29T23:01:09,SITE-002,Section D — Sinendet Lateral,334.5,3405.1,15.0,Open,SNS-008
TEL-001542,2026-05-20T05:06:17,SITE-002,Section B — Nairobi-Nakuru Spur,458.6,2496.3,38.7,Partially Open,SNS-009
TEL-000129,2026-04-25T01:05:06,SITE-004,Section C — Nakuru-Eldoret Extension,525.8,2663.2,29.5,Open,SNS-014
TEL-003309,2026-06-20T15:33:01,SITE-004,Section F — Kisumu Terminal Link,284.0,2677.6,23.4,Open,SNS-013
TEL-000559,2026-05-02T19:19:00,Nairobi  Terminal,Section F — Kisumu Terminal Link,402.5,4206.2,30.5,Open,SNS-005
TEL-004071,2026-07-05T09:42:02,SITE-006,Section C — Nakuru-Eldoret Extension,342.4,3922.3,23.1,Closed,SNS-001
TEL-002608,2026-06-08T16:17:08,SITE-003,Section F — Kisumu Terminal Link,383.4,3756.5,35.1,Open,SNS-010
TEL-001908,2026-05-26T18:17:01,KSM Terminal,Section C — Nakuru-Eldoret Extension,355.1,2090.7,39.3,Open,SNS-012
TEL-003171,2026-06-18T09:09:45,SITE-005,Section E — Makueni Branch,288.1,2880.7,28.0,Partially Open,SNS-014
TEL-001032,2026-05-11T07:29:04,SITE-004,Section D — Sinendet Lateral,496.2,2057.9,37.3,Open,SNS-008
TEL-002896,2026-06-13T08:06:51,SITE-007,Section D — Sinendet Lateral,349.3,2575.3,29.9,Open,SNS-014
TEL-002309,2026-06-02T22:08:30,SITE-002,Section F — Kisumu Terminal Link,445.0,2597.6,24.4,Partially Open,SNS-011
TEL-004522,2026-07-13T12:01:13,SITE-006,Section E — Makueni Branch,384.5,2790.3,37.8,Closed,SNS-010
TEL-003550,2026-06-25T03:33:55,NAKURU,Section B — Nairobi-Nakuru Spur,350.0,3380.1,28.0,Partially Open,SNS-011
TEL-004740,2026-07-16T19:54:03,SITE-004,Section D — Sinendet Lateral,331.0,3315.8,31.3,Open,SNS-001
TEL-004719,2026-07-16T09:39:57,SITE-006,Section E — Makueni Branch,501.5,2147.2,23.0,Open,SNS-005
TEL-002190,2026-05-31T18:38:09,SITE-001,Section B — Nairobi-Nakuru Spur,404.1,4180.4,29.4,Partially Open,SNS-005
TEL-003892,2026-07-01T17:46:37,SITE-002,Section A — Mombasa-Nairobi Main,371.0,1507.0,19.7,Open,SNS-007
TEL-000628,2026-05-03T20:35:37,SITE-002,Section A — Mombasa-Nairobi Main,375.4,2963.0,30.9,Open,SNS-008
TEL-004561,2026-07-14T04:22:20,SITE-004,Section F — Kisumu Terminal Link,348.8,1986.0,38.9,Open,SNS-014
TEL-002041,2026-05-29T06:32:38,SITE-004,Section A — Mombasa-Nairobi Main,371.0,2055.6,35.8,Open,SNS-006
TEL-003718,2026-06-28T07:07:43,SITE-004,Section C — Nakuru-Eldoret Extension,467.9,2560.3,39.9,Open,SNS-012
TEL-000821,2026-05-07T09:17:40,SITE-003,Section C — Nakuru-Eldoret Extension,312.5,2596.1,18.3,Open,SNS-007
TEL-003031,2026-06-15T22:47:02,SITE-004,Section D — Sinendet Lateral,1000,3114.8,24.4,Closed,SNS-013
TEL-003693,2026-06-27T19:20:47,SITE-005,Section B — Nairobi-Nakuru Spur,447.0,3592.7,35.4,Partially Open,SNS-001
TEL-004677,2026-07-15T16:55:33,SITE-004,Section B — Nairobi-Nakuru Spur,328.4,2710.0,37.0,Partially Open,SNS-005
TEL-002338,2026-06-03T13:45:54,SITE-003,Section E — Makueni Branch,478.1,4351.8,35.5,Closed,SNS-003
TEL-003043,2026-06-16T04:24:15,Sinendet PS,Section F — Kisumu Terminal Link,353.4,3412.5,37.3,Open,SNS-013
TEL-002490,2026-06-06T13:38:14,ELD Terminal,Section A — Mombasa-Nairobi Main,445.8,2748.1,26.1,Open,SNS-001
TEL-000609,2026-05-03T13:13:16,SITE-007,Section A — Mombasa-Nairobi Main,355.5,3055.6,34.1,Partially Open,SNS-002
TEL-004188,2026-07-07T16:22:49,SITE-002,Section F — Kisumu Terminal Link,339.0,3008.4,36.9,Closed,SNS-014
TEL-003153,2026-06-18T01:03:44,SITE-003,Section A — Mombasa-Nairobi Main,253.4,3969.0,27.7,Closed,SNS-001
TEL-000537,2026-05-02T08:19:51,SITE-006,Section B — Nairobi-Nakuru Spur,523.3,3542.3,26.6,Closed,SNS-005
TEL-000362,2026-04-29T09:04:37,NAIROBI,Section A — Mombasa-Nairobi Main,441.6,1072.5,30.6,Closed,SNS-011
TEL-004034,2026-07-04T17:08:32,SITE-002,Section F — Kisumu Terminal Link,428.9,2620.9,,Open,SNS-005
TEL-003860,2026-07-01T02:14:54,SITE-005,Section E — Makueni Branch,430.7,2118.1,28.3,Open,SNS-001
TEL-004756,2026-07-17T01:45:36,SITE-007,Section B — Nairobi-Nakuru Spur,332.3,2598.2,32.3,Closed,SNS-009
TEL-004717,2026-07-16T08:48:57,SITE-006,Section E — Makueni Branch,337.2,2854.1,34.5,Open,SNS-008
TEL-002027,2026-05-28T21:09:25,kisumu terminal,Section B — Nairobi-Nakuru Spur,412.2,3533.7,32.8,Open,SNS-006
TEL-002043,2026-05-29T07:20:15,SITE-003,Section D — Sinendet Lateral,463.8,2406.9,20.6,Closed,SNS-008
TEL-002877,2026-06-13T01:15:06,SITE-006,Section C — Nakuru-Eldoret Extension,304.7,1592.9,45.0,Open,SNS-008
TEL-000864,2026-05-08T04:04:28,SITE-003,Section E — Makueni Branch,439.7,3344.0,24.1,Open,SNS-002
TEL-001858,2026-05-25T15:44:04,SITE-003,Section C — Nakuru-Eldoret Extension,450.9,2300.1,41.5,Open,SNS-003
TEL-001886,2026-05-26T05:29:32,SITE-002,Section D — Sinendet Lateral,432.8,3085.1,27.9,Open,SNS-008
TEL-002718,2026-06-10T18:42:41,SITE-002,Section A — Mombasa-Nairobi Main,445.6,2561.4,17.8,Open,SNS-001
TEL-001639,2026-05-21T23:43:28,SITE-004,Section E — Makueni Branch,417.4,3829.8,36.1,Partially Open,SNS-008
TEL-000672,2026-05-04T12:30:03,SITE-003,Section B — Nairobi-Nakuru Spur,504.6,3671.7,28.5,Closed,SNS-003
TEL-002905,2026-06-13T12:13:01,SITE-003,Section D — Sinendet Lateral,333.8,2372.6,31.5,Closed,SNS-008
TEL-002283,2026-06-02T10:22:02,SITE-002,Section D — Sinendet Lateral,418.6,3553.5,20.8,Open,SNS-012
TEL-003326,2026-06-21T02:49:55,MOMBASA,Section C — Nakuru-Eldoret Extension,358.8,2849.2,37.6,Closed,SNS-013
TEL-004942,2026-07-20T15:44:35,SITE-003,Section C — Nakuru-Eldoret Extension,369.7,3426.9,30.3,Closed,SNS-005
TEL-004594,2026-07-14T14:09:54,MSA Terminal,Section C — Nakuru-Eldoret Extension,407.0,3430.7,34.2,Open,SNS-009
TEL-001360,2026-05-17T02:38:09,SITE-001,Section A — Mombasa-Nairobi Main,234.8,3265.6,29.5,Closed,SNS-011
TEL-003549,2026-06-25T01:52:16,SITE-007,Section E — Makueni Branch,523.7,3082.0,28.7,Partially Open,SNS-014
TEL-001013,2026-05-10T23:10:39,SITE-007,Section F — Kisumu Terminal Link,415.9,3315.0,30.2,Closed,SNS-010
TEL-001801,2026-05-24T14:16:26,KSM Terminal,Section F — Kisumu Terminal Link,312.8,2558.3,29.5,Open,SNS-007
TEL-001168,2026-05-13T20:00:13,SITE-004,Section A — Mombasa-Nairobi Main,432.8,2631.0,33.4,Open,SNS-005
TEL-000221,2026-04-26T19:07:56,SITE-002,Section F — Kisumu Terminal Link,304.0,2841.0,36.0,Closed,SNS-002
TEL-002634,2026-06-09T05:25:26,SITE-003,Section E — Makueni Branch,377.8,2485.3,28.6,Open,SNS-003
TEL-004762,2026-07-17T04:05:17,Nakuru dep,Section F — Kisumu Terminal Link,700,2608.9,26.4,Closed,SNS-007
TEL-001971,2026-05-27T23:05:50,SITE-002,Section B — Nairobi-Nakuru Spur,311.3,4044.4,19.9,Open,SNS-005
TEL-001940,2026-05-27T09:39:08,SITE-006,Section F — Kisumu Terminal Link,490.5,3285.4,23.8,Open,SNS-011
TEL-000115,2026-04-24T21:10:04,SITE-005,Section B — Nairobi-Nakuru Spur,509.8,1898.8,21.8,Partially Open,SNS-014
TEL-003310,2026-06-20T16:17:52,SITE-007,Section B — Nairobi-Nakuru Spur,305.7,1856.7,28.7,Open,SNS-012
TEL-002962,2026-06-14T12:39:48,SITE-005,Section F — Kisumu Terminal Link,478.9,2459.7,40.0,Closed,SNS-007
TEL-001848,2026-05-25T10:49:37,SITE-003,Section B — Nairobi-Nakuru Spur,337.6,2590.2,39.8,Partially Open,SNS-010
TEL-001196,2026-05-14T08:48:27,SITE-003,Section B — Nairobi-Nakuru Spur,411.4,3002.8,27.4,Closed,SNS-010
