incident_id,site,latitude,longitude,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-02803,SITE-002,-4.071999,39.651428,29-Sep-2024,Spill,Low,80.2,Yard why show drop turn pull current.,Valve Failure,7.4,Open
INC-05455,SITE-003,-2.270259,37.836009,2025-07-29,Spill,High,58.4,Fight middle focus right share central production care imagine be ask.,Operator Error,17.3,Closed
INC-01448,SITE-003,-2.279639,37.822358,2026-01-18,Spill,medium,75.8,Federal hard test physical treatment figure trial lawyer series question discussion glass letter debate member air make campaign.,Third-party Damage,2.4,Closed
INC-02594,SITE-001,-1.321265,36.805323,2023-11-13,Near Miss,Low,86.5,Movement nature learn somebody beat book else option consider as.,Sensor Malfunction,6.1,Open
INC-02681,SITE-004,-0.275639,36.108881,2023-11-30,Spill,Medium,115.7,Board anyone friend test turn turn leg place recent other.,Third-party Damage,17.0,Open
INC-02054,SITE-002,-4.036293,39.646375,2026-02-19,Leak,High,63.7,Lot professor everyone ball lose he national firm true answer whose anyone.,Corrosion,8.6,Closed
INC-05964,SITE-003,-2.272773,37.820285,03/03/2024,Leak,Critical,-5.0,Customer bit simple tonight culture speak painting conference design middle few.,Third-party Damage,12.1,Closed
INC-03875,SITE-007,-0.123373,34.742814,2026-02-13,Equipment Failure,Low,94.4,Pull particularly prove how guess make least country happen this environmental.,Corrosion,10.8,Closed
INC-00357,SITE-002,-4.062037,39.689786,06-Apr-2025,Spill,Medium,80.1,Week public book life ago protect star world drug deep store.,Third-party Damage,11.4,Closed
INC-02765,SITE-002,-4.059865,39.646624,2025-05-11T00:00:00Z,Spill,Low,75.9,Ago specific discover stage radio early feel point night like.,Material Fatigue,10.6,Closed
INC-01783,SITE-006,0.02298,35.466385,2025-01-20,Fire,Medium,70.9,Two clearly so almost less board capital.,Operator Error,14.8,Under Investigation
INC-05003,SITE-005,0.497914,35.291417,2024-11-17,,Low,88.1,Into weight when soldier.,,14.0,Open
INC-04862,SITE-004,-0.288508,36.104302,2025-12-21,Equipment Failure,low,93.6,For evening color miss ago go here popular Congress drive course dog east establish business anything.,Third-party Damage,8.4,Under Investigation
INC-00837,SITE-003,-2.261447,37.827708,2024-05-30,Spill,High,41.3,Area hour base dark wonder tonight message right.,Material Fatigue,8.0,Closed
INC-05963,SITE-006,0.013733,35.467911,2024-12-31,Near Miss, Critical,49.5,Watch including become knowledge power after.,Operator Error,7.7,Open
INC-02772,SITE-005,0.537562,35.240437,29-Jul-2024,Fire,Low,92.6,Just nearly pretty involve south energy last future.,Valve Failure,12.9,Open
INC-04003,SITE-007,-0.081601,34.791195,21/06/2025,Near Miss,High,77.9,Information night produce recent south north produce.,Operator Error,4.8,Open
INC-03570,SITE-007,-0.090227,34.744999,15/02/2024,Spill,,78.2,Prevent very serve save capital all party human still garden no record hour stuff.,Corrosion,4.1,Closed
INC-04867,SITE-004,-0.322691,36.09182,2025-09-23,Spill,Low,95.9,Call step wear quality door among protect now hair family interview away director little natural involve.,Third-party Damage,1.8,Closed
INC-00161,SITE-007,-0.078699,34.74835,2024-05-27T00:00:00Z,Spill,Low,99.9,Safe himself low meeting husband wrong.,Material Fatigue,16.3,Open
INC-02655,SITE-006,0.067798,35.421069,03/08/2024,NEAR MISS,High,59.5,Offer reality exist fire Republican first hundred special.,Sensor Malfunction,25.2,Open
INC-04936,SITE-003,-2.260037,37.835375,2024-06-28,Fire,Low,88.5,Beat human the red provide management wrong large drug wear rather large group movie.,,12.2,Under Investigation
INC-03006,SITE-001,-1.318105,36.834154,12/18/2024,Near Miss,Low,-12.3,Image member likely see machine bar address heart positive challenge if success list career role field back public specific.,Sensor Malfunction,4.4,Open
INC-03899,SITE-006,0.066416,35.432581,14-Apr-2024,Leak,High,47.0,Receive place turn care window necessary level him why field pull science upon game.,,3.4,Closed
INC-01432,SITE-003,-2.31746,37.823519,2023-08-04,Leak,Critical,28.8,Black religious citizen forward success marriage visit commercial accept development nearly way.,Sensor Malfunction,5.4,Closed
INC-00863,SITE-004,-0.273671,36.09865,2024-11-11,Leak,High,68.9,Personal drive range politics wonder race drug race loss drive next create.,Operator Error,1.0,Open
INC-00402,SITE-001,-1.269833,36.847122,2023-09-09,Spill,Medium,71.5,Possible film approach structure color policy.,Third-party Damage,8.4,Closed
INC-03199,SITE-003,-2.277086,37.831576,2025-06-23,Spill,High,68.0,Agree attack sing early their respond environment ball.,Material Fatigue,3.6,Open
INC-02220,SITE-004,-0.281606,36.103561,02/20/2026,Spill,low,80.8,Option look level heart book bad operation.,Operator Error,15.8,Open
INC-01733,SITE-005,0.492387,35.295068,2025-02-03,Equipment Failure,LOW,84.8,Particularly health until everything financial as read color do.,Valve Failure,18.7,Closed
INC-02882,SITE-006,0.014855,35.461644,2023-09-13,Leak,High,72.5,Thank later too others stand often thought until charge case mention today public ok in.,Corrosion,4.3,Open
INC-05918,SITE-003,-2.26962,37.857956,2024-04-14,Spill,Medium,83.6,Less professional while relate maintain no spend.,Third-party Damage,4.0,Under Investigation
INC-00780,SITE-003,-2.300744,37.836465,2025-09-16,Leak,Medium,84.8,Hospital society inside compare hour away all heavy economy level much daughter economic room will time affect.,Third-party Damage,3.9,Under Investigation
INC-02143,SITE-005,0.544415,35.238547,2025-05-25,Equipment Failure,Medium,72.5,Clear then event call air bed truth safe main send.,Corrosion,2.1,Under Investigation
INC-02966,SITE-007,-0.126869,34.734901,2025-10-31,Fire,Medium,79.3,Economic what information age give fall language person.,Third-party Damage,4.0,Closed
INC-05839,SITE-007,-0.119369,34.778861,2024-03-17,LEAK,Medium,69.7,Growth cause director cost analysis news put effort across ground.,,26.5,Under Investigation
INC-02535,SITE-002,-4.033951,39.657513,2024-05-16,Equipment Failure,Low,82.0,Knowledge sister white rock event member because.,Operator Error,13.3,Closed
INC-05219,SITE-003,-2.26319,37.826644,2025-05-21,Fire,Low,77.2,Rule speech way popular direction gas customer do serious specific capital seven power region hard expect.,Sensor Malfunction,5.5,Under Investigation
INC-02413,SITE-002,-4.076795,39.647651,2026-03-27,Leak,High,70.9,Mouth remember ahead imagine everyone nation.,,3.1,Under Investigation
INC-01368,SITE-002,-4.060583,39.70367,2023-08-11,Equipment Failure,Lo,83.6,Huge coach though food friend reveal your.,Material Fatigue,10.9,Open
INC-00073,SITE-003,-2.263544,37.834979,24-Aug-2024,Equipment Failure,Critical,30.4,Air account describe student join our decade fire everybody voice.,Operator Error,6.6,Closed
INC-04959,SITE-007,-0.075407,34.777605,2026-10-18,Equipment Failure,Medium,58.9,New political wonder seven no moment power southern end.,,7.4,Under Investigation
INC-00725,SITE-004,-0.278213,36.058993,2023-08-17,Spill,Low,74.2,Mind mean reveal always rise religious year probably.,,6.9,Open
INC-03188,SITE-007,-0.076406,34.733901,2025-08-23,Leak,LOW,88.2,Support leave dog with research town guy change the trial hair some already owner cover up positive cup.,Sensor Malfunction,4.5,Open
INC-05087,SITE-002,-4.070703,39.696088,2025-12-14,Near  Miss,Medium,81.3,Owner claim son throughout reality box score term design run.,Corrosion,6.6,Closed
INC-00079,SITE-006,0.027599,35.471971,10/13/2024,Spill,Medium,71.4,Across another change real attorney explain soon.,,4.5,Closed
INC-03116,SITE-004,-0.3167,36.107915,2025-11-11,Spill,Medium,72.3,With score want despite agree develop at body cold assume wear leg wind.,,6.8,Closed
INC-02034,SITE-004,-0.323481,36.062886,07/14/2024,Near Miss,HIGH,64.8,Item apply cup too film visit many do ground fly media.,Material Fatigue,5.4,Under Investigation
INC-02653,SITE-001,-1.279785,36.849691,2026-06-09,Near Miss,Low,83.5,Go age what black defense morning piece method.,Valve Failure,4.5,Open
INC-02910,SITE-001,-1.274823,36.834757,2026-05-18,Near Miss,Critical,56.1,Happy guess right can partner plant live check such read.,Corrosion,7.8,Open
INC-02215,SITE-005,0.496227,35.290702,2023-12-15,Equipment Failure,Medium,81.7,Natural want specific reality knowledge part seek nice reduce article.,,17.5,Under Investigation
INC-00195,SITE-004,-0.273493,36.06564,2024-09-11,Leak,Low,97.9,Return happy deal loss goal example action soon near eye then article.,Operator Error,2.7,Open
INC-02619,SITE-006,0.064924,35.432009,2025-06-04,Leak,Critical,41.8,Wrong once work each relate mission spring traditional.,,10.0,Under Investigation
INC-00943,SITE-006,0.028165,35.475904,2026-06-23,Near Miss,,56.7,Participant beat bad partner understand player everyone money.,,7.7,Closed
INC-02309,SITE-004,-0.322774,36.056898,2024-06-23,Near Miss,Critical,9.6,Left artist forward than.,Third-party Damage,18.6,Closed
INC-00244,SITE-003,-2.302233,37.824926,2025-02-01,Equipment Failure,HIGH,46.8,Skill relate page science police worry end several best.,Valve Failure,8.2,Under Investigation
INC-02617,SITE-003,-2.264642,37.873324,2024-03-30,Leak,High,63.0,West nature bill above mission hospital past rich.,,10.9,Closed
INC-00060,SITE-001,-1.314315,36.849464,2026-01-20,Spill,Low,90.4,International truth reduce enough either decade wonder try central around improve.,,3.1,Closed
INC-01328,SITE-002,-4.075951,39.691655,2023-10-06,Near Miss,Medium,77.7,Free when huge artist.,Corrosion,6.5,Closed
INC-05733,SITE-006,0.032519,35.469976,2024-07-16,Leak,Medium,76.1,Glass feeling instead already fast cause study experience maintain clear share important military.,Corrosion,4.0,Closed
INC-02806,SITE-005,0.496263,35.252963,2023-12-20,Spill,medium,77.4,Less beautiful act body chance game home organization serve set.,Sensor Malfunction,7.4,Open
INC-05935,SITE-003,-2.261096,37.867642,2023-11-24,Leak,Critical,54.0,Improve general off history somebody father have time though.,Sensor Malfunction,22.7,Under Investigation
INC-00415,SITE-003,-2.270995,37.864233,2025-09-20,Near Miss,Critical,53.5,Fight blue such development sing huge.,Valve Failure,9.1,Open
INC-00506,SITE-005,0.499838,35.248677,06-Apr-2024,Leak,Medium,76.8,Computer PM rather these admit account toward yet long forward pay.,Corrosion,11.7,Under Investigation
INC-02374,SITE-001,-1.304335,36.844517,09-Aug-2025,Leak,Low,96.7,Sell happen condition task customer attention decide question spring.,Operator Error,5.7,Under Investigation
INC-02991,SITE-006,0.053533,35.47676,2024-09-11,Leak,Low,82.8,Citizen key course discussion heavy inside should war without less.,Valve Failure,1.8,Under Investigation
INC-00436,SITE-003,-2.311865,37.83643,2025-05-19,Equip. Failure,,56.7,Car when write system will small trip fight fear into operation.,Material Fatigue,17.5,Under Investigation
INC-05466,SITE-002,-4.059894,39.690542,2023-08-05,Equipment Failure,High,59.1,Form case south according you me.,Material Fatigue,0.8,Closed
INC-03551,SITE-004,-0.292811,36.104336,2026-01-07,Equipment Failure, Low,87.8,Customer family instead ten task way.,Sensor Malfunction,18.2,Closed
INC-04647,SITE-002,-4.063447,39.650233,2024-08-05,Equipment Failure, medium,76.7,Trial strategy never fact accept should reach as girl east phone one skin project sound.,Operator Error,18.5,Under Investigation
INC-04170,SITE-003,-2.309892,37.863947,2023-07-28,Equipment Failure,Critical,44.7,Offer marriage until create type wife activity community.,,24.5,Under Investigation
INC-04632,SITE-003,-2.267878,37.836644,2025-11-29, Leak,Low,82.7,Reality participant forward trial great our kind since its important both want all nice.,Operator Error,13.0,Open
INC-03592,SITE-007,-0.114783,34.778203,2025-09-01,Spill,Critical,44.9,Hit receive onto plan provide push however institution office.,Material Fatigue,15.9,Open
INC-01098,SITE-006,0.022377,35.432786,2025-06-26,Spill,Critical,51.3,Thing test want morning plant tax.,Operator Error,12.0,Open
INC-00803,SITE-003,-2.260995,37.834555,2025-04-09,LEAK,High,54.8,Husband look ask issue someone expert get very phone start lot life mention necessary treat shoulder arm.,,7.3,Under Investigation
INC-05044,SITE-002,-4.032364,39.64696,01/05/2025,Near Miss,Low,94.2,Player relate fish raise task his lay between fall organization campaign director into maintain.,Valve Failure,12.9,Under Investigation
INC-04299,SITE-003,-2.302292,37.857948,03/06/2025,Leak,High,32.0,These yes culture sister into pass start turn.,Third-party Damage,1.4,Under Investigation
INC-00212,SITE-004,-0.324131,36.104277,2026-02-21,Equipment Failure,Critical,21.4,Hit skin yeah safe alone only guy million strategy water.,Valve Failure,7.2,Closed
INC-01165,SITE-002,-4.061571,39.657987,2025-12-11,Near Miss,High,64.1,Treatment small score go prepare your manage.,Operator Error,1.5,Closed
INC-05024,SITE-003,-2.317379,37.872097,2025-12-29,Leak,High,60.2,Wall enough military police agency whom under sea four central structure page.,Operator Error,3.3,Open
INC-04231,SITE-006,0.013118,35.465403,10/20/2024,Leak,Critical,55.4,Consumer listen health plan window treatment.,Third-party Damage,13.2,Closed
INC-03095,SITE-006,0.058329,35.437066,2026-05-23,,Critical,26.5,Population however sure environment chair citizen accept reveal line feeling data product toward one million.,Corrosion,11.7,Closed
INC-02923,SITE-007,-0.082127,34.751651,29-Jul-2023,Fire,Low,98.4,Finish less them who still dream glass could security.,Material Fatigue,12.0,Open
INC-01347,SITE-003,-2.314313,37.870453,2023-11-05,Spill ,Critical,42.0,Strategy finally than base meeting size time smile trial face while against left second.,Corrosion,13.3,Closed
INC-00896,SITE-002,-4.067956,39.660893,2025-05-05,Leak,High,48.2,Off their environmental story three food owner.,Sensor Malfunction,9.6,Open
INC-03308,SITE-006,0.023731,35.435536,2025-11-23,near miss,Low,92.4,Traditional significant speak shake player really discover.,Sensor Malfunction,9.2,Open
INC-00388,SITE-001,-1.278878,36.846691,2026-06-24,Fire,HIGH,63.2,Create mission realize listen campaign forward coach floor space store build blood land wait.,Material Fatigue,9.7,Under Investigation
INC-05058,SITE-001,-1.263108,36.840621,2024-06-07,Equipment Failure,Critical,45.5,Partner state analysis theory board know themselves young evidence cup media wrong learn government future.,Corrosion,3.6,Open
INC-05309,SITE-001,-1.303954,36.832635,2025-10-27,Equipment Failure,Low,88.1,Available since behavior factor I democratic skill school cultural since.,Valve Failure,5.6,Closed
INC-02218,SITE-002,-4.023801,39.648714,2025-05-07,Leak,high,61.6,Media day produce religious brother floor his.,Valve Failure,8.6,Closed
INC-00947,SITE-003,-2.278524,37.860642,2026-06-01,,Low,86.6,Onto quality call carry talk represent industry month however first general involve your positive enjoy.,Sensor Malfunction,26.9,Closed
INC-04427,SITE-004,-0.313937,36.050215,2025-09-01T00:00:00Z,Fire,high,61.9,Laugh add phone time fine note three never.,Sensor Malfunction,9.7,Open
INC-03193,SITE-001,-1.267368,36.794296,2025-09-09,Equipment Failure,Low,-12.3,Price something age home certain away water few.,Operator Error,13.3,Under Investigation
INC-05230,SITE-001,-1.307337,36.796846,2024-12-02,Equipment Failure,Low,83.9,Production imagine summer black.,Sensor Malfunction,5.7,Under Investigation
INC-02324,SITE-005,0.536093,35.245334,2025-05-20,Near Miss,Medium,77.4,Degree there mission miss everybody effort fly measure rest.,Third-party Damage,5.7,Closed
INC-01529,SITE-006,0.05584,35.474271,01-Sep-2023,Leak,Low,85.3,Everyone physical center ground feeling that military attack final method popular bank possible Mr.,Sensor Malfunction,8.4,Open
INC-04989,SITE-002,-4.078329,39.692322,2025-07-23,Fire,Medium,-0.5,Manage beyond ability along of hot share oil offer specific grow power game official level agency note.,,1.6,Open
INC-03002,SITE-004,-0.322772,36.065292,2026-06-29,Near Miss,High,58.8,Run beautiful notice day eight use along left often social place beat yes.,Operator Error,13.4,Closed
INC-05232,SITE-001,-1.26398,36.792453,2025-09-01,Spill,Low,76.0,Range watch blue air part hard remember he real behavior capital training.,Operator Error,5.1,Closed
INC-03449,SITE-007,-0.0791,34.777136,2023-09-17,Near Miss,High,68.4,Term you possible statement success data experience more future mouth public ahead.,Operator Error,7.7,Closed
INC-03482,SITE-001,-1.308879,36.843886,2024-11-27,Spill,Low,85.0,Cold six main similar along already us.,Valve Failure,12.8,Closed
INC-00741,SITE-002,-4.026172,39.645997,2026-06-29,Spill ,Medium,74.0,Both success pass board grow message million five music why treatment.,Valve Failure,1.5,Closed
INC-02122,SITE-006,0.070138,35.480635,2024-04-18,Leak,Low,93.7,Certainly poor five away son east wife risk.,Operator Error,23.1,Open
INC-04601,SITE-004,165.382095,36.092355,2025-11-27T00:00:00Z,,Low,85.1,Be direction life national population behind clear key.,Sensor Malfunction,6.5,Open
INC-03437,SITE-004,-0.286591,36.100479,2024-08-21,Near Miss,Low,81.1,Service standard assume couple activity study particular change test require thing head one purpose.,Third-party Damage,3.6,Open
INC-05329,SITE-006,0.03091,35.462408,12/11/2024,Near Miss,medium,94.1,Operation meeting build require draw wonder hear community place building four similar.,Corrosion,4.0,Under Investigation
INC-00623,SITE-003,-2.308413,37.833884,2026-07-03,Fire, Critical,34.3,Good mother likely thousand house artist eye treatment stand.,Sensor Malfunction,2.9,Closed
INC-00502,SITE-003,-2.278167,37.874322,2024-08-02,Leak,High,73.9,Name bad process stay.,Third-party Damage,1.1,Closed
INC-03795,SITE-006,0.061986,35.470931,12/01/2025,Fire,Medium,74.9,Defense account be few stop quickly individual must leg prevent music throw election song.,,4.0,Open
INC-02869,SITE-007,-0.091121,34.788156,2024-10-01,Leak,Low,92.4,Political education world officer listen high include we consider that Mrs unit represent other.,Third-party Damage,3.3,Open
INC-00168,SITE-007,-0.074628,34.785374,23/08/2024,Near Miss,High,68.8,Yourself company interest write many list small million almost.,Third-party Damage,6.0,Closed
INC-04352,SITE-002,-4.078069,39.700822,2024-10-03,Spill,Medium,67.1,Service sense free add network bring discuss.,Operator Error,6.5,Under Investigation
INC-04932,SITE-001,-1.304661,36.846585,2026-09-25,Near Miss,Critical,34.8,Population lawyer Congress cut development heart safe to yard hot.,Third-party Damage,9.1,Closed
INC-00999,SITE-006,0.06208,35.46584,2024-10-16,Near Miss,Critical,33.0,Population probably most not.,,7.4,Under Investigation
INC-00129,SITE-005,0.536108,35.239428,2023-11-26,Fire,Low,93.6,Mission inside very art agent hold ten away specific region billion.,Material Fatigue,3.1,Open
INC-02302,SITE-003,-2.265872,37.835378,2026-04-22,Spill, High,74.9,Modern save product simple film sometimes responsibility recent American might no board information alone.,Material Fatigue,4.3,Open
INC-03224,SITE-002,-4.029891,39.688461,2024-05-21,,Low,82.0,Movie increase amount sister for way.,Sensor Malfunction,10.0,Closed
INC-02011,SITE-006,0.05733,35.436624,2026-04-07,Fire,Medium,70.2,Region produce public might other senior show property third local boy teacher task.,Sensor Malfunction,16.9,Under Investigation
INC-03954,SITE-003,-2.300738,37.859175,2024-11-03,Leak,Critical,46.7,Fear to already budget former very certainly figure middle board.,Operator Error,20.7,Open
INC-01225,SITE-004,-0.319442,36.05734,2025-10-14,Equipment Failure,Low,76.9,Western system firm everyone hit create data.,Material Fatigue,7.2,Under Investigation
INC-02102,SITE-007,-0.119508,34.736195,2023-08-20,Near Miss,Low,81.2,Life age community fish Republican financial popular which necessary pattern ok very statement car drive family office.,Corrosion,10.8,Open
INC-02254,SITE-006,0.030073,35.462689,2025-11-01,Near Miss,Critical,32.5,Keep buy also process report local brother local movement sometimes nature for bag religious sport especially threat prevent new.,,3.3,Open
INC-05925,SITE-005,0.543778,35.28326,2024-10-25,Leak,Critical,56.8,Republican serious difficult try off military possible.,,5.6,Under Investigation
INC-04499,SITE-003,-2.311404,37.86782,2025-12-17,Leak,High,60.3,Stop television play result religious.,,4.0,Under Investigation
INC-02931,SITE-003,-2.268985,37.865894,2024-11-01,Equipment Failure,High,48.9,Position ground research memory doctor clear believe side rise thus.,Corrosion,12.1,Open
INC-06083,SITE-002,-4.031157,39.659463,01/05/2024, fire,,64.2,Admit nothing test idea be improve month majority option loss option into compare author.,Valve Failure,3.0,Closed
INC-01497,SITE-007,-0.112672,34.786433,2025-12-18,Leak,Medium,73.9,Long before explain dinner each wrong discover sort.,Operator Error,5.2,Closed
INC-01616,SITE-003,-2.304704,37.871857,2023-09-09,Leak,Med,83.2,Detail concern exactly western five rather.,Sensor Malfunction,9.0,Under Investigation
INC-02854,SITE-003,-2.306507,37.819442,2025-11-08,,Critical,35.1,Not herself thing official hour time truth including current give claim reveal region.,Operator Error,12.9,Open
INC-03971,SITE-005,0.538292,35.247756,2026-02-14,Leak,Low,92.7,These else subject the financial memory end source no guy challenge edge meet law.,Valve Failure,12.7,Open
INC-00688,SITE-007,-0.116972,34.733204,2025-04-18,Spill,Medium,74.7,Anything full real amount exist of measure.,Valve Failure,1.6,Under Investigation
INC-03842,SITE-005,0.489674,35.289959,2024-02-11,LEAK,LOW,87.0,Partner any maybe customer bag painting itself arm together him spring with most forward some claim mother interest oil.,Corrosion,8.6,Closed
INC-00752,SITE-006,0.029084,35.46155,2024-03-20,Spill,High,80.5,Meet read forward cell knowledge however cold project operation everything.,Operator Error,6.9,Under Investigation
INC-00072,SITE-006,0.023352,35.473683,2025-11-20,Leak,Low,87.6,Line both plan they expert brother pull response lead state yard good enter tree lead.,Material Fatigue,7.2,Open
INC-00687,SITE-005,0.492822,35.245714,2024-09-14,Near Miss,Low,95.2,Us student former relate debate whatever spring put ten amount figure one dog third cover agreement.,Material Fatigue,9.9,Closed
INC-01286,SITE-003,-2.27017,37.81883,2024-07-23,Fire,Medium,79.1,Finish network traditional citizen after wait bit where.,Corrosion,6.4,Open
INC-01398,SITE-002,-4.070131,39.647146,2023-12-26,Leak,Low,80.3,Peace forget full positive example change participant hospital deal product finish he agency suffer them benefit prevent beautiful.,Material Fatigue,3.6,Open
INC-03123,SITE-004,-0.318807,36.093857,2024-05-16,Spill,CRITICAL,40.2,Answer number yard approach positive relate shake.,Third-party Damage,18.7,Closed
INC-02833,SITE-001,-1.268619,36.810187,2025-10-10,Equipment Failure,High,63.5,Discover face source mother player do same economic increase such.,Material Fatigue,18.3,Under Investigation
INC-01757,SITE-004,-0.319804,36.057094,2024-09-13,Equipment  Failure,Medium,70.8,Director they improve media experience since well door rather let Republican up give rich skill avoid.,Third-party Damage,2.3,Under Investigation
INC-01357,SITE-006,0.027792,35.421238,2026-01-12,Fire,High,69.5,What single we project not score notice west against chair west go leg discuss yes.,Third-party Damage,6.5,Closed
INC-01983,SITE-005,0.529877,35.254094,2024-08-06,Leak,Medium,65.1,Compare media view production may firm network while color energy improve reason civil public.,Operator Error,3.6,Closed
INC-05725,SITE-002,-4.036045,39.69121,06-Apr-2026,Near Miss,Critical,61.1,Name goal alone seat source statement debate.,Operator Error,17.6,Open
INC-03171,SITE-005,0.539655,35.296482,2025-05-14,spill,High,53.6,Industry son pull ok rule eat effect.,Sensor Malfunction,8.1,Under Investigation
INC-02303,SITE-005,0.506274,35.285008,2025-03-20T00:00:00Z,Spill,Low,91.1,Entire produce suggest wear town possible.,Valve Failure,7.7,Closed
INC-04449,SITE-006,0.053588,35.476784,2023-12-29,Fire,High,70.5,Apply trouble amount opportunity today movie present.,Material Fatigue,12.0,Under Investigation
INC-03754,SITE-001,-1.313661,36.837189,2026-04-13,Leak,Medium,92.3,Lay three field energy court his mention.,,5.0,Closed
INC-01016,SITE-001,-1.312237,36.794164,2026-10-02,Equipment Failure,Low,88.5,Lose many total expert newspaper yet want.,Operator Error,2.6,Under Investigation
INC-04066,SITE-006,0.01486,35.421363,11/30/2024,Near Miss,Critical,54.0,Wear simple rest suddenly a billion east floor drive on against you lay generation institution.,Third-party Damage,2.4,Under Investigation
INC-00891,SITE-006,0.017114,35.431098,2024-06-16,Leak,High,63.7,Ahead international attorney woman be until group.,Valve Failure,7.1,Closed
INC-04792,SITE-006,0.058896,35.436568,2026-06-26,Fire,Medium,76.0,Fear bar natural film student indeed catch.,Valve Failure,19.9,Closed
INC-01139,SITE-001,-1.273921,36.807028,2024-09-06,Near Miss,High,51.3,Last paper have side build.,Sensor Malfunction,4.2,Under Investigation
INC-02921,SITE-002,-4.02515,39.653134,2026-03-02,Leak,Critical,57.7,Us industry mouth brother nearly strong know four pull account trip line during morning hear daughter this front something performance.,Third-party Damage,2.8,Closed
INC-00169,SITE-003,-2.273095,37.832092,2024-03-05,Leak,Critical,48.6,Laugh any indeed fall others choice may billion.,Material Fatigue,14.2,Closed
INC-00394,SITE-007,-0.127851,34.74325,2025-05-24,Spill,Medium,79.3,On safe strategy nation choose blood morning perhaps baby later.,Valve Failure,15.3,Under Investigation
INC-03623,SITE-001,-1.307945,36.811475,2025-11-11,Leak,Low,80.7,Argue performance this gas down laugh this adult a himself attorney.,Valve Failure,19.4,Under Investigation
INC-00291,SITE-005,0.543913,35.253556,2026-07-17,Fire,Low,83.2,Food indeed ability main fire ask many degree.,Material Fatigue,2.7,Open
