audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-02559,SITE-001,2026-07-19,2026-08-02,83.9,Maintenance Backlog,Tv camera step position stand realize.,Yard game perhaps toward painting single fly word contain guess.,Kayla Peterson,Closed
AUD-01646,SITE-001,2025-08-09,,68.5,Environmental Monitoring,Operation around suddenly direction administration set his ability firm forward.,Prevent have about nation follow century popular.,Karen Johnston,Open
AUD-02421,SITE-005,2026-06-25,,77.1,Emergency Response,Southern suddenly which cup contain ever fall factor person dark responsibility down realize owner claim by follow when evening there future finish less couple sit.,Enjoy course fight by wrong official cold your.,Bryce Daugherty,In Progress
AUD-01746,SITE-003,2026-06-02,2026-07-16,68.9,Documentation,Employee will party difference sign range simply important third training upon reason training enter wide security information soon likely into business.,Agree game itself night protect white four ready successful wall national coach last.,Patricia Sweeney,Closed
AUD-00365,SITE-006,2025-05-15,2025-07-03,49.8,Maintenance Backlog,Executive good rock beat southern either color black process before improve page mean during good gun claim road.,Heavy establish provide particular different account do total activity treatment.,Alexander Salazar,Closed
AUD-01469,SITE-002,2026-04-25,16/05/2026,83.7,Safety Equipment,Trip professional late young blood there range face morning city rather perform add thing add fly through country better.,Explain first interest while lead head war close television trouble pretty want remember.,Sherry Williams,Closed
AUD-02743,SITE-002,2025-01-01,01/08/2025,91.0,Documentation,Probably many which picture reason sing firm always measure political how drug six we open way.,Level support air determine.,Michael Brown,Closed
AUD-02504,SITE-006,2025-12-25,,58.4,Maintenance Backlog,Year idea right part position nor machine every physical call great common change thing talk still role military job.,Television region war mention compare control tax moment far third authority.,Deborah Guzman,In Progress
AUD-02714,SITE-005,2024-08-30,,73.0,Containment Integrity,Time herself apply trouble red where chair sit conference.,,Emily Boyd,In Progress
AUD-00010,SITE-005,2026-02-12,2026-02-22,87.3,Emergency Response,Side season road discover do tax car television total imagine however level suffer issue case record his.,Activity wait third yourself put side authority.,Joel Lewis,Closed
AUD-00017,SITE-005,2025-02-11,03/12/2025,85.0,Personnel Training,Avoid hundred or side senior success test like almost Congress end.,,Wayne Clark,Closed
AUD-01569,SITE-006,2025-06-27,,65.7,Personnel Training,Team experience which try some century expect score.,Interesting least system prepare free hope.,Kimberly Williams,Open
AUD-02826,SITE-006,2024-07-09,,73.2,Maintenance Backlog,Interview thank should dog language your professional result focus.,Arrive loss should media them college beyond base once.,Joseph Horton,Open
AUD-01923,SITE-001,2024-07-18,,80.3,Environmental Monitoring,Reality another while despite set.,Recent fight determine green hair economic organization soldier case source line per identify.,Tom Holt,In Progress
AUD-02395,SITE-004,2025-07-23,15/08/2025,78.5,Maintenance Backlog,Approach despite too religious couple scientist ten police citizen front.,,Victoria Rivera,Closed
AUD-01684,SITE-002,2026-01-26,,84.6,Maintenance Backlog,Senior surface relate writer high administration.,,Jessica Ramos,Open
AUD-02310,SITE-002,2025-10-21,,92.4,Leak Detection,If debate wrong dream film Democrat specific trip and visit fact who pretty including because billion act recently itself anything woman change.,Need pressure claim without catch seven character ever them future.,Sarah Kaufman,In Progress
AUD-02346,SITE-004,2026-03-23,,85.9,Environmental Monitoring,Government population may himself although sport full give model ever often tend book force show reason environment letter activity.,Firm watch bill per more action.,Angel Johnson,In Progress
AUD-02063,SITE-007,2024-10-25T00:00:00Z,2024-11-15,96.8,Documentation,Unit president night position majority must reveal smile these evening street.,Possible thus avoid cultural nation time interview.,Brittany Jones,Closed
AUD-01005,SITE-003,2025-05-12,,68.4,Maintenance Backlog,Nature finish note along stop get real trip foot stock world personal recently use people throughout blood grow base staff experience kid.,,Christine Vaughn,Open
AUD-00130,SITE-001,2025-07-20,2025-08-03,84.2,Personnel Training,Couple admit too ball back character choose only likely me.,Himself floor animal weight know stuff which.,Michael Johnson,Closed
AUD-00333,SITE-001,2025-07-09,,79.1,Containment Integrity,Radio understand increase step some scene goal you new claim.,,Erin Gibbs,Open
AUD-00763,SITE-003,2025-12-05,,51.1,Environmental Monitoring,Design less various there sing day other rule particular agree trial professor pull wear quickly lay chair community her include matter structure authority democratic its protect.,Kid white food evening like produce.,Justin Garcia,Open
AUD-01144,SITE-006,2024-05-13,2024-06-02,60.6,Leak Detection,Mr after social decade blue reveal company.,Mention exactly quickly final particularly kid international culture almost collection.,Brent Evans MD,Closed
AUD-00066,SITE-005,2025-05-11,,80.6,Personnel Training,Shoulder support money every speak wonder officer difficult ten democratic benefit around address.,Area receive us either treat message.,Krystal Hunt,Open
AUD-01192,SITE-006,2026-04-15,2026-07-06,80.4,Leak Detection,Star process again thousand together stock cell box plan.,Difference cause expert near.,Richard Tyler,Closed
AUD-00400,SITE-007,2025-09-23,2025-10-03,77.3,Maintenance Backlog,Share change sound short seat country stand administration practice.,,Rebecca Drake,Closed
AUD-02048,SITE-006,2026-06-23,,55.3,Containment Integrity,Sit particular three fear couple free according whom occur.,Live easy offer media like partner.,Julie Stewart,In Progress
AUD-01960,SITE-007,2025-12-03,2025-12-09,96.2,Maintenance Backlog,Deep behavior safe hospital owner condition economic also own nor improve machine name edge today.,Which tree interesting during task much.,Donald Larson,Closed
AUD-02345,SITE-004,2024-11-13,2024-12-03,68.9,Containment Integrity,Special southern week simply I campaign large board finally put expect identify.,Particular throughout maintain group whose power value stay dark election song bill news.,Jonathan Ward,Closed
AUD-01184,SITE-003,2025-08-22,,65.9,Containment Integrity,Thought theory idea which color recognize quickly.,,Joyce Fox,Open
AUD-02481,SITE-002,2024-11-30,11/12/2024,96.9,Maintenance Backlog,Cup beyond born play which yes within black tell laugh management church miss animal together.,,Jennifer Miller,Closed
AUD-02320,SITE-004,2025-06-18,2025-07-13,79.8,Containment Integrity,Professor such network early win will allow key scene doctor these possible reflect trade paper century air stop kitchen everybody bar skin.,,Jennifer James,Closed
AUD-01389,SITE-003,2025-03-22,,77.1,Emergency Response,Vote open law tough your research agree ability rich key service yard remain.,Possible method than quality member stay around.,Mrs. Cynthia Wallace,In Progress
AUD-01604,SITE-002,2024-04-22,,71.1,Containment Integrity,Catch local whose model expect as page model from including.,Fear however operation discover media skill perhaps week study course outside we notice.,Kenneth Chandler,In Progress
AUD-01771,SITE-001,2024-05-02,,85.9,Personnel Training,Until style measure travel shake analysis possible officer cell western majority man similar.,Grow have check owner source air school western crime low thought whether pass add value.,Michelle Shaffer,In Progress
AUD-02615,SITE-004,2026-03-12,,64.3,Personnel Training,Determine others agency produce national picture Mrs way doctor understand some gas seek ground less game society.,,Victor Johns,Open
AUD-01938,SITE-001,27-Aug-2025,09/17/2025,73.3,Leak Detection,South his impact American young board senior almost clearly.,Record four career suffer thousand possible.,Ryan Evans,Closed
AUD-00579,SITE-003,2026-02-26,,53.2,Emergency Response,Letter matter institution share player teacher range law business season number eye no.,Game manager guy save base friend friend deal message address.,Laura Johnson,Open
AUD-01423,SITE-006,2025-07-05,,79.9,Maintenance Backlog,Teach the side carry yourself specific improve measure region interview far bit campaign choose machine lay rock pass.,Plan budget health choose low coach director few.,Amy Francis,In Progress
AUD-00067,SITE-001,2024-11-26,2024-12-18,-7.5,Documentation,Heavy couple education mean dark kid training remember while.,Also part all beyond us outside red nothing.,Paul Wood,Closed
AUD-01622,SITE-005,2024-10-13,,80.2,Environmental Monitoring,Front charge kitchen not than American career scientist fast support end key decision participant.,Catch standard visit walk style factor now red be begin.,Mark Hale,Open
AUD-00289,SITE-005,2025-05-13,,68.6,Personnel Training,Body might the determine government true sing visit case federal possible animal.,Couple government form culture body.,Charles Savage,Open
AUD-02126,SITE-006,2026-06-24T00:00:00Z,,84.3,Safety Equipment,Than heavy why cost watch second until store suddenly before change station require maintain condition case.,,Julie Sheppard,Open
AUD-01555,SITE-007,2026-07-26,2024-04-30,76.5,Documentation,Ready state public husband reality direction green project kitchen kid along heart soon financial.,Speak page role top theory cell cold available identify size.,Mr. Scott Sanders,Closed
AUD-01014,SITE-004,2026-02-18,,100.0,Documentation,Feel science pressure space one record religious final environment.,,Brian Smith,In Progress
AUD-00851,SITE-003,2026-01-03,2026-02-22,47.8,Emergency Response,Painting let measure it want soon table many idea article range.,That arrive through personal really research both identify than expert.,Lisa Turner,Closed
AUD-02655,SITE-002,2024-09-04,2024-09-14,76.6,Personnel Training,Class party decide magazine identify tell resource its.,Mention give bank respond direction.,Brian Conley II,Closed
AUD-01999,SITE-006,2025-11-01,,68.3,Leak Detection,First soon budget behavior who clear sister Democrat reason surface city father per child floor.,Teacher firm staff left friend change challenge more within case.,Brady Avery,In Progress
AUD-02834,SITE-005,2025-02-05,2025-02-11,98.2,Maintenance Backlog,Energy quickly hundred night could century people body.,Accept control south develop cause front peace commercial.,Kristina Wright,Closed
AUD-02576,SITE-006,2025-10-02,,81.2,Maintenance Backlog,High church hundred college yet once break church.,Hold late make system land issue something give argue enjoy.,Thomas Carr,In Progress
AUD-00228,SITE-002,2025-07-25,,84.5,Emergency Response,Keep would carry lot all now event free food value figure both compare certain show PM name.,,Timothy Tate,In Progress
AUD-01931,SITE-003,2025-08-09,,74.7,Maintenance Backlog,Involve current involve argue up language commercial down weight.,Onto difficult across.,Tara Yoder,Open
AUD-00614,SITE-005,2025-06-26,,74.9,Maintenance Backlog,Detail student behind western kitchen hot might board bank agency would ahead hit democratic effect.,,Angela Estrada,In Progress
AUD-01521,SITE-003,2026-04-07,,58.5,Maintenance Backlog,Soldier heavy top just me hot test across long idea every reduce deal accept painting medical.,Whole contain down professional piece together tree site.,Timothy Jones,In Progress
AUD-00542,SITE-007,2026-05-21,,76.5,Containment Integrity,Reason conference travel stay truth seek could practice pick these spend school.,The argue your close increase put reduce vote.,Jeremy Hicks,Open
AUD-00282,SITE-004,2026-05-25,,84.5,Safety Equipment,Value until lay once sense process mind order evening box mother reflect team.,,Mary French,In Progress
AUD-01563,SITE-004,2024-11-02,,89.5,Containment Integrity,Exactly hotel know stock risk difficult we tonight either voice.,,Gabriel Edwards,Open
AUD-00526,SITE-001,2024-04-23,2024-05-17,59.8,Environmental Monitoring,Just again bar fear court customer report leave safe trial about claim information gun nothing south.,Ok song ever do reduce ball.,Ryan Salazar,Closed
AUD-02687,SITE-004,2024-06-25,2024-07-25,82.3,Maintenance Backlog,Public staff interesting fall officer address answer organization color economic yes person along once.,,Michelle Stein,Closed
AUD-00523,SITE-001,2024-08-25,,-2.6,Safety Equipment,Painting song record then just require explain follow consumer film conference method tough live.,Bag protect note statement push clearly society ever matter like of when age.,Diane Bishop,In Progress
AUD-02507,SITE-001,2025-01-13,2025-02-07,58.1,Maintenance Backlog,Standard city air sort senior special be already pressure me when light.,,Nicholas Morgan,Closed
AUD-00306,SITE-007,2025-07-02,2025-07-17,88.9,Maintenance Backlog,Down difference anyone industry huge allow during central happen main stock chair cut wrong order allow wrong offer consider laugh hold.,Remain lead send world size.,Alicia Taylor,Closed
AUD-01977,SITE-006,2025-07-19,,46.2,Containment Integrity,Citizen control toward anything meet fill may adult although glass court it lose side.,Game relationship pretty meeting away world.,Nicole Miller,In Progress
AUD-02206,SITE-001,2026-03-06,2026-03-15,98.4,Environmental Monitoring,Thousand suffer school recently teacher price reality nice movie tonight college wear cultural.,Nothing believe science data interesting special.,Elizabeth Davis,Closed
AUD-00505,SITE-002,2025-11-22,2025-12-22,-3.0,Personnel Training,Late every condition seem case so second.,Sit number job person.,Anthony Lawson,Closed
AUD-02362,SITE-007,2025-05-27,,77.0,Safety Equipment,Region attack different kitchen however.,Couple when market hand late article item.,Elizabeth Stuart,Open
AUD-01100,SITE-007,2025-05-26,2025-06-17,89.4,Leak Detection,Myself open deal young answer recently movie admit blood city feel general.,Everybody friend writer imagine education simply wonder shake school find way side there.,Wesley Henderson,Closed
AUD-01595,SITE-001,18/10/2025,2025-11-14,83.2,Documentation,Contain study really too enjoy reveal staff run story though clear party expect price.,Dark team now marriage.,Joshua Mendoza,Closed
AUD-01064,SITE-004,2024-03-27,04/25/2024,93.0,Containment Integrity,Smile soldier him none change view cover reason experience while medical father ball us soldier onto.,Program travel enter center development.,Ronald Craig,Closed
AUD-00716,SITE-004,2025-06-23,13-Jul-2025,88.4,Containment Integrity,Successful cultural red just offer term reason relate.,Meeting available painting yard bag per.,Joseph Williamson,Closed
AUD-00291,SITE-001,2024-06-22,22/07/2024,89.0,Leak Detection,Political indeed sense piece whose baby challenge star near theory then news magazine apply brother last.,Since option air traditional few thing school rich throw certain.,Chad Stewart,Closed
AUD-00976,SITE-001,2024-06-04,06/26/2024,82.9,Containment Integrity,Again tonight another focus peace so affect smile effort thought common drop office face our force idea couple participant.,Long rather arrive fine play skin pick.,Allison James,Closed
AUD-00059,SITE-007,2024-08-22,,73.3,Maintenance Backlog,Current protect degree wall eat discover case sound boy city majority long enter something.,Game run prepare will catch pull former control old.,Elizabeth Pruitt,In Progress
AUD-00392,SITE-001,2026-03-19,,83.3,Maintenance Backlog,Financial beat news Congress environment care would worry point style.,Field point forward record human enjoy interest create whole fly realize dark.,Ian James,In Progress
AUD-00131,SITE-005,2026-01-13,2026-02-03,81.7,Leak Detection,He common yes decide than five door across after eat heart.,Leader rather great control cost statement ask investment those message easy reveal bag social.,Carolyn Newton,Closed
AUD-02350,SITE-007,2025-12-01,,98.0,Personnel Training,Player clearly argue wish page quality hair already billion medical.,Author region dog television probably guy senior result subject wait.,Jessica Norton,Open
AUD-00545,SITE-004,2025-07-30,06-Aug-2025,85.6,Leak Detection,Party unit particularly money resource account section shake stay under much mind middle statement show region often leader everybody protect rock.,Old born hundred success nature soldier friend.,Mrs. Rebecca Kelly,Closed
AUD-02182,SITE-003,2026-02-02,,49.0,Emergency Response,All adult meeting difference agent such economic bad follow.,Matter begin their break mention.,Susan Goodwin,Open
AUD-00852,SITE-004,2024-03-13,2024-04-11,82.5,Leak Detection,Similar power care truth material move trial who so require hold just quality report space authority stock street.,New accept society billion suddenly green while a hot.,Rhonda Fox,Closed
AUD-00164,SITE-006,2024-05-28,,65.3,Containment Integrity,Know message prevent water summer matter Congress must beat.,Together energy teach piece add project ten level how quality real.,Amanda Lee,In Progress
AUD-02943,SITE-002,2026-04-08,2026-04-13,85.7,Personnel Training,Property relationship clearly garden keep nation something friend rock light.,Big actually system clear ask wife usually issue create space.,Kayla Khan,Closed
AUD-02700,SITE-001,2025-05-15,2025-05-27,87.0,Maintenance Backlog,Live attack structure little matter position especially hospital former where make watch.,,Jeffrey Stanley,Closed
AUD-01130,SITE-005,2024-04-23,2024-05-20,73.9,Documentation,Clearly he certainly Mrs federal prevent stop account home themselves across kitchen whole low according left economic.,Although determine parent himself eye.,Brandon Hall,Closed
AUD-01902,SITE-006,2026-06-10,,76.6,Documentation,Stand third off treat leader area others what mind social carry talk common.,Meet suddenly hear law behavior general team paper.,Arthur Walker,Open
AUD-02542,SITE-002,2026-05-28,2026-06-10,89.7,Personnel Training,Evening right owner finish talk I look certain receive within letter piece wrong play case throw.,Themselves father end model.,Michelle Yates,Closed
AUD-00091,SITE-004,2025-04-17,2025-04-30,86.1,Emergency Response,Number man return wife service off method prevent natural machine common person force budget day anything authority speak hold community later.,This soldier surface no campaign ten manage film certain question teacher research time but amount.,Rebecca Spencer,Closed
AUD-02689,SITE-007,2026-01-06,,78.3,Maintenance Backlog,Rock particular indeed guy try across south shake moment music force eye east hospital public challenge look finally treat.,,Margaret Roberts,Open
AUD-01229,SITE-002,2024-03-06,2024-03-31,71.7,Containment Integrity,Night anything picture son several source one direction side.,Standard foreign determine time whether group perform discussion authority.,Joseph Freeman,Closed
AUD-00834,SITE-007,2024-08-04,2024-08-23,81.1,Personnel Training,Music drug real guess trade thus reduce fire book agent.,Analysis develop light until understand top maybe under its chair.,Gregory Rodriguez,Closed
AUD-01567,SITE-001,2025-01-29,2025-02-05,83.1,Leak Detection,Collection whole professor owner main tree prove would change.,Letter down throw experience step finally school.,Logan Gonzalez,Closed
AUD-00519,SITE-007,2024-02-22,2024-03-01,87.0,Leak Detection,Game forward how reason rest for interest culture matter learn husband yet special identify form force.,Safe born raise task offer all through occur measure along.,Erica Lawrence,Closed
AUD-00946,SITE-006,2025-08-07,,50.4,Environmental Monitoring,Throw vote weight mouth easy finally draw he down include purpose court this democratic.,City movie defense nothing necessary adult bad say show but bar bill rather.,Andrea Thomas,Open
AUD-01698,SITE-004,2024-09-13T00:00:00Z,2024-09-22,99.8,Environmental Monitoring,Marriage finish any ready short computer hit state vote table guess Congress.,,Kristine Mahoney,Closed
AUD-02705,SITE-001,2025-05-24,2025-05-29,80.4,Containment Integrity,Scientist focus stuff few remember maintain section interview time available five.,Green discussion either son board law fund study clearly night already.,Kaitlyn Sweeney,Closed
AUD-00920,SITE-006,2024-11-27,,48.5,Documentation,Must participant bed travel level also public single across serve run alone great lose few almost.,New full present down suddenly miss indeed increase.,Megan Grant,In Progress
AUD-02729,SITE-004,2025-04-25,2025-05-17,88.3,Environmental Monitoring,Stuff art benefit itself marriage six company new anything without early most summer seem difference recognize beautiful dinner.,,Joe Smith,Closed
AUD-00064,SITE-002,2025-03-29,2025-03-22,66.6,Safety Equipment,List artist no response seven threat capital thus relationship more total box very huge land end year lead.,Sense play look finally century speech adult various.,Louis Smith,Closed
AUD-00210,SITE-004,2024-02-20,,71.0,Leak Detection,Wear fish production ever one respond hand main upon including tonight defense much foot take election.,Arm move too seven prepare wife space own teacher owner write exist there surface red describe.,Jessica Munoz,In Progress
AUD-00991,SITE-005,2026-01-04,,69.6,Safety Equipment,Office who check training bag rich house choice social live person adult add.,Believe start table foreign each teach several modern.,John Mcdonald,In Progress
AUD-02976,SITE-002,2024-05-09,2024-05-29,-3.3,Safety Equipment,Girl especially professional alone bit happen own though site security conference social sound impact live security draw world line site herself create.,Deal security including everybody.,Tracy Cameron,Closed
AUD-00507,SITE-006,2025-09-15,2025-12-14,64.6,Safety Equipment,Kid glass state out positive meet.,Able note will control culture recent exist office seem situation.,John Bauer,Closed
AUD-00493,SITE-005,2026-06-01,2026-06-23,95.8,Leak Detection,Western cut radio live simple might hand myself ground reality start.,Rock public American top.,Anne Lopez,Closed
AUD-02305,SITE-005,2024-04-29,,88.7,Personnel Training,Land election as parent national cost it need structure operation realize just him.,Economy begin yeah forget.,Christopher Jones,Open
AUD-01063,SITE-004,2025-09-18,2025-09-24,89.9,Leak Detection,Most identify pretty cultural forget long market president add hope box area in wait always pretty matter they so investment before attorney understand character reach whole.,Mean far that so tax lot game sound.,Raymond Valenzuela,Closed
AUD-00999,SITE-003,2024-07-16,2024-08-06,55.0,Documentation,Both parent probably behind least see rock thousand deal owner song personal political receive need appear run state paper.,Great population economy project himself safe.,David Wilson,Closed
AUD-00378,SITE-006,2025-11-26,,63.9,Environmental Monitoring,Most positive value environmental direction notice hundred safe.,Your save heavy push grow relationship source really analysis.,Jesse Turner,In Progress
AUD-02909,SITE-006,2024-09-21,,75.9,Maintenance Backlog,Article spend office education anything medical animal surface seven.,,Sean Robinson,Open
AUD-02202,SITE-005,2026-01-24,,86.2,Leak Detection,Consider have stock water find.,Will early simply gun year.,Faith Mack,Open
AUD-01470,SITE-002,2025-01-02,2025-01-11,89.2,Documentation,Either because today according power score live Mrs ask town.,Benefit candidate green lawyer.,Daniel Dyer,Closed
AUD-01874,SITE-002,2024-10-23,31-Oct-2024,90.2,Safety Equipment,Thousand whole entire air sometimes develop weight fear affect what type determine.,Pay boy him season friend along final.,Katie Williams,Closed
AUD-01896,SITE-005,2024-09-29,2024-10-20,70.1,Containment Integrity,Some into edge our purpose purpose education cover through purpose friend smile statement.,,Danielle Bailey,Closed
AUD-00947,SITE-003,2025-06-29,2025-09-12,-7.4,Leak Detection,Win image industry receive east economic consumer deep hold reach involve can another entire cultural.,Chance focus pass nice product another quality almost treat blue stop story enjoy.,Lawrence Brown,Closed
AUD-02451,SITE-007,12/06/2025,2025-12-22,84.1,Safety Equipment,House sport network morning fish anyone.,City very another suddenly half return finally.,Bianca Robertson,Closed
AUD-01244,SITE-003,2025-04-21,2025-05-23,74.7,Containment Integrity,Boy career top officer Mr prevent white compare image century response we anyone soldier successful significant generation first trial quite.,,Caleb Lopez,Closed
AUD-02611,SITE-004,2025-04-22,2025-05-11,88.6,Containment Integrity,Democratic dream start spring medical maybe sit.,Town bag property area focus politics partner.,Robert Nguyen,Closed
AUD-01981,SITE-006,2026-05-21,2026-08-14,58.5,Containment Integrity,New take world alone exist break sister bag thank her.,Worker consider decade two police writer attorney realize painting.,Meghan Ryan,Closed
AUD-02457,SITE-007,2026-03-24,2026-04-07,78.2,Containment Integrity,See outside trip collection radio away north item investment field decision.,Friend full ready local significant school even show just fish Mr year none.,Norma Roberts,Closed
AUD-00759,SITE-004,2024-12-21,2025-01-15,89.6,Safety Equipment,Speech feeling prevent stuff seem month follow man several who focus land.,White measure ball give add late lead idea.,Gary Thomas,Closed
AUD-01265,SITE-004,2025-05-08,2025-06-03T00:00:00Z,78.0,Safety Equipment,Focus quite score never clear seat Mr pull benefit whatever.,Left wind place free stop go include truth mission a his without ok form suffer.,Edward Terry,Closed
AUD-00811,SITE-007,2025-03-05,,82.8,Safety Equipment,Yeah new only relate mother already certain current until cause challenge.,Amount lawyer get region main avoid individual always red identify newspaper stuff.,Ryan Giles,Open
AUD-00902,SITE-004,2025-10-31,2025-11-27,89.6,Documentation,Call until mind receive yeah pay other produce prevent institution control one best chance prevent lead season measure because few student near.,Mouth day free side both travel stay.,Eric Meyer,Closed
AUD-00534,SITE-003,2024-12-27,,56.9,Documentation,Seven national like possible reach third less total exist window project have she care degree.,Section analysis indicate war marriage image chair force enough.,Kelsey Chaney,Open
AUD-00566,SITE-003,2026-01-22,2026-02-13,59.1,Leak Detection,Guy want radio economy world bit especially poor worry dream rather line.,Every care analysis perhaps give.,Christine Lewis,Closed
AUD-00619,SITE-007,2025-08-26,01/09/2025,88.3,Maintenance Backlog,Heart party recent plant manager impact loss upon land.,,Travis Lewis,Closed
AUD-01691,SITE-002,2024-12-24,2025-01-06,90.4,Documentation,Science brother any middle hospital human anything order yeah whom hotel assume current business along study staff stock change.,Pick table now control.,Kayla White,Closed
AUD-02902,SITE-007,2024-11-27,,100.0,Leak Detection,Bed blue Democrat movement lay experience your young again major response country high certain situation house military better moment.,,Sandra Mills,Open
AUD-00328,SITE-002,2025-05-19,2025-05-29,100.0,Safety Equipment,Stay message production right cell religious next president sure parent grow off idea hope dark old perform.,Someone decade guess action training around read.,John Valdez,Closed
AUD-00281,SITE-007,2024-11-27,,79.0,Environmental Monitoring,Reveal early rise imagine add state maybe hair find far guy standard garden next sign arrive Republican strategy rest increase rock right home agree buy.,Even piece cell talk never though any human house.,Matthew English,Open
AUD-00178,SITE-002,2025-04-06,2025-04-17,93.0,Personnel Training,There speech box not later matter reduce large company increase people rich game easy fear wear may from central vote ago clear audience society hard specific audience.,Analysis design staff entire yourself suffer book.,Christina Delgado,Closed
AUD-02070,SITE-004,2024-03-26,2024-04-16T00:00:00Z,76.7,Personnel Training,Increase Democrat speak become take center into thus over gas show start forward wear develop though professional these real.,Edge remain major member happy beautiful.,Matthew Barton,Closed
AUD-02039,SITE-001,30/06/2025,,96.7,Safety Equipment,Avoid top place including citizen single community open of speech remember.,,Darlene Park,Open
AUD-00192,SITE-004,2025-02-16,2025-03-18,96.0,Personnel Training,Positive else enjoy middle amount area push reason last career wind rule wait car either money.,,Shawn Contreras,Closed
AUD-02143,SITE-007,2024-11-28,13/12/2024,90.5,Safety Equipment,Body successful catch half thus move traditional buy defense foreign stay task school piece couple rule his door economy address explain actually.,Baby set treat around condition those.,Sophia Johnson,Closed
AUD-02218,SITE-007,2025-05-26,2025-06-23,78.8,Documentation,Indicate life after hear citizen nothing garden wrong remember various enter answer newspaper.,,Cole Johnson,Closed
AUD-02311,SITE-001,2025-05-02,,78.5,Personnel Training,Trade eight knowledge yourself chair security least recent campaign section change career myself serve theory who message its those concern around likely measure television.,Lawyer ok about certainly always talk research bed pull already ability.,Nancy Berry,In Progress
AUD-00191,SITE-001,11/07/2026,,81.1,Containment Integrity,Watch subject mission fund body learn.,Again many want significant ability give teacher well what.,James Ball,Open
AUD-00031,SITE-004,2025-06-01,2025-05-24,90.3,Documentation,Walk better population garden expect return appear let end term ever meet popular bar cup.,Night from win significant market.,Justin Baker,Closed
AUD-02473,SITE-005,2025-07-26,08/04/2025,92.0,Leak Detection,Different five have church no car character garden rise mention store understand way level.,In even despite I kid who drug.,Paul Kramer,Closed
AUD-01138,SITE-001,2025-09-22,2025-10-08,72.3,Personnel Training,Seem similar short impact person maintain season quickly yet win store itself one or station generation eight low political them plant agreement campaign beat long into course.,He finally easy present wind include family organization.,Sonya Campbell,Closed
AUD-01952,SITE-001,2026-01-09,2026-02-05,75.0,Personnel Training,Lose such responsibility defense section.,Avoid speak similar sign Republican outside may soon staff cut.,Terry Joseph,Closed
AUD-01290,SITE-002,2025-12-03,2025-12-29,78.1,Personnel Training,Anything pass sell understand big so beautiful for single green.,However beautiful goal daughter decision once.,Madison Reynolds,Closed
AUD-00160,SITE-004,2025-05-04,2025-06-03,84.4,Maintenance Backlog,Traditional deal almost culture gun thought determine prepare attorney property finish admit base wear serve lot relationship local.,,James Thompson,Closed
AUD-01243,SITE-006,29/05/2026,,63.2,Documentation,Share son international listen you try what stop wall sort American let now southern set training figure kitchen.,Song his line feeling record space peace free American.,Mrs. Elizabeth Blake MD,In Progress
AUD-00339,SITE-004,2025-02-07,2025-02-25,75.3,Personnel Training,Reason foot expect goal maybe beat Mr here carry level huge food.,,Connie Hernandez,Closed
AUD-00346,SITE-001,2025-01-26,2025-02-14,88.3,Personnel Training,Condition every amount operation certain mouth its.,,Jennifer Smith,Closed
