session_id,beneficiary_id,cohort_id,session_date,attendance_status,session_type,facilitator
SES-0000030,BEN-00002,COHORT-SC-001,2026-04-03,Present,Skills Lab,Violet Waweru
SES-0000031,BEN-00002,COHORT-SC-001,2026-04-10,Present,Workshop,Quinton Onyango
SES-0000032,BEN-00002,COHORT-SC-001,2026-04-17,Present,Workshop,Irene Ochieng
SES-0000033,BEN-00002,COHORT-SC-001,24-Apr-2026,Absent,Skills Lab,Irene Wangari
SES-0000034,BEN-00002,COHORT-SC-001,01/05/2026,Present,Mentorship,Zipporah Kiplagat
SES-0000035,BEN-00002,COHORT-SC-001,2026-06-01,Absent,Skills Lab,Harrison Ndung'u
SES-0000036,BEN-00002,COHORT-SC-001,2026-05-15,1,Mentorship,Stephen Rotich
SES-0000037,BEN-00002,COHORT-SC-001,2026-05-22,Present,Mentorship,James Nyambura
SES-0000038,BEN-00002,COHORT-SC-001,2026-05-29,Present,Skills Lab,Yvonne Rotich
SES-0000039,BEN-00002,COHORT-SC-001,05-Jun-2026,Absent,Skills Lab,Amina Otieno
SES-0000040,BEN-00002,COHORT-SC-001,2026-06-12,Present,Workshop,David Mugo
SES-0000041,BEN-00002,COHORT-SC-001,2026-06-19,Present,Mentorship,Zipporah Mutua
SES-0000042,BEN-00002,COHORT-SC-001,2026-06-26,Present,Workshop,Olive Odongo
SES-0000043,BEN-00002,COHORT-SC-001,2026-07-03,Present,Mentorship,Nicholas Owino
SES-0000044,BEN-00002,COHORT-SC-001,2026-07-10,Present,Skills Lab,Harrison Achieng
SES-0000045,BEN-00002,COHORT-SC-001,2026-07-17,Present,Workshop,Irene Kiprotich
SES-0000046,BEN-00002,COHORT-SC-001,2026-07-24,Absent,Skills Lab,Cynthia Musyoka
SES-0000047,BEN-00002,COHORT-SC-001,2026-07-31,Present,Mentorship,Stephen Mutinda
SES-0000048,BEN-00002,COHORT-SC-001,2026-08-07,Present,Skills Lab,Patrick Mutinda
SES-0000049,BEN-00002,COHORT-SC-001,2026-08-14,Absent,Skills Lab,Raphael Kariuki
SES-0000050,BEN-00002,COHORT-SC-001,2026-08-21,Present,Skills Lab,Felix Wanjiku
SES-0000051,BEN-00003,COHORT-SC-001,2026-03-21,Present,Group Discussion,Quinton Odongo
SES-0000052,BEN-00003,COHORT-SC-001,2026-03-28,Present,Group Discussion,Maurice Rotich
SES-0000053,BEN-00003,COHORT-SC-001,2026-04-04,present,Workshop,Kendi Achieng
SES-0000054,BEN-00003,COHORT-SC-001,2026-04-11,Present,Group Discussion,Zipporah Mwangi
SES-0000055,BEN-00003,COHORT-SC-001,2026-04-18,Present,Workshop,Zipporah Nyambura
SES-0000056,BEN-00003,COHORT-SC-001,2026-05-06,Present,Workshop,Seun Mugo
SES-0000057,BEN-00003,COHORT-SC-001,2026-05-02,Present,Skills Lab,Wanjiku Awino
SES-0000058,BEN-00003,COHORT-SC-001,2026-05-09,Present,Skills Lab,Kezia Githinji
SES-0000059,BEN-00003,COHORT-SC-001,2026-05-16,Absent,Skills Lab,Leonard Mutinda
SES-0000060,BEN-00003,COHORT-SC-001,2026-05-23,Present,Mentorship,Uchenna Were
SES-0000061,BEN-00003,COHORT-SC-001,2026-05-30,Present,Group Discussion,Owen Waweru
SES-0000062,BEN-00003,COHORT-SC-001,2026-06-06,Present,Skills Lab,Caroline Simiyu
SES-0000063,BEN-00003,COHORT-SC-001,13-Jun-2026,Absent,Skills Lab,Gladys Maina
SES-0000064,BEN-00003,COHORT-SC-001,2026-06-20,Present,Mentorship,Felix Njoroge
SES-0000065,BEN-00003,COHORT-SC-001,2026-06-27,Absent,Mentorship,Violet Wangari
SES-0000066,BEN-00003,COHORT-SC-001,2026-07-04,Absent,Skills Lab,Nancy Njoroge
SES-0000067,BEN-00003,COHORT-SC-001,2026-07-11,Present,Mentorship,
SES-0000068,BEN-00004,COHORT-SC-001,2026-03-03,Present,Mentorship,Caroline Githinji
SES-0000069,BEN-00004,COHORT-SC-001,2026-03-10,Present,Group Discussion,Caroline Mugo
SES-0000070,BEN-00004,COHORT-SC-001,2026-03-17,Absent,Group Discussion,Owen Musyoka
SES-0000071,BEN-00004,COHORT-SC-001,2026-03-24,Present,Skills Lab,Boniface Simiyu
SES-0000072,BEN-00004,COHORT-SC-001,2026-03-31,Absent,Workshop,Stephen Ochieng
SES-0000073,BEN-00004,COHORT-SC-001,2026-04-07,Absent,Mentorship,Grace Kiplagat
SES-0000074,BEN-00004,COHORT-SC-001,2026-04-14,Present,Mentorship,Wanjiku Njenga
SES-0000075,BEN-00004,COHORT-SC-001,2026-04-21,1,Group Discussion,
SES-0000076,BEN-00004,COHORT-SC-001,2026-04-28,Present,Group Discussion,James Otieno
SES-0000077,BEN-00004,COHORT-SC-001,2026-05-05,Present,Workshop,Maurice Mutinda
SES-0000078,BEN-00004,COHORT-SC-001,2026-05-12,Present,Group Discussion,Tabitha Were
SES-0000079,BEN-00004,COHORT-SC-001,2026-05-19,Present,Mentorship,Irene Gichuki
SES-0000080,BEN-00004,COHORT-SC-001,2026-05-26,YES,Workshop,Nancy Otieno
SES-0000081,BEN-00004,COHORT-SC-001,2026-06-02,Present,Mentorship,Leonard Omondi
SES-0000082,BEN-00004,COHORT-SC-001,09/06/2026,Present,Group Discussion,Kendi Musyoka
SES-0000083,BEN-00004,COHORT-SC-001,2026-06-16,Present,Mentorship,Grace Were
SES-0000084,BEN-00004,COHORT-SC-001,2026-06-23,Present,Mentorship,Queen Auma
SES-0000085,BEN-00004,COHORT-SC-001,30/06/2026,Present,Group Discussion,Grace Rotich
SES-0000086,BEN-00004,COHORT-SC-001,07/07/2026,1,Skills Lab,
SES-0000087,BEN-00004,COHORT-SC-001,2026-07-14,YES,Workshop,Kendi Simiyu
SES-0000088,BEN-00004,COHORT-SC-001,2026-07-21,Absent,Mentorship,Irene Githinji
SES-0000089,BEN-00004,COHORT-SC-001,2026-07-28,Present,Skills Lab,Kendi Waweru
SES-0000090,BEN-00004,COHORT-SC-001,2026-08-04,Present,Mentorship,Caroline Omondi
SES-0000091,BEN-00004,COHORT-SC-001,2026-08-11,Absent,Workshop,Tabitha Maina
SES-0000092,BEN-00004,COHORT-SC-001,2026-08-18,Present,Workshop,Francis Adhiambo
SES-0000093,BEN-00005,COHORT-SC-001,2026-03-10,Absent,Group Discussion,Caroline Kimani
SES-0000094,BEN-00005,COHORT-SC-001,2026-03-17,Present,Group Discussion,Mary Auma
SES-0000095,BEN-00005,COHORT-SC-001,2026-03-24,Present,Workshop,Harrison Njoroge
SES-0000096,BEN-00005,COHORT-SC-001,2026-03-31,Present,Group Discussion,Irene Adhiambo
SES-0000097,BEN-00005,COHORT-SC-001,2026-04-07,Present,Group Discussion,Zipporah Nyambura
SES-0000098,BEN-00005,COHORT-SC-001,2026-04-14,Present,Group Discussion,Nancy Musyoka
SES-0000099,BEN-00005,COHORT-SC-001,2026-04-21,Absent,Workshop,Harrison Mwangi
SES-0000100,BEN-00005,COHORT-SC-001,2026-04-28,Present,Mentorship,Priscilla Gichuki
SES-0000101,BEN-00005,COHORT-SC-001,2026-05-05,YES,Skills Lab,Irene Kamau
SES-0000102,BEN-00005,COHORT-SC-001,2026-05-12,Absent,Mentorship,Gladys Simiyu
SES-0000103,BEN-00005,COHORT-SC-001,2026-05-19,Present,Mentorship,Olive Gichuki
SES-0000104,BEN-00005,COHORT-SC-001,2026-05-26,Present,Workshop,Cynthia Musyoka
SES-0000105,BEN-00005,COHORT-SC-001,2026-06-10,Absent,Skills Lab,Leonard Musyoka
SES-0000106,BEN-00005,COHORT-SC-001,09/06/2026,Present,Mentorship,Maurice Awino
SES-0000107,BEN-00005,COHORT-SC-001,2026-06-16,Present,Skills Lab,Nicholas Odongo
SES-0000108,BEN-00005,COHORT-SC-001,2026-06-23,Present,Mentorship,Francis Kariuki
SES-0000109,BEN-00005,COHORT-SC-001,2026-06-30,Absent,Group Discussion,Irene Njenga
SES-0000110,BEN-00005,COHORT-SC-001,2026-07-07,Present,Workshop,Leonard Gichuki
SES-0000111,BEN-00005,COHORT-SC-001,2026-07-14,Absent,Group Discussion,Seun Maina
SES-0000112,BEN-00005,COHORT-SC-001,21-Jul-2026,Present,Mentorship,Felix Mutinda
SES-0000113,BEN-00005,COHORT-SC-001,28-Jul-2026,NO,Mentorship,Cynthia Musyoka
SES-0000114,BEN-00005,COHORT-SC-001,2026-08-04,Absent,Skills Lab,Caroline Ndung'u
SES-0000115,BEN-00005,COHORT-SC-001,2026-08-11,Absent,Mentorship,Nicholas Gichuki
SES-0000116,BEN-00005,COHORT-SC-001,2026-08-18,Present,Skills Lab,Leonard Wangari
SES-0000117,BEN-00006,COHORT-SC-001,2026-03-10,NO,Skills Lab,Gladys Otieno
SES-0000118,BEN-00006,COHORT-SC-001,2026-03-17,Absent,Workshop,Caroline Otieno
SES-0000119,BEN-00006,COHORT-SC-001,2026-03-24,Absent,Skills Lab,David Kimani
SES-0000120,BEN-00006,COHORT-SC-001,2026-03-31,Present,Mentorship,Uchenna Simiyu
SES-0000121,BEN-00006,COHORT-SC-001,2026-04-08,Absent,Workshop,Yvonne Kimani
SES-0000122,BEN-00006,COHORT-SC-001,14/04/2026,1,Group Discussion,Kendi Musyoka
SES-0000123,BEN-00006,COHORT-SC-001,2026-04-21,Absent,Group Discussion,Nancy Kariuki
SES-0000124,BEN-00006,COHORT-SC-001,2026-04-28,Absent,Mentorship,Dennis Simiyu
SES-0000125,BEN-00006,COHORT-SC-001,2026-05-05,Present,Group Discussion,Queen Mutua
SES-0000126,BEN-00006,COHORT-SC-001,2026-05-12,Present,Group Discussion,Aisha Njenga
SES-0000127,BEN-00006,COHORT-SC-001,2026-05-19,Present,Group Discussion,Aisha Mugo
SES-0000128,BEN-00006,COHORT-SC-001,2026-05-26,Present,Skills Lab,Uchenna Auma
SES-0000129,BEN-00006,COHORT-SC-001,2026-06-02,Present,Mentorship,Quinton Simiyu
SES-0000130,BEN-00006,COHORT-SC-001,2026-06-09,Present,Skills Lab,Nicholas Auma
SES-0000131,BEN-00006,COHORT-SC-001,2026-06-16,Present,Group Discussion,David Adhiambo
SES-0000132,BEN-00006,COHORT-SC-001,2026-06-23,Present,Group Discussion,
SES-0000133,BEN-00006,COHORT-SC-001,2026-06-30,Present,Mentorship,Priscilla Auma
SES-0000134,BEN-00006,COHORT-SC-001,2026-07-07,Absent,Mentorship,Irene Mutinda
SES-0000135,BEN-00006,COHORT-SC-001,2026-07-14,Absent,Workshop,Rose Achieng
SES-0000136,BEN-00006,COHORT-SC-001,2026-07-21,present,Workshop,Uchenna Wangari
SES-0000137,BEN-00006,COHORT-SC-001,2026-07-28,Present,Skills Lab,Nancy Gichuki
SES-0000138,BEN-00006,COHORT-SC-001,2026-08-04,Absent,Skills Lab,Tabitha Achieng
SES-0000139,BEN-00006,COHORT-SC-001,2026-08-11,Present,Workshop,Irene Mugo
SES-0000140,BEN-00006,COHORT-SC-001,2026-08-18,Present,Mentorship,Hassan Ndung'u
SES-0000141,BEN-00007,COHORT-SC-001,2026-03-23,NO,Group Discussion,Kezia Omondi
SES-0000142,BEN-00007,COHORT-SC-001,2026-03-30,Absent,Mentorship,Caroline Omondi
SES-0000143,BEN-00007,COHORT-SC-001,2026-04-06,Absent,Workshop,Xavier Otieno
SES-0000144,BEN-00007,COHORT-SC-001,2026-04-13,Present,Workshop,Quinton Adhiambo
SES-0000145,BEN-00007,COHORT-SC-001,2026-04-20,Present,Workshop,
SES-0000146,BEN-00007,COHORT-SC-001,2026-04-27,Absent,Skills Lab,Mary Kiplagat
SES-0000147,BEN-00007,COHORT-SC-001,2026-05-04,Present,Mentorship,David Awino
SES-0000148,BEN-00007,COHORT-SC-001,2026-05-11,Present,Skills Lab,Quinton Kiprotich
SES-0000149,BEN-00007,COHORT-SC-001,2026-06-06,1,Workshop,Tabitha Musyoka
SES-0000150,BEN-00007,COHORT-SC-001,2026-05-25,Present,Skills Lab,Stephen Musyoka
SES-0000151,BEN-00007,COHORT-SC-001,2026-06-01,Present,Group Discussion,Violet Ochieng
SES-0000152,BEN-00007,COHORT-SC-001,2026-06-08,Present,Skills Lab,Felix Owino
SES-0000153,BEN-00007,COHORT-SC-001,2026-06-15,Present,Workshop,Brian Ochieng
SES-0000154,BEN-00007,COHORT-SC-001,22/06/2026,YES,Mentorship,
SES-0000155,BEN-00007,COHORT-SC-001,2026-06-29,Present,Workshop,James Kiprotich
SES-0000156,BEN-00007,COHORT-SC-001,2026-07-06,Present,Workshop,Irene Adhiambo
SES-0000157,BEN-00007,COHORT-SC-001,2026-07-13,Absent,Workshop,Amina Nyambura
SES-0000158,BEN-00007,COHORT-SC-001,2026-07-20,present,Mentorship,Eunice Adhiambo
SES-0000159,BEN-00007,COHORT-SC-001,2026-07-27,Present,Workshop,Caroline Waweru
SES-0000160,BEN-00007,COHORT-SC-001,2026-08-03,Present,Mentorship,Stephen Kimani
SES-0000161,BEN-00007,COHORT-SC-001,2026-08-10,Present,Mentorship,Kezia Auma
SES-0000162,BEN-00007,COHORT-SC-001,2026-08-17,Present,Skills Lab,Nicholas Nyambura
SES-0000163,BEN-00008,COHORT-SC-001,2026-04-20,Present,Skills Lab,Seun Mutua
SES-0000164,BEN-00008,COHORT-SC-001,2026-03-29,Present,Group Discussion,
SES-0000165,BEN-00008,COHORT-SC-001,2026-04-05,Present,Skills Lab,Stephen Otieno
SES-0000166,BEN-00008,COHORT-SC-001,2026-04-12,Present,Group Discussion,Xavier Mutinda
SES-0000167,BEN-00008,COHORT-SC-001,2026-04-19,Present,Mentorship,Lilian Mutua
SES-0000168,BEN-00008,COHORT-SC-001,2026-04-26,Present,Group Discussion,Dennis Kiprotich
SES-0000169,BEN-00008,COHORT-SC-001,2026-05-03,Present,Workshop,Irene Gichuki
SES-0000170,BEN-00008,COHORT-SC-001,2026-05-10,Absent,Group Discussion,Quinton Waweru
SES-0000171,BEN-00008,COHORT-SC-001,2026-06-02,Absent,Mentorship,Raphael Onyango
SES-0000172,BEN-00008,COHORT-SC-001,2026-05-24,Present,Skills Lab,Olive Adhiambo
SES-0000173,BEN-00008,COHORT-SC-001,2026-05-31,Present,Mentorship,Francis Kamau
SES-0000174,BEN-00008,COHORT-SC-001,2026-06-07,Present,Skills Lab,James Awino
SES-0000175,BEN-00008,COHORT-SC-001,2026-06-14,Present,Skills Lab,Owen Mutua
SES-0000176,BEN-00008,COHORT-SC-001,2026-06-21,Present,Mentorship,Harrison Maina
SES-0000177,BEN-00008,COHORT-SC-001,28-Jun-2026,Present,Group Discussion,Esther Omondi
SES-0000178,BEN-00008,COHORT-SC-001,2026-07-05,Present,Mentorship,Uchenna Chebet
SES-0000179,BEN-00008,COHORT-SC-001,2026-07-12,Present,Mentorship,Irene Gichuki
SES-0000180,BEN-00008,COHORT-SC-001,2026-07-19,Present,Mentorship,Patrick Mutinda
SES-0000181,BEN-00008,COHORT-SC-001,2026-07-26,Absent,Group Discussion,James Gichuki
SES-0000182,BEN-00008,COHORT-SC-001,2026-08-02,Present,Skills Lab,Esther Owino
SES-0000183,BEN-00009,COHORT-SC-001,2026-02-24,Present,Skills Lab,David Chebet
SES-0000184,BEN-00009,COHORT-SC-001,2026-03-03,Absent,Group Discussion,Joseph Ndung'u
SES-0000185,BEN-00009,COHORT-SC-001,2026-03-10,Absent,Mentorship,Priscilla Adhiambo
SES-0000186,BEN-00009,COHORT-SC-001,2026-03-17,Absent,Mentorship,Harrison Kiplagat
SES-0000187,BEN-00009,COHORT-SC-001,2026-03-24,Absent,Workshop,Tabitha Kariuki
SES-0000188,BEN-00009,COHORT-SC-001,2026-03-31,0,Workshop,Xavier Kiprotich
SES-0000189,BEN-00009,COHORT-SC-001,2026-04-07,Absent,Mentorship,Maurice Owino
SES-0000190,BEN-00009,COHORT-SC-001,2026-04-14,Present,Group Discussion,Seun Mutua
SES-0000191,BEN-00009,COHORT-SC-001,2026-04-21,present,Group Discussion,Xavier Ndung'u
SES-0000192,BEN-00009,COHORT-SC-001,2026-04-28,Absent,Skills Lab,Zipporah Waweru
SES-0000193,BEN-00009,COHORT-SC-001,2026-05-05,YES,Workshop,Gladys Kamau
SES-0000194,BEN-00009,COHORT-SC-001,2026-05-12,Absent,Mentorship,James Achieng
SES-0000195,BEN-00009,COHORT-SC-001,2026-05-19,Absent,Skills Lab,Violet Njoroge
SES-0000196,BEN-00009,COHORT-SC-001,2026-05-26,Absent,Group Discussion,Priscilla Auma
SES-0000197,BEN-00009,COHORT-SC-001,2026-06-02,Present,Mentorship,Hassan Kariuki
SES-0000198,BEN-00009,COHORT-SC-001,2026-06-30,Present,Mentorship,Eunice Mwangi
SES-0000199,BEN-00009,COHORT-SC-001,2026-06-16,Absent,Mentorship,Gladys Gichuki
SES-0000200,BEN-00009,COHORT-SC-001,2026-07-18,Absent,Skills Lab,Francis Omondi
SES-0000201,BEN-00009,COHORT-SC-001,30/06/2026,Absent,Workshop,Nicholas Njenga
SES-0000202,BEN-00009,COHORT-SC-001,2026-07-07,Present,Skills Lab,Gladys Mutua
SES-0000203,BEN-00009,COHORT-SC-001,2026-07-14,0,Skills Lab,Raphael Simiyu
SES-0000204,BEN-00009,COHORT-SC-001,2026-07-21,Present,Skills Lab,Mary Gichuki
SES-0000205,BEN-00009,COHORT-SC-001,2026-07-28,Present,Group Discussion,Maurice Kiplagat
SES-0000206,BEN-00009,COHORT-SC-001,2026-08-04,Present,Workshop,Nicholas Adhiambo
SES-0000207,BEN-00009,COHORT-SC-001,2026-08-11,Absent,Mentorship,Lilian Were
SES-0000208,BEN-00009,COHORT-SC-001,2026-08-18,Present,Skills Lab,
SES-0000209,BEN-00010,COHORT-SC-001,2026-03-24,Present,Mentorship,Francis Musyoka
SES-0000210,BEN-00010,COHORT-SC-001,2026-03-31,Present,Group Discussion,Eunice Maina
SES-0000211,BEN-00010,COHORT-SC-001,07/04/2026,Present,Workshop,Amina Omondi
SES-0000212,BEN-00010,COHORT-SC-001,2026-04-14,Absent,Skills Lab,Caroline Musyoka
SES-0000213,BEN-00010,COHORT-SC-001,2026-04-21,Absent,Mentorship,Boniface Simiyu
SES-0000214,BEN-00010,COHORT-SC-001,2026-04-28,present,Skills Lab,James Kariuki
SES-0000215,BEN-00010,COHORT-SC-001,2026-05-05,Absent,Workshop,Owen Omondi
SES-0000216,BEN-00010,COHORT-SC-001,12-May-2026,Absent,Mentorship,Dennis Odongo
SES-0000217,BEN-00010,COHORT-SC-001,2026-05-19,Present,Mentorship,Nicholas Otieno
SES-0000218,BEN-00010,COHORT-SC-001,2026-05-26,NO,Group Discussion,Leonard Wanjiku
SES-0000219,BEN-00010,COHORT-SC-001,2026-06-02,YES,Group Discussion,
SES-0000220,BEN-00010,COHORT-SC-001,2026-06-09,Present,Group Discussion,Amina Mwangi
SES-0000221,BEN-00010,COHORT-SC-001,2026-06-16,Absent,Group Discussion,Olive Kamau
SES-0000222,BEN-00010,COHORT-SC-001,2026-06-23,Present,Mentorship,Xavier Simiyu
SES-0000223,BEN-00010,COHORT-SC-001,2026-06-30,Present,Group Discussion,Leonard Auma
SES-0000224,BEN-00010,COHORT-SC-001,2026-07-07,Absent,Group Discussion,Rose Mugo
SES-0000225,BEN-00010,COHORT-SC-001,2026-07-14,Present,Skills Lab,Wanjiku Kiprotich
SES-0000226,BEN-00010,COHORT-SC-001,2026-07-21,Present,Skills Lab,Gladys Ndung'u
SES-0000227,BEN-00010,COHORT-SC-001,2026-07-28,Present,Mentorship,Nicholas Auma
SES-0000228,BEN-00010,COHORT-SC-001,2026-08-04,Present,Workshop,Harrison Achieng
SES-0000229,BEN-00010,COHORT-SC-001,2026-08-11,Present,Mentorship,Rose Onyango
SES-0000230,BEN-00010,COHORT-SC-001,2026-08-18,Present,Group Discussion,Harrison Auma
SES-0000231,BEN-00011,COHORT-SC-001,2026-03-23,Present,Workshop,Olive Kiprotich
SES-0000232,BEN-00011,COHORT-SC-001,2026-03-30,Present,Workshop,Francis Ndung'u
SES-0000233,BEN-00011,COHORT-SC-001,2026-04-06,Present,Skills Lab,Nicholas Achieng
SES-0000234,BEN-00011,COHORT-SC-001,13-Apr-2026,YES,Mentorship,Rose Otieno
SES-0000235,BEN-00011,COHORT-SC-001,2026-04-20,Present,Group Discussion,Amina Were
SES-0000236,BEN-00011,COHORT-SC-001,2026-04-27,Present,Group Discussion,Owen Mwangi
SES-0000237,BEN-00011,COHORT-SC-001,2026-05-04,Absent,Skills Lab,Stephen Chebet
SES-0000238,BEN-00011,COHORT-SC-001,11/05/2026,Present,Skills Lab,Rose Mutinda
SES-0000239,BEN-00011,COHORT-SC-001,2026-05-18,Present,Workshop,Eunice Kariuki
SES-0000240,BEN-00011,COHORT-SC-001,2026-05-25,Present,Workshop,Dennis Musyoka
SES-0000241,BEN-00011,COHORT-SC-001,2026-06-11,Present,Group Discussion,Nicholas Mugo
SES-0000242,BEN-00011,COHORT-SC-001,2026-06-08,Present,Workshop,Gladys Owino
SES-0000243,BEN-00011,COHORT-SC-001,2026-06-15,Present,Workshop,Queen Kimani
SES-0000244,BEN-00011,COHORT-SC-001,2026-06-22,Present,Mentorship,Cynthia Maina
SES-0000245,BEN-00011,COHORT-SC-001,2026-06-29,Present,Workshop,Mary Chebet
SES-0000246,BEN-00011,COHORT-SC-001,2026-07-06,Present,Mentorship,Yvonne Mwangi
SES-0000247,BEN-00011,COHORT-SC-001,2026-07-13,Present,Group Discussion,Olive Owino
SES-0000248,BEN-00011,COHORT-SC-001,2026-07-20,Absent,Mentorship,Maurice Omondi
SES-0000249,BEN-00011,COHORT-SC-001,2026-08-13,Present,Skills Lab,Owen Achieng
SES-0000250,BEN-00011,COHORT-SC-001,2026-08-03,Present,Workshop,Esther Njoroge
SES-0000251,BEN-00011,COHORT-SC-001,2026-08-10,Absent,Mentorship,
SES-0000252,BEN-00011,COHORT-SC-001,2026-08-17,Present,Skills Lab,Joseph Kariuki
SES-0000253,BEN-00012,COHORT-SC-001,2026-03-15,Absent,Workshop,Joseph Mwangi
SES-0000254,BEN-00012,COHORT-SC-001,2026-03-22,Present,Workshop,Xavier Kamau
SES-0000255,BEN-00012,COHORT-SC-001,2026-03-29,Present,Workshop,Tabitha Ochieng
SES-0000256,BEN-00012,COHORT-SC-001,2026-04-05,Present,Group Discussion,Eunice Chebet
SES-0000257,BEN-00012,COHORT-SC-001,2026-04-12,Present,Workshop,James Ochieng
SES-0000258,BEN-00012,COHORT-SC-001,2026-04-19,Present,Workshop,Kendi Mutua
SES-0000259,BEN-00012,COHORT-SC-001,2026-04-26,Absent,Mentorship,Queen Mugo
SES-0000260,BEN-00012,COHORT-SC-001,2026-05-03,Present,Workshop,Mary Simiyu
SES-0000261,BEN-00012,COHORT-SC-001,2026-05-10,Absent,Mentorship,Eunice Kiplagat
SES-0000262,BEN-00012,COHORT-SC-001,2026-05-17,Absent,Skills Lab,Francis Otieno
SES-0000263,BEN-00012,COHORT-SC-001,2026-05-24,present,Mentorship,Priscilla Mwangi
SES-0000264,BEN-00012,COHORT-SC-001,2026-05-31,Present,Skills Lab,Tabitha Gichuki
SES-0000265,BEN-00012,COHORT-SC-001,2026-06-07,Absent,Mentorship,Eunice Onyango
SES-0000266,BEN-00012,COHORT-SC-001,2026-06-14,Present,Workshop,Queen Odongo
SES-0000267,BEN-00012,COHORT-SC-001,2026-06-21,Absent,Skills Lab,Patrick Adhiambo
SES-0000268,BEN-00012,COHORT-SC-001,2026-06-28,Present,Group Discussion,Raphael Kariuki
SES-0000269,BEN-00012,COHORT-SC-001,2026-07-05,Absent,Mentorship,Stephen Maina
SES-0000270,BEN-00012,COHORT-SC-001,2026-07-12,Absent,Mentorship,Dennis Rotich
SES-0000271,BEN-00012,COHORT-SC-001,2026-07-19,Absent,Mentorship,Maurice Onyango
SES-0000272,BEN-00012,COHORT-SC-001,2026-07-26,Absent,Group Discussion,Raphael Kiprotich
SES-0000273,BEN-00012,COHORT-SC-001,2026-08-02,Present,Group Discussion,
SES-0000274,BEN-00012,COHORT-SC-001,2026-08-09,Present,Group Discussion,Joseph Odongo
SES-0000275,BEN-00012,COHORT-SC-001,2026-08-16,Present,Group Discussion,Maurice Achieng
SES-0000276,BEN-00013,COHORT-SC-001,2026-03-01,Present,Skills Lab,David Mwangi
SES-0000277,BEN-00013,COHORT-SC-001,2026-03-08,Present,Workshop,Rose Nyambura
SES-0000278,BEN-00013,COHORT-SC-001,2026-03-26,Absent,Skills Lab,Seun Nyambura
SES-0000279,BEN-00013,COHORT-SC-001,2026-03-22,Present,Skills Lab,
SES-0000280,BEN-00013,COHORT-SC-001,2026-03-29,Present,Group Discussion,Nicholas Omondi
SES-0000281,BEN-00013,COHORT-SC-001,2026-04-05,Present,Skills Lab,Francis Kimani
SES-0000282,BEN-00013,COHORT-SC-001,2026-04-12,Absent,Mentorship,Leonard Njenga
