id,program_id,region,resource_type,allocated_amount,unit,period_start,period_end,source,status,priority_score,rationale
ALLOC-f6090e8e,PROG-1619daa0,Mombasa,field_officer,2,officers,2025-06-05,2025-08-13,ml_recommended,approved,76.17,Ea iure dolorem eaque aperiam.
ALLOC-a256a472,PROG-1619daa0,Mombasa,training_capacity,60,seats,2025-06-05,2025-08-13,manual,approved,,
ALLOC-85afa87f,PROG-1619daa0,Mombasa,field_officer,4,officers,2026-04-18,2026-07-05,manual,approved,,
ALLOC-dadca8b8,PROG-1619daa0,Mombasa,budget,1299659,KES,2026-04-18,2026-07-05,ml_recommended,approved,69.94,Assumenda exercitationem molestiae voluptas nihil.
ALLOC-21bf37a7,PROG-1619daa0,Mombasa,training_capacity,58,seats,2026-03-27,2026-07-23,ml_recommended,approved,81.35,Aperiam harum minima vitae porro vel nemo doloremque error hic.
ALLOC-bcc46953,PROG-1619daa0,Mombasa,budget,304688,KES,2026-03-27,2026-07-23,manual,approved,,
ALLOC-885af343,PROG-1619daa0,Mombasa,budget,1525460,KES,2025-08-16,2025-11-30,ml_recommended,approved,35.56,Magnam tempore reiciendis perspiciatis nulla.
ALLOC-ece67c8d,PROG-aaa510cb,Mombasa,training_capacity,53,seats,2026-02-12,2026-05-09,manual,approved,,
ALLOC-5ebcd89a,PROG-aaa510cb,Mombasa,budget,347005,KES,2026-02-12,2026-05-09,manual,approved,,
ALLOC-2b3c473c,PROG-aaa510cb,Mombasa,field_officer,5,officers,2026-05-07,2026-08-12,manual,approved,,
ALLOC-17ab8689,PROG-aaa510cb,Mombasa,budget,1919274,KES,2026-05-07,2026-08-12,manual,approved,,
ALLOC-b16d5eb3,PROG-aaa510cb,Mombasa,field_officer,2,officers,2026-04-10,2026-06-28,manual,approved,,
ALLOC-a92d0fe5,PROG-aaa510cb,Mombasa,training_capacity,72,seats,2026-04-10,2026-06-28,ml_recommended,rejected,89.07,Veniam ipsum veniam cumque distinctio deserunt.
ALLOC-4ce87c3f,PROG-aaa510cb,Mombasa,budget,1908571,KES,2026-04-10,2026-06-28,manual,approved,,
ALLOC-47c367c5,PROG-54f8ce8a,Mombasa,field_officer,2,officers,2025-10-15,2026-01-04,manual,approved,,
ALLOC-aca60bc0,PROG-54f8ce8a,Mombasa,training_capacity,77,seats,2025-10-15,2026-01-04,manual,approved,,
ALLOC-404a8f9f,PROG-54f8ce8a,Mombasa,training_capacity,31,seats,2024-11-22,2025-02-26,manual,approved,,
ALLOC-56507896,PROG-54f8ce8a,Mombasa,budget,1000537,KES,2024-11-22,2025-02-26,manual,approved,,
ALLOC-8dc24a40,PROG-324887b3,Mombasa,field_officer,2,officers,2024-12-22,2025-02-20,manual,approved,,
ALLOC-7a81a678,PROG-324887b3,Mombasa,field_officer,1,officers,2026-01-09,2026-05-02,manual,approved,,
ALLOC-bc33bfda,PROG-324887b3,Mombasa,training_capacity,51,seats,2026-01-09,2026-05-02,manual,approved,,
ALLOC-d17332e0,PROG-324887b3,Mombasa,field_officer,5,officers,2024-10-10,2024-12-17,manual,approved,,
ALLOC-8aea6184,PROG-324887b3,Mombasa,training_capacity,25,seats,2024-10-10,2024-12-17,manual,approved,,
ALLOC-b469b60d,PROG-324887b3,Mombasa,budget,1626374,KES,2024-10-10,2024-12-17,manual,approved,,
ALLOC-4abb144b,PROG-324887b3,Mombasa,field_officer,2,officers,2025-05-15,2025-08-04,manual,approved,,
ALLOC-c6682f30,PROG-324887b3,Mombasa,budget,495158,KES,2025-05-15,2025-08-04,manual,approved,,
ALLOC-3a25f3b5,PROG-324887b3,Mombasa,field_officer,2,officers,2026-03-06,2026-05-30,manual,approved,,
ALLOC-3feea66b,PROG-324887b3,Mombasa,training_capacity,22,seats,2026-03-06,2026-05-30,manual,approved,,
ALLOC-e774db55,PROG-324887b3,Mombasa,budget,868797,KES,2026-03-06,2026-05-30,manual,approved,,
ALLOC-8c6e81f9,PROG-05bef3b8,Nakuru,field_officer,5,officers,2025-11-11,2026-03-07,manual,approved,,
ALLOC-4ec02efa,PROG-05bef3b8,Nakuru,training_capacity,26,seats,2025-11-11,2026-03-07,manual,approved,,
ALLOC-9817d907,PROG-05bef3b8,Nakuru,budget,141401,KES,2025-11-11,2026-03-07,manual,approved,,
ALLOC-b0919bae,PROG-05bef3b8,Nakuru,field_officer,1,officers,2025-07-01,2025-09-25,manual,approved,,
ALLOC-5654a3ca,PROG-05bef3b8,Nakuru,training_capacity,39,seats,2025-07-01,2025-09-25,manual,approved,,
ALLOC-c66b3d62,PROG-05bef3b8,Nakuru,budget,119513,KES,2025-07-01,2025-09-25,manual,approved,,
ALLOC-ca9ac36d,PROG-a17817bc,Nakuru,field_officer,2,officers,2026-05-22,2026-08-07,manual,approved,,
ALLOC-e2563257,PROG-a17817bc,Nakuru,budget,1395406,KES,2026-05-22,2026-08-07,manual,approved,,
ALLOC-6895034c,PROG-a17817bc,Nakuru,field_officer,2,officers,2025-04-01,2025-07-20,manual,approved,,
ALLOC-350aa53d,PROG-bf6f2447,Nakuru,field_officer,2,officers,2025-09-10,2025-12-24,manual,approved,,
ALLOC-24a8a079,PROG-bf6f2447,Nakuru,training_capacity,46,seats,2025-09-10,2025-12-24,manual,approved,,
ALLOC-ea37982e,PROG-bf6f2447,Nakuru,budget,591793,KES,2025-09-10,2025-12-24,manual,approved,,
ALLOC-f526bfd4,PROG-bf6f2447,Nakuru,budget,412778,KES,2026-02-17,2026-04-23,ml_recommended,approved,25.25,Incidunt voluptates ipsa voluptatum occaecati.
ALLOC-71592989,PROG-bf6f2447,Nakuru,training_capacity,78,seats,2026-03-16,2026-05-21,ml_recommended,pending,52.5,Ducimus tenetur totam architecto harum id eveniet eius itaque sit.
ALLOC-09e62e8e,PROG-bf6f2447,Nakuru,budget,466376,KES,2026-03-16,2026-05-21,ml_recommended,rejected,45.22,Nesciunt quos beatae corrupti necessitatibus nesciunt vitae aut autem quod ratione.
ALLOC-2048bb91,PROG-a46ac700,Nakuru,field_officer,1,officers,2026-03-17,2026-07-02,manual,approved,,
ALLOC-7ada962c,PROG-a46ac700,Nakuru,training_capacity,41,seats,2026-03-17,2026-07-02,manual,approved,,
ALLOC-16bbf518,PROG-a46ac700,Nakuru,field_officer,1,officers,2026-05-24,2026-08-31,manual,approved,,
ALLOC-8d09860e,PROG-a46ac700,Nakuru,training_capacity,34,seats,2026-05-24,2026-08-31,manual,approved,,
ALLOC-670132e2,PROG-a46ac700,Nakuru,field_officer,4,officers,2026-02-25,2026-06-18,ml_recommended,approved,75.78,Sunt soluta eaque omnis nemo labore cupiditate illo nulla perspiciatis.
ALLOC-c03cb032,PROG-a46ac700,Nakuru,training_capacity,27,seats,2026-02-25,2026-06-18,ml_recommended,approved,27.26,Aliquam suscipit ex dolores quia ullam tempore accusantium.
ALLOC-61ad4923,PROG-a46ac700,Nakuru,field_officer,4,officers,2026-03-24,2026-07-13,manual,approved,,
ALLOC-132fb042,PROG-a46ac700,Nakuru,training_capacity,65,seats,2026-03-24,2026-07-13,manual,approved,,
ALLOC-24b0372b,PROG-2f07ec2b,Nakuru,field_officer,4,officers,2025-03-11,2025-07-07,manual,approved,,
ALLOC-b575eb97,PROG-2f07ec2b,Nakuru,training_capacity,60,seats,2025-03-11,2025-07-07,manual,approved,,
ALLOC-e6e1ff13,PROG-2f07ec2b,Nakuru,budget,1504765,KES,2025-04-23,2025-08-10,ml_recommended,approved,68.18,Est sapiente similique placeat voluptas dolorem error.
ALLOC-f2d488f8,PROG-2f07ec2b,Nakuru,field_officer,2,officers,2025-07-28,2025-10-02,manual,approved,,
ALLOC-2ce1f740,PROG-2f07ec2b,Nakuru,training_capacity,69,seats,2025-07-28,2025-10-02,manual,approved,,
ALLOC-091bbd68,PROG-cd46d603,Kisumu,training_capacity,80,seats,2023-11-24,2024-03-04,ml_recommended,rejected,25.24,Quo eum quas non at ipsam totam illum laborum.
ALLOC-3b4fa4ae,PROG-cd46d603,Kisumu,budget,605186,KES,2023-11-24,2024-03-04,manual,approved,,
ALLOC-1a7af9c4,PROG-cd46d603,Kisumu,field_officer,5,officers,2024-08-23,2024-10-25,manual,approved,,
ALLOC-8dc881b5,PROG-cd46d603,Kisumu,training_capacity,50,seats,2024-08-23,2024-10-25,manual,approved,,
ALLOC-8e569944,PROG-cd46d603,Kisumu,budget,1301741,KES,2024-08-23,2024-10-25,manual,approved,,
ALLOC-c4b12292,PROG-3cc79871,Kisumu,field_officer,4,officers,2026-03-02,2026-05-21,manual,approved,,
ALLOC-f184c43f,PROG-3cc79871,Kisumu,training_capacity,71,seats,2026-03-02,2026-05-21,manual,approved,,
ALLOC-ded8ca55,PROG-3cc79871,Kisumu,budget,100355,KES,2026-03-02,2026-05-21,ml_recommended,approved,87.42,Sint reprehenderit maiores culpa est magni consequatur sed sunt adipisci.
ALLOC-a325bf50,PROG-3cc79871,Kisumu,field_officer,2,officers,2025-10-07,2026-01-31,manual,approved,,
ALLOC-09692dfa,PROG-3cc79871,Kisumu,training_capacity,63,seats,2025-10-07,2026-01-31,manual,approved,,
ALLOC-8c2d54c7,PROG-3cc79871,Kisumu,budget,567493,KES,2025-10-07,2026-01-31,ml_recommended,approved,73.72,Soluta dicta animi alias amet facere.
ALLOC-abe5fbc9,PROG-3cc79871,Kisumu,field_officer,4,officers,2026-03-29,2026-07-12,manual,approved,,
ALLOC-56bd6424,PROG-3cc79871,Kisumu,budget,815877,KES,2026-03-29,2026-07-12,manual,approved,,
ALLOC-7e52818b,PROG-3cc79871,Kisumu,field_officer,1,officers,2025-09-24,2025-12-28,manual,approved,,
ALLOC-6126b5d0,PROG-3cc79871,Kisumu,training_capacity,37,seats,2025-09-24,2025-12-28,ml_recommended,approved,48.64,Earum reprehenderit magnam odio commodi adipisci.
ALLOC-9eebda70,PROG-3cc79871,Kisumu,budget,510877,KES,2025-09-24,2025-12-28,manual,approved,,
ALLOC-09d8dc46,PROG-3cc79871,Kisumu,field_officer,2,officers,2026-01-06,2026-03-20,manual,approved,,
ALLOC-e26ee139,PROG-3cc79871,Kisumu,training_capacity,73,seats,2026-01-06,2026-03-20,manual,approved,,
ALLOC-23909209,PROG-3cc79871,Kisumu,budget,1509583,KES,2026-01-06,2026-03-20,manual,approved,,
ALLOC-c97ce516,PROG-c34cc69a,Kisumu,field_officer,5,officers,2025-12-18,2026-03-30,manual,approved,,
ALLOC-bfd57a89,PROG-c34cc69a,Kisumu,training_capacity,87,seats,2025-12-18,2026-03-30,manual,approved,,
ALLOC-0a119436,PROG-c34cc69a,Kisumu,budget,1007669,KES,2025-12-18,2026-03-30,ml_recommended,approved,55.58,Laborum ipsum vero labore mollitia exercitationem saepe ea.
ALLOC-e47ed58a,PROG-c34cc69a,Kisumu,field_officer,2,officers,2025-03-06,2025-06-18,manual,approved,,
ALLOC-75675e57,PROG-c34cc69a,Kisumu,training_capacity,97,seats,2025-03-06,2025-06-18,ml_recommended,approved,46.93,Eligendi harum cum nemo vitae.
ALLOC-f6f85ccc,PROG-c34cc69a,Kisumu,field_officer,3,officers,2025-05-18,2025-08-03,ml_recommended,approved,29.34,Officia perspiciatis eaque illum accusantium quos quisquam.
ALLOC-bf0ccf2c,PROG-c34cc69a,Kisumu,training_capacity,85,seats,2025-05-18,2025-08-03,manual,approved,,
ALLOC-42daa220,PROG-c34cc69a,Kisumu,training_capacity,47,seats,2025-07-24,2025-11-06,manual,approved,,
ALLOC-e5889d55,PROG-c34cc69a,Kisumu,budget,709389,KES,2025-07-24,2025-11-06,manual,approved,,
ALLOC-2fa43877,PROG-c34cc69a,Kisumu,field_officer,2,officers,2025-01-19,2025-05-04,manual,approved,,
ALLOC-402cc4b5,PROG-c34cc69a,Kisumu,training_capacity,61,seats,2025-01-19,2025-05-04,manual,approved,,
ALLOC-9de9c15c,PROG-1f06b575,Kisumu,budget,1974572,KES,2026-05-16,2026-08-20,ml_recommended,pending,79.31,Labore consequatur cupiditate reiciendis.
ALLOC-2356b942,PROG-1f06b575,Kisumu,field_officer,4,officers,2026-04-09,2026-07-11,manual,approved,,
ALLOC-dfa8f16f,PROG-1f06b575,Kisumu,training_capacity,45,seats,2026-04-09,2026-07-11,manual,approved,,
ALLOC-bb5d83a9,PROG-1f06b575,Kisumu,field_officer,1,officers,2026-04-27,2026-08-08,manual,approved,,
ALLOC-fe321dcb,PROG-1f06b575,Kisumu,training_capacity,89,seats,2026-04-27,2026-08-08,manual,approved,,
ALLOC-ad15415c,PROG-1f06b575,Kisumu,field_officer,5,officers,2026-05-20,2026-08-23,ml_recommended,approved,40.13,Dolorum rem esse vitae odit incidunt fugiat.
ALLOC-07f4db73,PROG-1f06b575,Kisumu,training_capacity,68,seats,2026-05-20,2026-08-23,manual,approved,,
ALLOC-a52cd8d0,PROG-c254e45c,Kisumu,field_officer,3,officers,2025-09-02,2025-11-04,manual,approved,,
ALLOC-5d9673a7,PROG-c254e45c,Kisumu,field_officer,3,officers,2025-05-13,2025-09-03,ml_recommended,approved,62.24,Itaque dolor error maxime numquam nesciunt ab voluptatum.
ALLOC-1b9b95c4,PROG-c254e45c,Kisumu,field_officer,1,officers,2024-12-12,2025-03-10,manual,approved,,
ALLOC-d7095961,PROG-c254e45c,Kisumu,training_capacity,85,seats,2024-12-12,2025-03-10,manual,approved,,
ALLOC-d00ce7ff,PROG-c254e45c,Kisumu,budget,685340,KES,2024-12-12,2025-03-10,manual,approved,,
ALLOC-b1c28f38,PROG-c254e45c,Kisumu,field_officer,3,officers,2024-06-27,2024-09-05,manual,approved,,
ALLOC-d15bbf0a,PROG-c254e45c,Kisumu,training_capacity,39,seats,2024-06-27,2024-09-05,manual,approved,,
ALLOC-c51bd4b6,PROG-34646677,Eldoret,training_capacity,29,seats,2025-07-20,2025-10-19,ml_recommended,approved,35.4,Natus nisi eligendi placeat laboriosam excepturi eius eveniet.
ALLOC-d8fda044,PROG-34646677,Eldoret,budget,242976,KES,2025-07-20,2025-10-19,ml_recommended,pending,58.02,Ea quae tempora error corrupti quisquam tempore.
ALLOC-f11be9c9,PROG-34646677,Eldoret,field_officer,2,officers,2025-11-02,2026-01-06,manual,approved,,
ALLOC-80c25f20,PROG-34646677,Eldoret,training_capacity,57,seats,2025-11-02,2026-01-06,manual,approved,,
ALLOC-7e038c4f,PROG-9e60e575,Eldoret,training_capacity,34,seats,2026-05-08,2026-08-28,manual,approved,,
ALLOC-3dff9753,PROG-9e60e575,Eldoret,budget,1996866,KES,2026-05-08,2026-08-28,manual,approved,,
ALLOC-2da5f409,PROG-9e60e575,Eldoret,field_officer,3,officers,2025-11-26,2026-01-27,manual,approved,,
ALLOC-e8ccf31e,PROG-9e60e575,Eldoret,budget,638109,KES,2025-11-26,2026-01-27,manual,approved,,
ALLOC-fda7c376,PROG-9e60e575,Eldoret,budget,1783628,KES,2025-12-16,2026-02-15,manual,approved,,
ALLOC-2efdcf73,PROG-9e60e575,Eldoret,field_officer,2,officers,2026-03-31,2026-06-01,manual,approved,,
ALLOC-38ff04da,PROG-9e60e575,Eldoret,training_capacity,32,seats,2026-03-31,2026-06-01,manual,approved,,
ALLOC-96a10c2e,PROG-9e60e575,Eldoret,field_officer,1,officers,2026-04-26,2026-07-29,manual,approved,,
ALLOC-34e79cbe,PROG-9e60e575,Eldoret,training_capacity,47,seats,2026-04-26,2026-07-29,ml_recommended,approved,27.27,Illo eum consequuntur ad libero eos tenetur illo qui nesciunt.
ALLOC-ae631bf9,PROG-9e60e575,Eldoret,budget,1573758,KES,2026-04-26,2026-07-29,ml_recommended,approved,50.47,Repellendus exercitationem quae placeat odit labore velit facere error cumque.
ALLOC-ef564f15,PROG-3704be03,Eldoret,field_officer,3,officers,2026-01-20,2026-03-22,manual,approved,,
ALLOC-1f729732,PROG-3704be03,Eldoret,training_capacity,42,seats,2026-01-20,2026-03-22,ml_recommended,approved,60.25,Debitis atque consectetur ea repellat quis delectus perspiciatis excepturi at.
ALLOC-eaceaa32,PROG-3704be03,Eldoret,budget,642424,KES,2026-01-20,2026-03-22,manual,approved,,
ALLOC-e9a58654,PROG-3704be03,Eldoret,field_officer,3,officers,2026-04-06,2026-07-15,manual,approved,,
ALLOC-0520e1a2,PROG-3704be03,Eldoret,training_capacity,88,seats,2026-04-06,2026-07-15,manual,approved,,
ALLOC-dab593fc,PROG-c63f7e98,Eldoret,training_capacity,84,seats,2026-01-13,2026-03-16,manual,approved,,
ALLOC-7c5a616a,PROG-c63f7e98,Eldoret,field_officer,4,officers,2025-03-28,2025-07-04,manual,approved,,
ALLOC-03dc642a,PROG-c63f7e98,Eldoret,budget,427834,KES,2025-03-28,2025-07-04,manual,approved,,
ALLOC-51a02c45,PROG-fc8539a4,Eldoret,training_capacity,38,seats,2026-03-16,2026-07-04,manual,approved,,
ALLOC-3452f0c2,PROG-fc8539a4,Eldoret,field_officer,5,officers,2026-03-07,2026-07-05,manual,approved,,
ALLOC-ae62d9fe,PROG-fc8539a4,Eldoret,training_capacity,93,seats,2026-03-07,2026-07-05,manual,approved,,
ALLOC-527bd3f8,PROG-fc8539a4,Eldoret,budget,278523,KES,2026-03-07,2026-07-05,manual,approved,,
ALLOC-2972c845,PROG-fc8539a4,Eldoret,field_officer,5,officers,2026-02-20,2026-05-04,manual,approved,,
ALLOC-8bc32797,PROG-fc8539a4,Eldoret,training_capacity,98,seats,2026-02-20,2026-05-04,ml_recommended,pending,32.7,Dolore sit in suscipit fuga nesciunt iure blanditiis.
ALLOC-91482b22,PROG-da199d8b,Kiambu,field_officer,3,officers,2026-03-22,2026-07-01,manual,approved,,
ALLOC-0580055d,PROG-da199d8b,Kiambu,training_capacity,45,seats,2026-03-22,2026-07-01,manual,approved,,
ALLOC-73378272,PROG-da199d8b,Kiambu,budget,793844,KES,2026-03-22,2026-07-01,manual,approved,,
ALLOC-ec873f3f,PROG-da199d8b,Kiambu,field_officer,1,officers,2025-08-02,2025-10-07,ml_recommended,approved,51.55,Sint nesciunt velit architecto suscipit.
ALLOC-511142af,PROG-da199d8b,Kiambu,training_capacity,59,seats,2025-08-02,2025-10-07,manual,approved,,
ALLOC-1e48969d,PROG-da199d8b,Kiambu,budget,1288795,KES,2025-08-02,2025-10-07,manual,approved,,
ALLOC-ddf7de46,PROG-e2877dc7,Kiambu,field_officer,2,officers,2026-01-11,2026-03-22,ml_recommended,approved,64.86,Blanditiis perspiciatis minus impedit sit corrupti voluptatibus exercitationem voluptates.
ALLOC-62d92d45,PROG-e2877dc7,Kiambu,training_capacity,66,seats,2026-01-11,2026-03-22,manual,approved,,
ALLOC-8189229f,PROG-e2877dc7,Kiambu,field_officer,3,officers,2026-05-06,2026-08-04,ml_recommended,approved,27.62,Corporis similique debitis aspernatur ex voluptates et animi iste.
ALLOC-6254b603,PROG-e2877dc7,Kiambu,training_capacity,30,seats,2026-05-06,2026-08-04,ml_recommended,rejected,29.8,Quis cumque quisquam laudantium quis at.
ALLOC-607cbeee,PROG-e2877dc7,Kiambu,budget,652043,KES,2026-05-06,2026-08-04,manual,approved,,
ALLOC-fc0862a9,PROG-e2877dc7,Kiambu,training_capacity,95,seats,2026-03-04,2026-05-04,manual,approved,,
ALLOC-13c181cd,PROG-e2877dc7,Kiambu,budget,646552,KES,2026-03-04,2026-05-04,manual,approved,,
ALLOC-96d859e4,PROG-29aab137,Kiambu,field_officer,4,officers,2026-03-13,2026-06-30,manual,approved,,
ALLOC-f300be57,PROG-29aab137,Kiambu,field_officer,5,officers,2025-09-08,2025-11-15,manual,approved,,
ALLOC-83692ade,PROG-29aab137,Kiambu,training_capacity,21,seats,2025-09-08,2025-11-15,manual,approved,,
ALLOC-125b3624,PROG-29aab137,Kiambu,field_officer,5,officers,2026-02-21,2026-06-04,manual,approved,,
ALLOC-8a80924b,PROG-29aab137,Kiambu,training_capacity,92,seats,2026-02-21,2026-06-04,ml_recommended,approved,87.74,Inventore inventore inventore labore a modi quas veniam tempora quidem minus.
ALLOC-dd2996b2,PROG-29aab137,Kiambu,field_officer,2,officers,2025-12-16,2026-04-15,ml_recommended,pending,38.5,Perspiciatis occaecati dolorum possimus.
ALLOC-98187a7c,PROG-29aab137,Kiambu,training_capacity,46,seats,2025-12-16,2026-04-15,manual,approved,,
ALLOC-53b4f538,PROG-29aab137,Kiambu,budget,1460054,KES,2025-10-28,2026-01-26,manual,approved,,
ALLOC-0f4cf139,PROG-5c00be57,Kiambu,field_officer,2,officers,2025-05-24,2025-08-29,manual,approved,,
ALLOC-a9c3eb91,PROG-5c00be57,Kiambu,training_capacity,95,seats,2025-05-24,2025-08-29,manual,approved,,
ALLOC-c05d5d9a,PROG-5c00be57,Kiambu,field_officer,2,officers,2026-02-08,2026-04-25,manual,approved,,
ALLOC-4bf42124,PROG-5c00be57,Kiambu,training_capacity,64,seats,2026-02-08,2026-04-25,manual,approved,,
ALLOC-483b37c0,PROG-5c00be57,Kiambu,budget,1367122,KES,2026-02-08,2026-04-25,manual,approved,,
ALLOC-aeff470e,PROG-5c00be57,Kiambu,field_officer,1,officers,2025-01-17,2025-04-15,manual,approved,,
ALLOC-aeaf0bb9,PROG-5c00be57,Kiambu,training_capacity,39,seats,2025-01-17,2025-04-15,manual,approved,,
ALLOC-eec90344,PROG-5c00be57,Kiambu,budget,1604292,KES,2025-01-17,2025-04-15,ml_recommended,approved,49.02,Est aut magnam esse aperiam aliquid veniam iste.
ALLOC-6715236c,PROG-5c00be57,Kiambu,field_officer,4,officers,2025-08-01,2025-11-15,manual,approved,,
ALLOC-7c51f861,PROG-5c00be57,Kiambu,training_capacity,72,seats,2025-08-01,2025-11-15,manual,approved,,
ALLOC-ebc0ed4a,PROG-5c00be57,Kiambu,budget,1302688,KES,2025-08-01,2025-11-15,manual,approved,,
ALLOC-8cb7937b,PROG-a24f96d3,Kiambu,field_officer,5,officers,2025-11-28,2026-02-28,manual,approved,,
