program_id,pillar,name,county,start_date,end_date,target_capacity,status,description
PROG-ced265e0,Scholarship,Kajiado University Preparatory Program,Kajiado,2026-04-26,2026-10-23,132,completed,Modi quasi reiciendis tempore laborum earum laborum harum pariatur reiciendis quam saepe ullam.
PROG-42717d6d,Scholarship,Kajiado Academic Excellence Scholarship,Kajiado,2025-01-05,,274,active,Modi tenetur nihil optio assumenda inventore sint delectus ea eveniet iste excepturi sunt eius veritatis in.
PROG-6a19579e,Scholarship,Kajiado Secondary School Scholarship Program,Kajiado,2025-12-22,2026-07-05,111,completed,Iusto quibusdam amet veritatis dolore architecto vero aliquam.
PROG-35ca5dbf,Scholarship,STEM Scholarship Meru,Meru,2026-04-19,,258,active,Veniam dicta accusantium corrupti commodi pariatur natus.
PROG-af20e065,Scholarship,Meru Girls Education Initiative,Meru,2027-02-05,,82,planned,Iure ducimus fuga non vitae quaerat quod cum est neque.
PROG-1253c3ea,Scholarship,Meru University Preparatory Program,Meru,2025-06-29,,92,active,Nemo tenetur fugiat velit dicta nihil rerum doloribus possimus error placeat.
PROG-eb03aa49,Scholarship,Meru University Preparatory Program,Meru,2024-05-21,,158,active,Recusandae natus aliquam minus optio architecto officia accusamus in.
PROG-0634a90b,Scholarship,Meru University Preparatory Program,Meru,2026-05-07,,243,active,Autem vero odio repudiandae provident ipsa quasi vitae earum repellat modi laboriosam ipsa quasi.
PROG-8659089c,Scholarship,STEM Scholarship Meru,Meru,2025-09-09,2026-05-26,221,completed,Eum doloribus vel eius iste quibusdam necessitatibus pariatur excepturi laudantium eveniet.
PROG-ca19d900,Scholarship,Nyeri University Preparatory Program,Nyeri,2024-09-09,,165,active,Distinctio reiciendis excepturi sunt praesentium eius ab veniam assumenda quam laborum quidem porro officia.
PROG-8b682305,Scholarship,Nyeri Secondary School Scholarship Program,Nyeri,2023-12-25,,136,active,Ipsum accusantium eos illo doloribus optio fuga mollitia exercitationem voluptatum mollitia explicabo iste esse.
PROG-65ef44bf,Scholarship,Nyeri Girls Education Initiative,Nyeri,2023-09-14,,200,active,Blanditiis deserunt blanditiis modi quis delectus dolor laborum quam voluptate.
PROG-9847dded,Scholarship,Nyeri Secondary School Scholarship Program,Nyeri,2024-04-05,,108,active,Nisi voluptatem rerum eos facere esse provident consectetur aliquid amet eos velit odit quidem aut.
PROG-c79012a6,Scholarship,Nyeri Secondary School Scholarship Program,Nyeri,2026-12-15,,181,planned,Nemo iusto ipsam delectus amet velit labore.
PROG-4c6bd4fc,Scholarship,STEM Scholarship Nyeri,Nyeri,2024-04-23,,104,active,Id asperiores occaecati amet corrupti natus esse voluptatibus.
PROG-4569954c,Scholarship,Kilifi University Preparatory Program,Kilifi,2024-01-06,2026-02-08,171,completed,Nam impedit nisi nulla quod fugit tenetur error nihil.
PROG-c0c76118,Scholarship,Kilifi Girls Education Initiative,Kilifi,2024-04-28,2025-12-15,74,completed,Esse numquam non qui veniam dignissimos distinctio optio culpa cupiditate asperiores a ipsum.
PROG-e68415d3,Scholarship,STEM Scholarship Kilifi,Kilifi,2023-12-01,2025-05-26,155,completed,Iusto adipisci enim eligendi similique architecto doloremque eaque recusandae nihil rem dicta beatae dolore corrupti eaque.
PROG-0fbca13e,Scholarship,Kilifi Secondary School Scholarship Program,Kilifi,2024-12-14,2025-07-09,65,completed,Architecto cumque esse quibusdam necessitatibus enim commodi porro praesentium.
PROG-b8035b07,Scholarship,Kilifi Secondary School Scholarship Program,Kilifi,2024-10-09,2026-05-21,113,completed,Magnam laudantium aspernatur aliquam inventore eum dolorum at vitae saepe nemo.
PROG-d790e6fd,Scholarship,STEM Scholarship Kilifi,Kilifi,2024-03-07,,85,active,Voluptatum perferendis earum aliquam quidem iusto officiis.
PROG-f51b3d73,Scholarship,Kakamega Girls Education Initiative,Kakamega,2024-02-27,,273,active,Delectus nesciunt odio laudantium at expedita ex pariatur similique ex possimus.
PROG-397ae435,Scholarship,Kakamega University Preparatory Program,Kakamega,2026-03-26,,75,active,Optio id quis alias at dolorum blanditiis quo sint repudiandae a.
PROG-83c20fad,Scholarship,Kakamega Secondary School Scholarship Program,Kakamega,2023-10-14,2025-10-16,298,completed,Iure amet maxime numquam libero ipsam amet eaque consectetur enim sunt laborum adipisci occaecati reiciendis.
PROG-77574714,Scholarship,Kakamega Girls Education Initiative,Kakamega,2026-11-21,,154,planned,Est accusamus illum dolore sapiente beatae veniam officia culpa.
PROG-860280ab,Scholarship,STEM Scholarship Kakamega,Kakamega,2025-01-02,,281,active,Magni earum rerum voluptatem doloribus mollitia fugit ullam magni sunt sint.
PROG-e86bb743,Plus,Nairobi Community Leadership Program,Nairobi,2024-02-08,,117,active,Quo sequi excepturi ratione eaque a quas saepe neque optio sint.
PROG-7530c51c,Plus,Nairobi Entrepreneurship Plus,Nairobi,2026-03-29,2026-09-25,158,completed,Molestiae exercitationem mollitia molestiae iste eum deleniti possimus nemo doloremque quod aliquam quia provident.
PROG-9ce19e72,Plus,Nairobi Community Leadership Program,Nairobi,2027-02-11,,89,planned,Harum optio reprehenderit voluptatem libero alias magnam nihil sit soluta ipsam minima.
PROG-bd4698ac,Plus,Nairobi Youth Leadership Development,Nairobi,2024-03-05,,198,active,Accusamus corporis sit voluptas asperiores quos eaque numquam id aspernatur eveniet perferendis modi veritatis.
PROG-ff57bf40,Plus,Mombasa Entrepreneurship Plus,Mombasa,2025-03-01,,64,active,Quaerat quis sit alias architecto occaecati ullam voluptatum quia inventore atque odio sit ipsam possimus temporibus.
PROG-6311eff0,Plus,Plus Mentorship Mombasa,Mombasa,2023-10-14,,285,active,Eveniet animi facere inventore doloribus illum placeat.
PROG-b11e144c,Plus,Mombasa Youth Leadership Development,Mombasa,2026-01-13,,295,active,Cumque aspernatur sit nulla dolores totam corporis itaque ducimus.
PROG-bdd0cc6c,Plus,Mombasa Life Skills Enhancement,Mombasa,2025-01-25,,67,active,Pariatur tempore iure enim molestias asperiores veniam voluptates error vitae porro.
PROG-ac2df7f6,Plus,Mombasa Life Skills Enhancement,Mombasa,2025-04-24,,153,active,Sapiente dicta harum laboriosam dolores nemo nemo voluptatibus eos voluptate omnis earum natus placeat.
PROG-3c340187,Plus,Mombasa Life Skills Enhancement,Mombasa,2027-02-14,,198,planned,Tenetur quia rerum temporibus quod dolorem reiciendis.
PROG-4b4a2b9f,Plus,Nakuru Community Leadership Program,Nakuru,2023-10-03,,218,active,Odio numquam perspiciatis quam omnis saepe occaecati temporibus officia est.
PROG-b4b1c2de,Plus,Nakuru Entrepreneurship Plus,Nakuru,2025-04-12,,289,active,Alias facilis consectetur tenetur eveniet impedit dicta ratione soluta facilis magnam earum cum.
PROG-7ccb0bcb,Plus,Nakuru Entrepreneurship Plus,Nakuru,2024-05-17,,111,active,Voluptas eos sit rem iusto asperiores quidem dolorem perspiciatis perferendis id sapiente nam at.
PROG-b38983ba,Plus,Nakuru Entrepreneurship Plus,Nakuru,2024-05-21,,167,active,Accusamus modi iste perferendis perferendis nesciunt reprehenderit velit autem doloremque ad sunt natus.
PROG-2b1fc634,Plus,Nakuru Youth Leadership Development,Nakuru,2026-10-10,,167,planned,Dolore aperiam reprehenderit tenetur error illum consequuntur veniam esse laudantium atque suscipit consequatur iste perferendis quia.
PROG-17ca6321,Plus,Nakuru Youth Leadership Development,Nakuru,2026-10-17,,187,planned,In quia culpa impedit aut laudantium illum veritatis adipisci fuga ipsam veritatis sequi aut placeat.
PROG-7a6e5559,Plus,Kisumu Entrepreneurship Plus,Kisumu,2025-01-23,,275,active,Temporibus officia aperiam eius voluptas veniam repudiandae at distinctio odit voluptas amet ex voluptates ratione.
PROG-f7b3a2f9,Plus,Kisumu Entrepreneurship Plus,Kisumu,2023-11-02,2025-05-13,90,completed,Architecto quisquam dignissimos dolor sit eveniet corporis tempore a similique.
PROG-a502bbfb,Plus,Kisumu Entrepreneurship Plus,Kisumu,2024-11-14,2026-05-08,206,completed,Voluptates molestiae reiciendis beatae sint consectetur facere ratione nihil.
PROG-d08e679f,Plus,Plus Mentorship Kisumu,Kisumu,2025-11-27,2026-05-26,126,completed,Cupiditate amet qui minima quia labore quod.
PROG-6c9c5478,Plus,Eldoret Entrepreneurship Plus,Eldoret,2026-10-26,,79,planned,Nisi iste dolore nostrum quas tenetur omnis error officia adipisci voluptatum sed incidunt autem quae.
PROG-e041816d,Plus,Plus Mentorship Eldoret,Eldoret,2026-02-20,,89,active,Asperiores aspernatur non aperiam eius odio molestias eveniet voluptatum minus iste non aut.
PROG-37d82bff,Plus,Eldoret Life Skills Enhancement,Eldoret,2024-05-28,,233,active,Sequi officiis quisquam quam dolor iste dolorem excepturi.
PROG-c737ca62,Plus,Eldoret Entrepreneurship Plus,Eldoret,2024-08-09,,179,active,Id quas est est ducimus veritatis porro labore at assumenda inventore quia fuga consectetur.
PROG-66ed5471,Plus,Eldoret Youth Leadership Development,Eldoret,2025-01-05,,73,active,Nesciunt natus eveniet commodi explicabo pariatur quibusdam sint.
PROG-4f9acb42,Plus,Eldoret Entrepreneurship Plus,Eldoret,2025-06-03,,61,active,Voluptas nobis expedita neque distinctio omnis dolore.
PROG-02a826e9,Plus,Kiambu Life Skills Enhancement,Kiambu,2024-07-30,2025-10-21,239,completed,Expedita nam beatae eius dolorem inventore natus quisquam.
PROG-37fd8080,Plus,Kiambu Community Leadership Program,Kiambu,2024-11-18,,193,active,Nostrum odit ad ut repudiandae eaque debitis praesentium est excepturi ab sit necessitatibus id consequuntur odio.
PROG-5eed137e,Plus,Kiambu Life Skills Enhancement,Kiambu,2023-09-02,,189,active,At minus fugiat iste culpa est eveniet.
PROG-e9384c4f,Plus,Plus Mentorship Kiambu,Kiambu,2023-09-29,2025-11-13,87,completed,Nisi sunt culpa quidem amet aspernatur ipsam incidunt non impedit dolor maiores exercitationem beatae perspiciatis.
PROG-ff2c588f,Plus,Machakos Entrepreneurship Plus,Machakos,2024-01-01,,280,active,Laborum pariatur aliquid hic nobis ab error distinctio consequatur ducimus eveniet ab quia cupiditate fugit provident.
PROG-1f8ed400,Plus,Machakos Entrepreneurship Plus,Machakos,2026-04-05,2026-10-02,103,completed,Nam pariatur explicabo id quia ipsa itaque aspernatur est inventore illo odit enim illo.
PROG-483dea91,Plus,Machakos Youth Leadership Development,Machakos,2025-07-22,,140,active,Cupiditate veniam itaque porro facere ipsa autem ipsa id aspernatur sit quia.
PROG-c518bee3,Plus,Machakos Community Leadership Program,Machakos,2025-10-30,,299,active,Ex cumque magni beatae magni temporibus expedita quas reprehenderit repellendus.
PROG-4986a661,Plus,Machakos Life Skills Enhancement,Machakos,2025-05-20,2026-07-10,271,completed,Aut ducimus cupiditate corrupti quis asperiores veritatis occaecati iure natus.
PROG-4132bd2d,Plus,Kajiado Community Leadership Program,Kajiado,2026-05-19,2026-11-15,56,completed,Ipsum unde natus odio numquam sint occaecati corrupti architecto ipsam esse earum animi magni est iste.
PROG-ddf8fbd0,Plus,Kajiado Community Leadership Program,Kajiado,2024-02-23,2025-07-27,255,completed,Fuga enim officia voluptate at nisi fugit neque.
PROG-6e13fa05,Plus,Kajiado Entrepreneurship Plus,Kajiado,2025-07-09,2026-03-09,90,completed,Ipsum repellat officiis eum labore corrupti aperiam.
PROG-de40b141,Plus,Kajiado Youth Leadership Development,Kajiado,2025-11-07,2026-06-23,269,completed,Repellat saepe voluptatem assumenda officia aliquam provident voluptatibus.
PROG-dd577742,Plus,Meru Community Leadership Program,Meru,2024-04-07,,139,active,Minima culpa fuga eligendi illum excepturi nisi ratione officia aperiam atque perspiciatis eligendi quam omnis.
PROG-54050097,Plus,Meru Life Skills Enhancement,Meru,2024-07-01,2025-08-18,56,completed,Sit ex nesciunt consequuntur expedita voluptas praesentium hic nisi vel est fugiat recusandae repellat pariatur repudiandae.
PROG-4cb533cf,Plus,Meru Entrepreneurship Plus,Meru,2025-06-29,,121,active,Atque perferendis magni accusantium est veritatis exercitationem quisquam deleniti voluptatum culpa eos ratione magni molestiae.
PROG-c61e9529,Plus,Meru Entrepreneurship Plus,Meru,2026-01-25,,139,active,Alias excepturi quisquam consectetur fugiat cum rerum quo repellat cumque ipsa illum perspiciatis dolores ipsam.
PROG-74e9906c,Plus,Plus Mentorship Meru,Meru,2025-06-10,,134,active,Quibusdam quos doloremque dolores vitae quos temporibus deserunt perspiciatis necessitatibus ipsam.
PROG-7d9bc9c1,Plus,Nyeri Life Skills Enhancement,Nyeri,2023-12-20,2025-03-11,198,completed,Quod magnam in cum dicta non sit amet laboriosam fuga vel.
PROG-286937a7,Plus,Nyeri Youth Leadership Development,Nyeri,2026-10-01,,202,planned,Sed eligendi quis earum temporibus corporis ipsa veniam dolore iste expedita ad amet magnam doloremque.
PROG-a0e0d78d,Plus,Nyeri Entrepreneurship Plus,Nyeri,2024-11-10,,161,active,Fugiat adipisci ut saepe officiis recusandae consequuntur enim.
PROG-1998575f,Plus,Nyeri Community Leadership Program,Nyeri,2026-10-21,,280,planned,Possimus consequuntur provident ipsum a aspernatur ducimus rerum molestias quas minus beatae enim error.
PROG-12e377cd,Plus,Kilifi Community Leadership Program,Kilifi,2024-03-05,,50,active,Dolores odit numquam aperiam saepe libero modi.
PROG-5859e5a5,Plus,Kilifi Life Skills Enhancement,Kilifi,2027-02-06,,143,planned,Maiores doloribus corporis inventore nostrum dolores impedit optio assumenda voluptate architecto minima magni voluptates mollitia hic.
PROG-ae147777,Plus,Kilifi Entrepreneurship Plus,Kilifi,2024-11-07,,209,active,Aliquam harum fuga quibusdam explicabo architecto dolores omnis aut neque quidem consequatur explicabo excepturi.
PROG-f051b9cf,Plus,Kilifi Entrepreneurship Plus,Kilifi,2024-07-10,2025-05-13,179,completed,Rerum placeat voluptatem laboriosam delectus consequatur quaerat velit alias.
PROG-c4a7a0a8,Plus,Kilifi Community Leadership Program,Kilifi,2024-07-05,2025-12-01,228,completed,Aliquam dicta aliquam ut maiores voluptatibus molestiae ducimus quidem deleniti.
PROG-36f507bd,Plus,Kilifi Life Skills Enhancement,Kilifi,2024-06-21,,157,active,Similique aliquid omnis earum reiciendis ipsa id ipsam vero excepturi deleniti porro.
PROG-6e2aa30e,Plus,Kakamega Life Skills Enhancement,Kakamega,2026-04-12,,207,active,Unde maxime reiciendis quas aspernatur nobis reprehenderit molestias eum aspernatur optio esse.
PROG-42104c80,Plus,Plus Mentorship Kakamega,Kakamega,2025-03-28,,263,active,Quaerat cumque ipsam ipsum quas tenetur nostrum ipsa odit recusandae animi perferendis illo maiores quibusdam cum.
PROG-6787b12e,Plus,Kakamega Life Skills Enhancement,Kakamega,2023-08-24,,160,active,Consequuntur non quos alias architecto quod facilis.
PROG-5ffcdf85,Plus,Kakamega Entrepreneurship Plus,Kakamega,2025-11-05,,169,active,Veniam adipisci corrupti ipsum fuga ipsam asperiores consequuntur facilis et eius vero ad.
PROG-e4144baa,Plus,Kakamega Life Skills Enhancement,Kakamega,2024-11-18,,180,active,Libero harum natus ea ea ipsum voluptatum eligendi totam.
PROG-0cb596de,Plus,Kakamega Life Skills Enhancement,Kakamega,2024-12-20,2026-06-29,218,completed,Dicta consequatur asperiores cupiditate quae voluptatum repellat voluptas voluptates pariatur quae mollitia enim error.
PROG-40a38dca,Vocational,Nairobi Hands-On Skills Academy,Nairobi,2024-06-09,,135,active,Quae unde odit recusandae magni commodi dicta consequuntur ratione.
PROG-feed88eb,Vocational,Nairobi Artisan Development Program,Nairobi,2023-11-27,2026-07-03,222,completed,Facere nemo iusto voluptatem consectetur sunt aperiam.
PROG-8cf15bc4,Vocational,Nairobi Artisan Development Program,Nairobi,2024-07-06,,87,active,Voluptatum quaerat minima quisquam reprehenderit asperiores voluptas odit ipsum perspiciatis exercitationem soluta quos.
PROG-4055f3fe,Vocational,Nairobi Trade Skills Initiative,Nairobi,2023-09-18,,206,active,Delectus vitae inventore tenetur animi commodi corrupti cum eum quae exercitationem velit tempora sapiente dolorum odio.
PROG-7463bbcd,Vocational,Mombasa Hands-On Skills Academy,Mombasa,2024-12-02,,99,active,Earum numquam nostrum atque odit nihil neque cupiditate numquam temporibus excepturi unde aliquam sint aspernatur.
PROG-b3c8c997,Vocational,Mombasa Trade Skills Initiative,Mombasa,2025-08-28,2026-06-30,112,completed,Eaque distinctio nemo nulla adipisci suscipit molestias odit error doloribus rem illo iste porro culpa.
PROG-2baf66ee,Vocational,Mombasa Technical Skills Training,Mombasa,2024-01-22,2024-07-25,249,completed,Laborum dignissimos non est quaerat quasi similique voluptate consectetur fuga natus eum iure.
PROG-d3069c0f,Vocational,Mombasa Hands-On Skills Academy,Mombasa,2024-11-01,,168,active,Ipsum consequuntur amet veniam sint in vitae temporibus repellendus ut quam.
PROG-0c3fbd28,Vocational,Nakuru Technical Skills Training,Nakuru,2025-03-16,,166,active,Quis libero maiores libero est ad veniam magnam vitae dolor.
PROG-fc7b354b,Vocational,Nakuru Hands-On Skills Academy,Nakuru,2024-01-07,2026-05-19,193,completed,Aliquid eligendi nisi sapiente perferendis enim ab autem consequatur eaque facilis illo.
PROG-154089d9,Vocational,Nakuru Trade Skills Initiative,Nakuru,2025-04-24,,206,active,Id necessitatibus deserunt mollitia asperiores magnam quisquam.
PROG-3ff19543,Vocational,Nakuru Trade Skills Initiative,Nakuru,2025-12-05,2026-07-05,262,completed,Repudiandae numquam nostrum consectetur atque fuga voluptates nam facilis corporis nobis.
PROG-f5f07ba4,Vocational,Kisumu Trade Skills Initiative,Kisumu,2024-11-22,2026-06-05,165,completed,Magnam aliquid consequatur ex labore itaque non maiores eveniet nostrum cum voluptatibus qui.
PROG-4b1a75a8,Vocational,Kisumu Hands-On Skills Academy,Kisumu,2024-05-15,2025-08-21,174,completed,Nisi magni magni laudantium natus labore accusantium ex autem impedit esse.
PROG-4984651e,Vocational,Kisumu Trade Skills Initiative,Kisumu,2025-05-26,,69,active,Ad labore voluptas quos quod neque quam nesciunt cupiditate occaecati nulla sapiente corporis perspiciatis adipisci veniam.
PROG-9e2ec2fe,Vocational,Vocational Excellence Kisumu,Kisumu,2025-08-23,,135,active,Deleniti ipsam in impedit dignissimos magnam nostrum iusto.
PROG-dd95776f,Vocational,Kisumu Artisan Development Program,Kisumu,2024-07-16,2025-04-04,88,completed,Provident maxime natus voluptatum laboriosam fugiat vero itaque.
PROG-62cc2bca,Vocational,Kisumu Artisan Development Program,Kisumu,2024-04-16,,230,active,Exercitationem explicabo quo quam officia possimus nostrum deleniti doloribus nam dolore voluptate error enim dignissimos.
PROG-bca78c91,Vocational,Vocational Excellence Eldoret,Eldoret,2023-10-28,,188,active,Et expedita ut recusandae earum commodi perspiciatis fugit voluptatem repellendus veritatis rem enim enim.
PROG-676845a5,Vocational,Eldoret Artisan Development Program,Eldoret,2024-12-13,,263,active,Expedita ipsam ducimus laboriosam dicta molestiae ut possimus.
PROG-a2191006,Vocational,Eldoret Hands-On Skills Academy,Eldoret,2024-10-27,,292,active,Autem qui dolores amet temporibus dolorem doloremque aut ex.
PROG-adb8dd55,Vocational,Eldoret Hands-On Skills Academy,Eldoret,2025-08-05,,147,active,Aut quo a mollitia ut illum vel soluta labore dicta vitae eum officia tenetur.
PROG-cc1e0da1,Vocational,Kiambu Trade Skills Initiative,Kiambu,2026-12-07,,268,planned,Officiis doloremque qui sed alias ullam in saepe.
PROG-13c8fa5d,Vocational,Kiambu Hands-On Skills Academy,Kiambu,2027-01-07,,241,planned,Voluptatum id libero vel vitae unde soluta.
PROG-c0a36c24,Vocational,Kiambu Hands-On Skills Academy,Kiambu,2025-09-14,,279,active,Error nobis unde ex iste odit minima.
PROG-f6167614,Vocational,Vocational Excellence Kiambu,Kiambu,2024-04-05,,161,active,Sed iusto deserunt beatae cum itaque ducimus delectus qui.
PROG-9fe90568,Vocational,Vocational Excellence Kiambu,Kiambu,2025-01-02,,221,active,Necessitatibus quidem cupiditate sequi tempore repudiandae maiores assumenda pariatur delectus consequuntur.
PROG-5af62ded,Vocational,Machakos Artisan Development Program,Machakos,2025-11-18,,265,active,Vel ab fugit ipsum eaque eveniet nesciunt nemo ea facere dolores pariatur.
PROG-be2f87c2,Vocational,Machakos Technical Skills Training,Machakos,2027-02-05,,282,planned,Esse illo magnam tempora provident est blanditiis totam eos nostrum dolor consequatur corrupti quibusdam.
PROG-c14cbf07,Vocational,Machakos Technical Skills Training,Machakos,2024-09-30,,71,active,Fuga praesentium totam quidem reiciendis repudiandae quis perspiciatis nisi ratione minima minus facere totam beatae repudiandae.
PROG-9c0f6edb,Vocational,Machakos Trade Skills Initiative,Machakos,2025-06-12,,96,active,Dicta modi cum sequi ipsam perspiciatis quaerat laborum tempore ipsum animi consequatur impedit natus.
