disbursement_id,beneficiary_id,cohort_id,expected_date,actual_date,amount_kes,status,delay_days,payment_method
DISB-0000037,BEN-00004,COHORT-SC-001,2025-10-06,,4395,Withheld,0,M-Pesa
DISB-0000038,BEN-00004,COHORT-SC-001,2025-11-06,2025-12-03,5226,Delayed,27,Bank Transfer
DISB-0000039,BEN-00004,COHORT-SC-001,2025-12-06,2025-12-06,3357,Paid,0,Bank Transfer
DISB-0000040,BEN-00004,COHORT-SC-001,2026-01-06,,3109,Withheld,0,M-Pesa
DISB-0000041,BEN-00004,COHORT-SC-001,2026-02-06,2026-02-06,7581,Paid,0,Bank Transfer
DISB-0000042,BEN-00004,COHORT-SC-001,2026-03-06,2026-03-06,6445,Paid,0,Cash
DISB-0000043,BEN-00004,COHORT-SC-001,2026-04-06,2026-04-06,6249,Paid,0,Cash
DISB-0000044,BEN-00004,COHORT-SC-001,2026-05-06,2026-05-06,4930,Paid,0,Bank Transfer
DISB-0000045,BEN-00004,COHORT-SC-001,2026-06-06,,7142,Withheld,0,Cash
DISB-0000046,BEN-00004,COHORT-SC-001,2026-07-06,2026-07-06,5418,Paid,0,Bank Transfer
DISB-0000047,BEN-00004,COHORT-SC-001,2026-08-06,2026-08-06,4098,Paid,0,M-Pesa
DISB-0000048,BEN-00005,COHORT-SC-001,2025-10-06,2025-10-06,6051,Pending,0,Cash
DISB-0000049,BEN-00005,COHORT-SC-001,2025-11-06,2025-11-06,6669,Paid,0,Cash
DISB-0000050,BEN-00005,COHORT-SC-001,2025-12-06,2025-12-06,3385,Paid,0,Bank Transfer
DISB-0000051,BEN-00005,COHORT-SC-001,2026-01-06,2026-01-06,3015,paid,0,Bank Transfer
DISB-0000052,BEN-00005,COHORT-SC-001,2026-02-06,2026-02-06,5541,Pending,0,Bank Transfer
DISB-0000053,BEN-00005,COHORT-SC-001,2026-03-06,2026-03-06,4183,Paid,0,M-Pesa
DISB-0000054,BEN-00005,COHORT-SC-001,2026-04-06,2026-04-06,6020,Pending,0,Cash
DISB-0000055,BEN-00005,COHORT-SC-001,2026-05-06,2026-05-31,4302,paid,25,Bank Transfer
DISB-0000056,BEN-00005,COHORT-SC-001,2026-06-06,,4576,Withheld,0,M-Pesa
DISB-0000057,BEN-00005,COHORT-SC-001,2026-07-06,2026-07-06,4613,Paid,0,M-Pesa
DISB-0000058,BEN-00005,COHORT-SC-001,2026-08-06,2026-08-06,4432,Paid,0,Bank Transfer
DISB-0000059,BEN-00006,COHORT-SC-001,2025-09-06,2025-09-06,7147,Pending,0,Cash
DISB-0000060,BEN-00006,COHORT-SC-001,2025-10-06,2025-10-06,3135,Paid,0,Cash
DISB-0000061,BEN-00006,COHORT-SC-001,2025-11-06,2025-11-06,6587,Paid,0,Cash
DISB-0000062,BEN-00006,COHORT-SC-001,2025-12-06,2025-12-06,5771,Paid,0,M-Pesa
DISB-0000063,BEN-00006,COHORT-SC-001,2026-01-06,2026-01-17,3047,Delayed,11,Cash
DISB-0000064,BEN-00006,COHORT-SC-001,2026-02-06,2026-02-06,7753,Paid,0,Cash
DISB-0000065,BEN-00006,COHORT-SC-001,2026-03-06,2026-03-06,3628,Paid,0,Cash
DISB-0000066,BEN-00006,COHORT-SC-001,2026-04-06,2026-04-25,5194,Delayed,19,M-Pesa
DISB-0000067,BEN-00006,COHORT-SC-001,2026-05-06,2026-05-06,5859,Paid,0,Cash
DISB-0000068,BEN-00006,COHORT-SC-001,2026-06-06,2026-06-06,5901,Paid,0,Bank Transfer
DISB-0000069,BEN-00006,COHORT-SC-001,2026-07-06,2026-07-06,6797,Pending,0,Bank Transfer
DISB-0000070,BEN-00006,COHORT-SC-001,2026-08-06,2026-08-06,4913,Paid,0,M-Pesa
DISB-0000071,BEN-00007,COHORT-SC-001,2025-10-06,2025-10-06,7990,Paid,0,Cash
DISB-0000072,BEN-00007,COHORT-SC-001,2025-11-06,2025-11-20,4862,Delayed,14,Cash
DISB-0000073,BEN-00007,COHORT-SC-001,2025-12-06,2025-12-06,3299,Paid,0,Cash
DISB-0000074,BEN-00007,COHORT-SC-001,2026-01-06,2026-01-06,4709,Paid,0,Cash
DISB-0000075,BEN-00007,COHORT-SC-001,2026-02-06,2026-02-06,6086,Pending,0,Bank Transfer
DISB-0000076,BEN-00007,COHORT-SC-001,2026-03-06,2026-03-06,5273,Paid,0,M-Pesa
DISB-0000077,BEN-00007,COHORT-SC-001,2026-04-06,2026-04-06,4650,Paid,0,M-Pesa
DISB-0000078,BEN-00007,COHORT-SC-001,2026-05-06,,7342,paid,0,Cash
DISB-0000079,BEN-00007,COHORT-SC-001,2026-06-06,2026-06-06,6211,Paid,0,Bank Transfer
DISB-0000080,BEN-00007,COHORT-SC-001,2026-07-06,2026-07-06,4929,Paid,0,M-Pesa
DISB-0000081,BEN-00007,COHORT-SC-001,2026-08-06,2026-08-06,5712,Paid,0,M-Pesa
DISB-0000082,BEN-00008,COHORT-SC-001,2025-10-06,2025-10-06,6681,Paid,0,Cash
DISB-0000083,BEN-00008,COHORT-SC-001,2025-11-06,2025-11-06,7374,Paid,0,Bank Transfer
DISB-0000084,BEN-00008,COHORT-SC-001,2025-12-06,2025-12-06,6503,paid,0,M-Pesa
DISB-0000085,BEN-00008,COHORT-SC-001,2026-01-06,2026-01-06,3176,Paid,0,Cash
DISB-0000086,BEN-00008,COHORT-SC-001,2026-02-06,2026-02-06,4646,Paid,0,Bank Transfer
DISB-0000087,BEN-00008,COHORT-SC-001,2026-03-06,,3368,Withheld,0,M-Pesa
DISB-0000088,BEN-00008,COHORT-SC-001,2026-04-06,2026-04-06,4807,Pending,0,M-Pesa
DISB-0000089,BEN-00008,COHORT-SC-001,2026-05-06,2026-05-06,4797,Paid,0,Bank Transfer
DISB-0000090,BEN-00008,COHORT-SC-001,2026-06-06,2026-06-06,5609,Paid,0,Cash
DISB-0000091,BEN-00008,COHORT-SC-001,2026-07-06,2026-07-06,4233,Paid,0,Cash
DISB-0000092,BEN-00008,COHORT-SC-001,2026-08-06,2026-08-06,4300,Paid,0,Cash
DISB-0000093,BEN-00009,COHORT-SC-001,2025-10-06,2025-10-06,3988,Paid,0,M-Pesa
DISB-0000094,BEN-00009,COHORT-SC-001,2025-11-06,2025-11-06,7824,Paid,0,M-Pesa
DISB-0000095,BEN-00009,COHORT-SC-001,2025-12-06,2025-12-06,3648,Paid,0,Cash
DISB-0000096,BEN-00009,COHORT-SC-001,2026-01-06,2026-01-06,4228,PAID,0,Cash
DISB-0000097,BEN-00009,COHORT-SC-001,2026-02-06,,3807,Withheld,0,M-Pesa
DISB-0000098,BEN-00009,COHORT-SC-001,2026-03-06,2026-03-06,4146,Paid,0,Cash
DISB-0000099,BEN-00009,COHORT-SC-001,2026-04-06,2026-04-06,3653,Paid,0,Bank Transfer
DISB-0000100,BEN-00009,COHORT-SC-001,2026-05-06,2026-05-06,5709,Paid,0,Bank Transfer
DISB-0000101,BEN-00009,COHORT-SC-001,2026-06-06,2026-06-06,6975,Paid,0,M-Pesa
DISB-0000102,BEN-00009,COHORT-SC-001,2026-07-06,2026-07-06,3461,Paid,0,M-Pesa
DISB-0000103,BEN-00009,COHORT-SC-001,2026-08-06,2026-08-25,5709,paid,19,M-Pesa
DISB-0000104,BEN-00010,COHORT-SC-001,2025-09-06,2025-09-06,5627,Paid,0,Cash
DISB-0000105,BEN-00010,COHORT-SC-001,2025-10-06,2025-10-06,4652,Paid,0,Cash
DISB-0000106,BEN-00010,COHORT-SC-001,2025-11-06,2025-11-06,3077,Paid,0,Cash
DISB-0000107,BEN-00010,COHORT-SC-001,2025-12-06,2025-12-06,4506,Paid,0,Cash
DISB-0000108,BEN-00010,COHORT-SC-001,2026-01-06,2026-01-24,4864,Delayed,18,M-Pesa
DISB-0000109,BEN-00010,COHORT-SC-001,2026-02-06,2026-02-06,5232,Paid,0,Bank Transfer
DISB-0000110,BEN-00010,COHORT-SC-001,2026-03-06,2026-03-06,3213,Paid,0,Cash
DISB-0000111,BEN-00010,COHORT-SC-001,2026-04-06,2026-04-06,5821,Paid,0,Bank Transfer
DISB-0000112,BEN-00010,COHORT-SC-001,2026-05-06,2026-05-06,5128,Pending,0,Cash
DISB-0000113,BEN-00010,COHORT-SC-001,2026-06-06,2026-06-06,7051,Pending,0,Bank Transfer
DISB-0000114,BEN-00010,COHORT-SC-001,2026-07-06,2026-07-06,5191,Paid,0,Cash
DISB-0000115,BEN-00010,COHORT-SC-001,2026-08-06,2026-09-03,4685,Delayed,28,Bank Transfer
DISB-0000116,BEN-00011,COHORT-SC-001,2025-10-06,2025-10-06,5359,Paid,0,Bank Transfer
DISB-0000117,BEN-00011,COHORT-SC-001,2025-11-06,2025-11-06,7528,Pending,0,M-Pesa
DISB-0000118,BEN-00011,COHORT-SC-001,2025-12-06,2025-12-06,7243,Paid,0,Cash
DISB-0000119,BEN-00011,COHORT-SC-001,2026-01-06,2026-01-06,5157,Paid,0,Bank Transfer
DISB-0000120,BEN-00011,COHORT-SC-001,2026-02-06,2026-02-06,7483,Paid,0,Bank Transfer
DISB-0000121,BEN-00011,COHORT-SC-001,2026-03-06,2026-03-06,3858,Pending,0,Cash
DISB-0000122,BEN-00011,COHORT-SC-001,2026-04-06,2026-04-06,6082,Paid,0,M-Pesa
DISB-0000123,BEN-00011,COHORT-SC-001,2026-05-06,2026-05-06,6251,Paid,0,Cash
DISB-0000124,BEN-00011,COHORT-SC-001,2026-06-06,2026-06-18,4745,Delayed,12,Bank Transfer
DISB-0000125,BEN-00011,COHORT-SC-001,2026-07-06,2026-07-06,3325,Pending,0,Cash
DISB-0000126,BEN-00011,COHORT-SC-001,2026-08-06,2026-08-06,5312,Paid,0,Bank Transfer
DISB-0000127,BEN-00012,COHORT-SC-001,2025-09-06,2025-09-28,5624,Delayed,22,Cash
DISB-0000128,BEN-00012,COHORT-SC-001,2025-10-06,,7498,Withheld,0,Bank Transfer
DISB-0000129,BEN-00012,COHORT-SC-001,2025-11-06,2025-11-06,5868,Paid,0,Bank Transfer
DISB-0000130,BEN-00012,COHORT-SC-001,2025-12-06,2025-12-06,5717,Paid,0,Cash
DISB-0000131,BEN-00012,COHORT-SC-001,2026-01-06,2026-01-06,3719,Paid,0,Bank Transfer
DISB-0000132,BEN-00012,COHORT-SC-001,2026-02-06,2026-02-06,3523,Pending,0,Cash
DISB-0000133,BEN-00012,COHORT-SC-001,2026-03-06,2026-03-06,6603,Paid,0,Cash
DISB-0000134,BEN-00012,COHORT-SC-001,2026-04-06,2026-04-06,6386,Paid,0,Bank Transfer
DISB-0000135,BEN-00012,COHORT-SC-001,2026-05-06,2026-05-06,7937,Paid,0,M-Pesa
DISB-0000136,BEN-00012,COHORT-SC-001,2026-06-06,2026-06-06,5919,Pending,0,Cash
DISB-0000137,BEN-00012,COHORT-SC-001,2026-07-06,2026-07-25,6140,Delayed,19,M-Pesa
DISB-0000138,BEN-00012,COHORT-SC-001,2026-08-06,2026-08-06,7031,PAID,0,Cash
DISB-0000139,BEN-00013,COHORT-SC-001,2025-09-06,2025-09-06,3299,Paid,0,M-Pesa
DISB-0000140,BEN-00013,COHORT-SC-001,2025-10-06,2025-10-06,3014,Paid,0,M-Pesa
DISB-0000141,BEN-00013,COHORT-SC-001,2025-11-06,2025-11-06,7120,Pending,0,Bank Transfer
DISB-0000142,BEN-00013,COHORT-SC-001,2025-12-06,2025-12-28,3552,Delayed,22,Cash
DISB-0000143,BEN-00013,COHORT-SC-001,2026-01-06,2026-01-06,6465,Paid,0,Bank Transfer
DISB-0000144,BEN-00013,COHORT-SC-001,2026-02-06,2026-02-06,4581,Paid,0,Bank Transfer
DISB-0000145,BEN-00013,COHORT-SC-001,2026-03-06,2026-03-06,7907,Paid,0,M-Pesa
DISB-0000146,BEN-00013,COHORT-SC-001,2026-04-06,2026-04-06,4710,Paid,0,Cash
DISB-0000147,BEN-00013,COHORT-SC-001,2026-05-06,2026-05-06,3300,Paid,0,Bank Transfer
DISB-0000148,BEN-00013,COHORT-SC-001,2026-06-06,2026-06-06,6888,Paid,0,Bank Transfer
DISB-0000149,BEN-00013,COHORT-SC-001,2026-07-06,2026-07-06,4155,paid,0,M-Pesa
DISB-0000150,BEN-00013,COHORT-SC-001,2026-08-06,2026-08-06,4755,Paid,0,Bank Transfer
DISB-0000151,BEN-00014,COHORT-SC-001,2025-09-06,2025-10-06,7316,Delayed,30,Bank Transfer
DISB-0000152,BEN-00014,COHORT-SC-001,2025-10-06,2025-10-06,4067,Paid,0,Bank Transfer
DISB-0000153,BEN-00014,COHORT-SC-001,2025-11-06,,3447,delayed,0,Bank Transfer
DISB-0000154,BEN-00014,COHORT-SC-001,2025-12-06,2025-12-06,3720,Paid,0,Bank Transfer
DISB-0000155,BEN-00014,COHORT-SC-001,2026-01-06,2026-01-06,4487,Paid,0,Bank Transfer
DISB-0000156,BEN-00014,COHORT-SC-001,2026-02-06,2026-02-06,3381,Paid,0,Bank Transfer
DISB-0000157,BEN-00014,COHORT-SC-001,2026-03-06,2026-03-06,6838,Paid,0,M-Pesa
DISB-0000158,BEN-00014,COHORT-SC-001,2026-04-06,2026-04-06,7041,Paid,0,Bank Transfer
DISB-0000159,BEN-00014,COHORT-SC-001,2026-05-06,2026-05-06,5799,Pending,0,Bank Transfer
DISB-0000160,BEN-00014,COHORT-SC-001,2026-06-06,2026-06-06,6093,Pending,0,Bank Transfer
DISB-0000161,BEN-00014,COHORT-SC-001,2026-07-06,,6052,Withheld,0,Bank Transfer
DISB-0000162,BEN-00014,COHORT-SC-001,2026-08-06,2026-08-06,3159,Paid,0,Cash
DISB-0000163,BEN-00015,COHORT-SC-001,2025-09-06,2025-09-06,4646,Paid,0,Cash
DISB-0000164,BEN-00015,COHORT-SC-001,2025-10-06,2025-10-06,7329,Paid,0,Cash
DISB-0000165,BEN-00015,COHORT-SC-001,2025-11-06,2025-11-06,4096,Pending,0,M-Pesa
DISB-0000166,BEN-00015,COHORT-SC-001,2025-12-06,2025-12-06,6121,Paid,0,M-Pesa
DISB-0000167,BEN-00015,COHORT-SC-001,2026-01-06,2026-01-06,5441,Pending,0,M-Pesa
DISB-0000168,BEN-00015,COHORT-SC-001,2026-02-06,2026-02-06,7817,Paid,0,M-Pesa
DISB-0000169,BEN-00016,COHORT-SC-001,2025-09-06,2025-09-06,7706,Paid,0,Bank Transfer
DISB-0000170,BEN-00016,COHORT-SC-001,2025-10-06,2025-10-06,6224,Paid,0,M-Pesa
DISB-0000171,BEN-00016,COHORT-SC-001,2025-11-06,2025-11-21,7728,Delayed,15,Bank Transfer
DISB-0000172,BEN-00016,COHORT-SC-001,2025-12-06,2025-12-06,3557,Pending,0,Cash
DISB-0000173,BEN-00016,COHORT-SC-001,2026-01-06,2026-01-06,5724,Paid,0,Cash
DISB-0000174,BEN-00016,COHORT-SC-001,2026-02-06,2026-02-06,6164,PAID,0,Bank Transfer
DISB-0000175,BEN-00016,COHORT-SC-001,2026-03-06,2026-03-06,7022,Paid,0,M-Pesa
DISB-0000176,BEN-00017,COHORT-SC-001,2025-10-06,2025-10-06,3458,Paid,0,Bank Transfer
DISB-0000177,BEN-00017,COHORT-SC-001,2025-11-06,2025-11-06,4046,Paid,0,M-Pesa
DISB-0000178,BEN-00017,COHORT-SC-001,2025-12-06,2025-12-06,7743,Paid,0,M-Pesa
DISB-0000179,BEN-00017,COHORT-SC-001,2026-01-06,2026-01-27,7035,Delayed,21,Cash
DISB-0000180,BEN-00017,COHORT-SC-001,2026-02-06,2026-02-25,3303,Delayed,19,Bank Transfer
DISB-0000181,BEN-00017,COHORT-SC-001,2026-03-06,2026-03-06,3784,Paid,0,Bank Transfer
DISB-0000182,BEN-00017,COHORT-SC-001,2026-04-06,2026-04-06,6980,Pending,0,M-Pesa
DISB-0000183,BEN-00017,COHORT-SC-001,2026-05-06,2026-05-06,6107,Paid,0,M-Pesa
DISB-0000184,BEN-00017,COHORT-SC-001,2026-06-06,2026-06-06,4234,Paid,0,Cash
DISB-0000185,BEN-00017,COHORT-SC-001,2026-07-06,2026-07-06,6896,Paid,0,M-Pesa
DISB-0000186,BEN-00017,COHORT-SC-001,2026-08-06,2026-08-06,3990,Paid,0,Bank Transfer
DISB-0000187,BEN-00018,COHORT-SC-001,2025-10-06,2025-10-06,5307,Paid,0,Bank Transfer
DISB-0000188,BEN-00018,COHORT-SC-001,2025-11-06,2025-11-06,5757,Paid,0,Cash
DISB-0000189,BEN-00018,COHORT-SC-001,2025-12-06,2025-12-06,4055,Paid,0,Cash
DISB-0000190,BEN-00018,COHORT-SC-001,2026-01-06,,7915,Withheld,0,M-Pesa
DISB-0000191,BEN-00018,COHORT-SC-001,2026-02-06,2026-02-06,4900,Paid,0,Bank Transfer
DISB-0000192,BEN-00018,COHORT-SC-001,2026-03-06,2026-03-06,5950,Pending,0,M-Pesa
DISB-0000193,BEN-00018,COHORT-SC-001,2026-04-06,2026-04-06,6048,Paid,0,Bank Transfer
DISB-0000194,BEN-00018,COHORT-SC-001,2026-05-06,2026-05-06,5798,Paid,0,Bank Transfer
DISB-0000195,BEN-00018,COHORT-SC-001,2026-06-06,2026-06-06,7519,Paid,0,Cash
DISB-0000196,BEN-00018,COHORT-SC-001,2026-07-06,2026-08-05,7466,Delayed,30,Cash
DISB-0000197,BEN-00018,COHORT-SC-001,2026-08-06,2026-08-06,3578,Paid,0,Cash
DISB-0000198,BEN-00019,COHORT-SC-001,2025-09-06,2025-09-29,7355,Delayed,23,Cash
DISB-0000199,BEN-00019,COHORT-SC-001,2025-10-06,2025-10-06,5245,Paid,0,Cash
DISB-0000200,BEN-00019,COHORT-SC-001,2025-11-06,2025-11-06,3395,Pending,0,Cash
DISB-0000201,BEN-00019,COHORT-SC-001,2025-12-06,2025-12-06,3528,withheld,0,M-Pesa
DISB-0000202,BEN-00019,COHORT-SC-001,2026-01-06,2026-01-06,5490,Paid,0,M-Pesa
DISB-0000203,BEN-00019,COHORT-SC-001,2026-02-06,2026-02-06,7407,Pending,0,Cash
DISB-0000204,BEN-00019,COHORT-SC-001,2026-03-06,2026-03-06,5383,withheld,0,Bank Transfer
DISB-0000205,BEN-00019,COHORT-SC-001,2026-04-06,2026-04-06,3261,Paid,0,Cash
DISB-0000206,BEN-00019,COHORT-SC-001,2026-05-06,2026-05-06,4131,Paid,0,M-Pesa
DISB-0000207,BEN-00019,COHORT-SC-001,2026-06-06,2026-06-06,7611,Paid,0,M-Pesa
DISB-0000208,BEN-00019,COHORT-SC-001,2026-07-06,2026-07-06,7316,Pending,0,Bank Transfer
DISB-0000209,BEN-00019,COHORT-SC-001,2026-08-06,2026-08-06,6619,Paid,0,Bank Transfer
DISB-0000210,BEN-00020,COHORT-SC-001,2025-09-06,2025-09-06,6298,Paid,0,Cash
DISB-0000211,BEN-00020,COHORT-SC-001,2025-10-06,2025-10-06,4378,Paid,0,Cash
DISB-0000212,BEN-00020,COHORT-SC-001,2025-11-06,2025-11-06,4637,Paid,0,Bank Transfer
DISB-0000213,BEN-00020,COHORT-SC-001,2025-12-06,2025-12-06,7086,Paid,0,M-Pesa
DISB-0000214,BEN-00020,COHORT-SC-001,2026-01-06,2026-01-06,3420,Paid,0,M-Pesa
DISB-0000215,BEN-00020,COHORT-SC-001,2026-02-06,2026-02-06,3080,Paid,0,Bank Transfer
DISB-0000216,BEN-00020,COHORT-SC-001,2026-03-06,,6538,Withheld,0,Bank Transfer
DISB-0000217,BEN-00020,COHORT-SC-001,2026-04-06,2026-04-06,4402,Paid,0,Cash
DISB-0000218,BEN-00020,COHORT-SC-001,2026-05-06,2026-05-06,6890,Paid,0,Cash
DISB-0000219,BEN-00020,COHORT-SC-001,2026-06-06,2026-06-06,3427,Paid,0,M-Pesa
DISB-0000220,BEN-00020,COHORT-SC-001,2026-07-06,2026-07-06,5352,Paid,0,M-Pesa
DISB-0000221,BEN-00020,COHORT-SC-001,2026-08-06,2026-08-31,7355,Delayed,25,Bank Transfer
DISB-0000222,BEN-00021,COHORT-SC-001,2025-10-06,2025-10-06,7701,Paid,0,Bank Transfer
DISB-0000223,BEN-00021,COHORT-SC-001,2025-11-06,2025-11-16,4196,Delayed,10,M-Pesa
DISB-0000224,BEN-00021,COHORT-SC-001,2025-12-06,2025-12-06,5642,Paid,0,Cash
DISB-0000225,BEN-00021,COHORT-SC-001,2026-01-06,2026-01-06,5012,paid,0,Bank Transfer
DISB-0000226,BEN-00021,COHORT-SC-001,2026-02-06,2026-02-06,6399,Paid,0,Cash
DISB-0000227,BEN-00021,COHORT-SC-001,2026-03-06,2026-03-06,7469,Paid,0,Cash
DISB-0000228,BEN-00021,COHORT-SC-001,2026-04-06,2026-04-06,3489,Pending,0,Cash
DISB-0000229,BEN-00021,COHORT-SC-001,2026-05-06,2026-05-06,7028,Paid,0,Cash
DISB-0000230,BEN-00021,COHORT-SC-001,2026-06-06,2026-06-06,4062,Paid,0,Cash
DISB-0000231,BEN-00021,COHORT-SC-001,2026-07-06,,5705,Withheld,0,M-Pesa
DISB-0000232,BEN-00021,COHORT-SC-001,2026-08-06,2026-08-06,3111,Paid,0,Cash
DISB-0000233,BEN-00022,COHORT-SC-001,2025-10-06,2025-10-06,5231,Paid,0,Cash
DISB-0000234,BEN-00022,COHORT-SC-001,2025-11-06,2025-11-06,7532,Paid,0,Bank Transfer
DISB-0000235,BEN-00022,COHORT-SC-001,2025-12-06,2025-12-28,7397,Delayed,22,M-Pesa
DISB-0000236,BEN-00022,COHORT-SC-001,2026-01-06,2026-01-06,5313,Paid,0,Bank Transfer
DISB-0000237,BEN-00022,COHORT-SC-001,2026-02-06,2026-02-06,6304,Paid,0,Bank Transfer
DISB-0000238,BEN-00022,COHORT-SC-001,2026-03-06,2026-03-06,4696,Pending,0,Cash
DISB-0000239,BEN-00022,COHORT-SC-001,2026-04-06,2026-04-06,6445,Paid,0,Cash
DISB-0000240,BEN-00022,COHORT-SC-001,2026-05-06,2026-05-31,5231,Delayed,25,Bank Transfer
DISB-0000241,BEN-00022,COHORT-SC-001,2026-06-06,2026-06-06,6657,Paid,0,Cash
DISB-0000242,BEN-00022,COHORT-SC-001,2026-07-06,2026-07-06,4446,Paid,0,M-Pesa
DISB-0000243,BEN-00022,COHORT-SC-001,2026-08-06,2026-08-06,7160,Pending,0,Cash
DISB-0000244,BEN-00023,COHORT-SC-001,2025-10-06,2025-10-06,3452,Paid,0,M-Pesa
DISB-0000245,BEN-00023,COHORT-SC-001,2025-11-06,2025-11-06,6394,PAID,0,Bank Transfer
DISB-0000246,BEN-00023,COHORT-SC-001,2025-12-06,2025-12-06,6903,Paid,0,M-Pesa
DISB-0000247,BEN-00023,COHORT-SC-001,2026-01-06,2026-01-06,6763,Paid,0,M-Pesa
DISB-0000248,BEN-00023,COHORT-SC-001,2026-02-06,2026-02-06,4648,Pending,0,M-Pesa
DISB-0000249,BEN-00023,COHORT-SC-001,2026-03-06,2026-03-06,3524,Paid,0,M-Pesa
DISB-0000250,BEN-00023,COHORT-SC-001,2026-04-06,2026-04-06,4838,Paid,0,M-Pesa
DISB-0000251,BEN-00023,COHORT-SC-001,2026-05-06,2026-05-06,7808,Pending,0,M-Pesa
DISB-0000252,BEN-00023,COHORT-SC-001,2026-06-06,2026-06-06,6218,Paid,0,Cash
DISB-0000253,BEN-00023,COHORT-SC-001,2026-07-06,2026-07-06,5095,Paid,0,M-Pesa
DISB-0000254,BEN-00023,COHORT-SC-001,2026-08-06,2026-08-06,4618,Paid,0,Bank Transfer
DISB-0000255,BEN-00024,COHORT-SC-001,2025-10-06,2025-10-06,4732,Paid,0,Cash
DISB-0000256,BEN-00024,COHORT-SC-001,2025-11-06,2025-11-06,3296,Pending,0,M-Pesa
DISB-0000257,BEN-00024,COHORT-SC-001,2025-12-06,2025-12-06,7420,Paid,0,Cash
