id,donor_id,program_id,amount_kes,currency,fiscal_year,disbursed_to_date,funding_status
FUND-5f7154d8,DONOR-25e63543,PROG-ae147777,4130740,KES,2024,3783611,completed
FUND-e57b9eea,DONOR-25e63543,PROG-ae147777,3354755,KES,2025,3149152,completed
FUND-81eb0c4f,DONOR-25e63543,PROG-ae147777,3627925,KES,2026,1842203,active
FUND-6c495bc7,DONOR-bec3088f,PROG-2f07ec2b,2757461,KES,2024,2535228,completed
FUND-f6e4227e,DONOR-bec3088f,PROG-2f07ec2b,6649942,KES,2025,6559220,completed
FUND-08fda843,DONOR-bec3088f,PROG-5eed137e,2848580,KES,2026,1047957,active
FUND-35dfd641,DONOR-bec3088f,PROG-0e8639f5,12464927,KES,2026,7363745,active
FUND-41c4904a,DONOR-bec3088f,PROG-bdd0cc6c,3336091,KES,2024,3097268,completed
FUND-070d7b38,DONOR-bec3088f,PROG-c254e45c,5127709,KES,2025,4954237,completed
FUND-7061113b,DONOR-2eba112c,PROG-5af62ded,8592886,KES,2025,8055065,completed
FUND-2504640d,DONOR-2eba112c,PROG-5af62ded,8204824,KES,2026,2937559,suspended
FUND-afe0ab38,DONOR-2eba112c,PROG-a46ac700,4596961,KES,2025,4453303,completed
FUND-9615bf21,DONOR-2eba112c,PROG-a46ac700,3072011,KES,2026,1814671,active
FUND-a3705ba1,DONOR-2eba112c,PROG-dbcb96bd,9181912,KES,2026,3499395,active
FUND-62798a1c,DONOR-2eba112c,PROG-1b7c4853,6800761,KES,2026,2514414,active
FUND-50c5ada1,DONOR-2eba112c,PROG-f5f0c50b,11833734,KES,2025,11233638,completed
FUND-c6ba6c15,DONOR-2eba112c,PROG-f5f0c50b,9320310,KES,2026,3476580,suspended
FUND-efbde43e,DONOR-2eba112c,PROG-d08e679f,4524860,KES,2025,4124993,completed
FUND-4e2397f8,DONOR-2eba112c,PROG-d08e679f,4518161,KES,2026,2596894,active
FUND-6ecdafe0,DONOR-2eba112c,PROG-3cc79871,5765880,KES,2025,5168651,completed
FUND-fe1ec2b5,DONOR-2eba112c,PROG-3cc79871,5934388,KES,2026,4409238,active
FUND-4a18ff06,DONOR-2eba112c,PROG-a502bbfb,4763688,KES,2026,2559801,active
FUND-a56d09f8,DONOR-2eba112c,PROG-fc8539a4,3675185,KES,2024,3152673,completed
FUND-574dea3f,DONOR-2eba112c,PROG-fc8539a4,6031486,KES,2025,5896833,completed
FUND-4d7a95f5,DONOR-2eba112c,PROG-fc8539a4,4391281,KES,2026,2205273,active
FUND-14a42a81,DONOR-2eba112c,PROG-dd95776f,6725179,KES,2026,4694736,active
FUND-c842e527,DONOR-2eba112c,PROG-b8b2bf06,9651393,KES,2025,8745071,completed
FUND-4a1777d2,DONOR-2eba112c,PROG-b8b2bf06,9289990,KES,2026,2904835,active
FUND-281319d3,DONOR-2eba112c,PROG-483dea91,2906309,KES,2025,2487061,completed
FUND-42fca62b,DONOR-2eba112c,PROG-483dea91,4419537,KES,2026,2218036,active
FUND-b2452385,DONOR-2eba112c,PROG-b11e144c,1579708,KES,2024,1540601,completed
FUND-67a0adbc,DONOR-2eba112c,PROG-77574714,7107656,KES,2026,4614842,active
FUND-043da4cd,DONOR-2eba112c,PROG-a56e19fd,11043503,KES,2025,10445417,completed
FUND-fdb8e499,DONOR-41e4a318,PROG-f051b9cf,1506561,KES,2025,1409538,completed
FUND-bb3dcacf,DONOR-41e4a318,PROG-3cc79871,7605392,KES,2025,6541792,completed
FUND-4c9a3b60,DONOR-41e4a318,PROG-5c00be57,6255773,KES,2026,1933975,active
FUND-42b781d0,DONOR-41e4a318,PROG-5b970cc8,4272499,KES,2024,3860477,completed
FUND-0fdafac6,DONOR-41e4a318,PROG-43b7f932,13762717,KES,2024,13216035,completed
FUND-9802e31d,DONOR-41e4a318,PROG-feed88eb,8679880,KES,2026,3287853,suspended
FUND-034d90b3,DONOR-41e4a318,PROG-9fe90568,6058117,KES,2026,1989457,active
FUND-5dfa93f3,DONOR-41e4a318,PROG-3ff19543,6346548,KES,2024,5695007,completed
FUND-d81f5a37,DONOR-41e4a318,PROG-e109788d,5340545,KES,2026,1690172,suspended
FUND-40d69a72,DONOR-41e4a318,PROG-1b7c4853,3802018,KES,2025,3387531,completed
FUND-534cad33,DONOR-41e4a318,PROG-b3c8c997,10377556,KES,2025,9348678,completed
FUND-1cc7864f,DONOR-41e4a318,PROG-b3c8c997,11347057,KES,2026,8123809,active
FUND-22640bd8,DONOR-41e4a318,PROG-adb8dd55,10121922,KES,2026,4997934,active
FUND-bc9f4a62,DONOR-41e4a318,PROG-f51b3d73,4694516,KES,2026,2804568,active
FUND-d1f6cb44,DONOR-41e4a318,PROG-b9945a45,10149041,KES,2026,6194915,active
FUND-c43e229b,DONOR-a9bfc7a5,PROG-12e377cd,1814745,KES,2024,1682201,completed
FUND-99be3601,DONOR-a9bfc7a5,PROG-12e377cd,2171032,KES,2025,2121750,completed
FUND-d2c6f4f1,DONOR-a9bfc7a5,PROG-12e377cd,4777059,KES,2026,1704471,active
FUND-096dd0e8,DONOR-a9bfc7a5,PROG-05bef3b8,5072985,KES,2025,4336681,completed
FUND-0d943468,DONOR-a9bfc7a5,PROG-05bef3b8,3287132,KES,2026,1536425,active
FUND-2605552f,DONOR-a9bfc7a5,PROG-0dfc281b,9274512,KES,2026,5493315,active
FUND-f39faede,DONOR-a9bfc7a5,PROG-7470f836,12372568,KES,2025,11477559,completed
FUND-4b45d458,DONOR-a9bfc7a5,PROG-dc32c3e9,11487220,KES,2025,10133860,completed
FUND-f5336e1f,DONOR-a9bfc7a5,PROG-dc32c3e9,7358435,KES,2026,2613619,active
FUND-92b7d2b0,DONOR-a9bfc7a5,PROG-66ed5471,3366931,KES,2026,2021936,active
FUND-428904e6,DONOR-a9bfc7a5,PROG-828a29a3,7871470,KES,2024,7695970,completed
FUND-0953db42,DONOR-a9bfc7a5,PROG-828a29a3,5920762,KES,2025,5484481,completed
FUND-39ced198,DONOR-a9bfc7a5,PROG-286937a7,4822164,KES,2025,4670536,completed
FUND-9a781f02,DONOR-a9bfc7a5,PROG-ff57bf40,3900305,KES,2024,3785438,completed
FUND-f74d5227,DONOR-a9bfc7a5,PROG-373263ea,4103070,KES,2026,1966076,suspended
FUND-cfbd459a,DONOR-fe1cf3bd,PROG-0c3fbd28,6052834,KES,2024,5537694,completed
FUND-b850b71c,DONOR-fe1cf3bd,PROG-0c3fbd28,5083077,KES,2025,4437284,completed
FUND-227b8728,DONOR-fe1cf3bd,PROG-dd577742,4475154,KES,2025,4439901,completed
FUND-7d61f3ed,DONOR-fe1cf3bd,PROG-ab8ae865,7293399,KES,2026,4272296,active
FUND-dcdc17ec,DONOR-fe1cf3bd,PROG-de40b141,4121533,KES,2026,2225896,active
FUND-98944cf8,DONOR-fe1cf3bd,PROG-3f636f97,6872269,KES,2026,4098826,active
FUND-53c38abc,DONOR-fe1cf3bd,PROG-adb8dd55,3691125,KES,2024,3182427,completed
FUND-55b5a783,DONOR-fe1cf3bd,PROG-adb8dd55,7440189,KES,2025,6559429,completed
FUND-96c58d05,DONOR-fe1cf3bd,PROG-1f06b575,7185069,KES,2026,5029897,active
FUND-7b04e0b8,DONOR-fe1cf3bd,PROG-fb737e33,7384708,KES,2026,4889487,active
FUND-62169fa4,DONOR-fe1cf3bd,PROG-17ca6321,3402301,KES,2024,2972631,completed
FUND-4053495f,DONOR-fe1cf3bd,PROG-17ca6321,3531096,KES,2025,3181619,completed
FUND-d52a59b0,DONOR-fe1cf3bd,PROG-f3678757,8794356,KES,2025,7647703,completed
FUND-830778cf,DONOR-fe1cf3bd,PROG-5859e5a5,1945367,KES,2026,991967,active
FUND-53d20c03,DONOR-fe1cf3bd,PROG-36f507bd,2090883,KES,2026,900325,active
FUND-c93a9223,DONOR-60bba210,PROG-4cb533cf,3591949,KES,2024,3065644,completed
FUND-1ca1549e,DONOR-60bba210,PROG-4cb533cf,3619987,KES,2025,3193812,completed
FUND-eb24a523,DONOR-60bba210,PROG-4cb533cf,1704087,KES,2026,890730,active
FUND-25ad766e,DONOR-60bba210,PROG-83c20fad,7488330,KES,2025,6967918,completed
FUND-b0c0c2fc,DONOR-60bba210,PROG-83c20fad,2901750,KES,2026,1820496,active
FUND-355ed0b4,DONOR-60bba210,PROG-8c0627d6,4858283,KES,2025,4545129,completed
FUND-ce5fa75f,DONOR-60bba210,PROG-8c0627d6,5233658,KES,2026,2480005,active
FUND-c5b44941,DONOR-60bba210,PROG-f6c7609c,6158613,KES,2025,6135595,completed
FUND-43e0bf57,DONOR-60bba210,PROG-f6c7609c,13358865,KES,2026,9652139,active
FUND-9e0f710c,DONOR-60bba210,PROG-ced265e0,3669818,KES,2025,3394625,completed
FUND-c5ebbf9c,DONOR-60bba210,PROG-ced265e0,2380032,KES,2026,1575069,active
FUND-67f5e34f,DONOR-60bba210,PROG-9c31bb5a,6345135,KES,2026,2839985,suspended
FUND-0505a733,DONOR-60bba210,PROG-f7b3a2f9,4085790,KES,2026,1844195,suspended
FUND-0fbb0a2d,DONOR-60bba210,PROG-edd8baa9,11967375,KES,2026,7983280,active
FUND-ee38befd,DONOR-60bba210,PROG-adb8dd55,9988386,KES,2026,4379458,suspended
FUND-13b2fd29,DONOR-60bba210,PROG-0a0324fa,10962302,KES,2025,10908155,completed
FUND-280a5203,DONOR-60bba210,PROG-0a0324fa,6817541,KES,2026,3835450,active
FUND-710cf452,DONOR-60bba210,PROG-2b1fc634,4524860,KES,2025,4403816,completed
FUND-8221da68,DONOR-60bba210,PROG-8659089c,6803067,KES,2025,5801932,completed
FUND-28351c74,DONOR-60bba210,PROG-fa593e31,10884990,KES,2026,5723532,active
FUND-f2756bad,DONOR-60bba210,PROG-feed88eb,4044906,KES,2024,3752874,completed
FUND-434f007d,DONOR-60bba210,PROG-feed88eb,11025733,KES,2025,9995088,completed
FUND-e79badaf,DONOR-f800b7de,PROG-f051b9cf,4198233,KES,2025,3873403,completed
FUND-030bb918,DONOR-f800b7de,PROG-f051b9cf,2670237,KES,2026,1932366,active
FUND-baae2b4b,DONOR-f800b7de,PROG-dc32c3e9,12204110,KES,2024,10953874,completed
FUND-ea57f823,DONOR-f800b7de,PROG-dc32c3e9,8828304,KES,2025,7665450,completed
FUND-63aaaf98,DONOR-f800b7de,PROG-dc32c3e9,10619156,KES,2026,7096462,active
FUND-936027b4,DONOR-f800b7de,PROG-154089d9,3705758,KES,2024,3680919,completed
FUND-b6b0bad1,DONOR-f800b7de,PROG-154089d9,10421839,KES,2025,10026859,completed
FUND-36bfe229,DONOR-f800b7de,PROG-154089d9,7548852,KES,2026,4629538,active
FUND-e2323f7a,DONOR-f800b7de,PROG-e041816d,4607521,KES,2025,3951478,completed
FUND-2b6049cc,DONOR-f800b7de,PROG-4b1a75a8,6906349,KES,2025,5974197,completed
FUND-15e32302,DONOR-f800b7de,PROG-4b1a75a8,10925622,KES,2026,6626787,active
FUND-1287328d,DONOR-f800b7de,PROG-66ed5471,2162452,KES,2025,2141379,completed
FUND-214e091e,DONOR-f800b7de,PROG-b8b2bf06,6346315,KES,2025,5700102,completed
FUND-f83e6a8d,DONOR-f800b7de,PROG-b8b2bf06,4500901,KES,2026,2513123,active
FUND-d07beaa4,DONOR-98a66706,PROG-10beab49,4628578,KES,2025,3940725,completed
FUND-fd09f979,DONOR-98a66706,PROG-10beab49,9621073,KES,2026,4118327,suspended
FUND-e181e76c,DONOR-98a66706,PROG-a56e19fd,11852085,KES,2026,5010785,active
FUND-e4bcf401,DONOR-98a66706,PROG-3c01c9e2,7123902,KES,2026,2182321,active
FUND-9b9031ca,DONOR-98a66706,PROG-edd8baa9,6944316,KES,2025,6539068,completed
FUND-1c113198,DONOR-98a66706,PROG-edd8baa9,12644974,KES,2026,5659473,active
FUND-18de2c62,DONOR-98a66706,PROG-324887b3,3550057,KES,2024,3515883,completed
FUND-87880d38,DONOR-98a66706,PROG-324887b3,2057295,KES,2025,1886561,completed
FUND-f7ce90cb,DONOR-98a66706,PROG-dc32c3e9,8388133,KES,2026,4983872,active
FUND-f62f9fa6,DONOR-98a66706,PROG-4f7dd3ef,11808032,KES,2024,10580244,completed
FUND-316c26f6,DONOR-98a66706,PROG-4f7dd3ef,9217344,KES,2025,8789139,completed
FUND-e3368782,DONOR-98a66706,PROG-af20e065,4474954,KES,2024,4446333,completed
FUND-78bb9023,DONOR-98a66706,PROG-af20e065,6011280,KES,2025,5446483,completed
FUND-b507dd93,DONOR-98a66706,PROG-54050097,4676558,KES,2024,4452323,completed
FUND-33ec118c,DONOR-98a66706,PROG-54050097,4802472,KES,2025,4403925,completed
FUND-ebe9bb16,DONOR-98a66706,PROG-dfe287ef,5036128,KES,2024,4906781,completed
FUND-61c1edd7,DONOR-98a66706,PROG-dfe287ef,6760475,KES,2025,6079138,completed
FUND-41825c3b,DONOR-98a66706,PROG-5b970cc8,13783594,KES,2026,7167091,active
FUND-62d10b40,DONOR-98a66706,PROG-1253c3ea,5736979,KES,2025,4989976,completed
FUND-ed94082d,DONOR-98a66706,PROG-1253c3ea,5484833,KES,2026,2786680,active
FUND-bfd4feb0,DONOR-98a66706,PROG-4132bd2d,3160729,KES,2025,3040213,completed
FUND-9a19543a,DONOR-98a66706,PROG-4132bd2d,1806308,KES,2026,821939,active
FUND-80b107f2,DONOR-230e0b32,PROG-cd46d603,5526251,KES,2024,5418174,completed
FUND-523ec5ba,DONOR-230e0b32,PROG-cd46d603,5166668,KES,2025,4494735,completed
FUND-2b2e7e7f,DONOR-230e0b32,PROG-edd8baa9,12872505,KES,2025,11187521,completed
FUND-9236ff77,DONOR-230e0b32,PROG-edd8baa9,9005700,KES,2026,4578063,active
FUND-0fa6dae3,DONOR-230e0b32,PROG-d64ed648,7853123,KES,2024,6966716,completed
FUND-6109cc58,DONOR-230e0b32,PROG-d64ed648,7162177,KES,2025,7094935,completed
FUND-c46b972e,DONOR-230e0b32,PROG-c34cc69a,2946609,KES,2024,2843207,completed
FUND-06be3ea6,DONOR-230e0b32,PROG-c34cc69a,2131246,KES,2025,1843814,completed
FUND-4f163770,DONOR-230e0b32,PROG-6e2aa30e,4318671,KES,2024,4150593,completed
FUND-213a8493,DONOR-230e0b32,PROG-54f8ce8a,3965780,KES,2026,1439820,active
FUND-e749b975,DONOR-230e0b32,PROG-bdd0cc6c,2837579,KES,2025,2540384,completed
FUND-5f5c3e84,DONOR-230e0b32,PROG-de40b141,3686285,KES,2025,3299502,completed
FUND-b60c5fde,DONOR-230e0b32,PROG-eb03aa49,6963263,KES,2024,6627721,completed
FUND-70a8b6ce,DONOR-230e0b32,PROG-ab8ae865,12799030,KES,2026,5675480,active
FUND-f144892e,DONOR-230e0b32,PROG-4931b340,4515647,KES,2026,2316904,active
FUND-279bfcec,DONOR-230e0b32,PROG-f3678757,5421820,KES,2025,5352481,completed
FUND-aeddd4c9,DONOR-230e0b32,PROG-f3678757,9987842,KES,2026,5378416,active
FUND-590a54f2,DONOR-230e0b32,PROG-0dfc281b,14849923,KES,2026,4983362,active
FUND-44f680cc,DONOR-a47761f8,PROG-c63f7e98,2610559,KES,2024,2300773,completed
FUND-bd98ce26,DONOR-a47761f8,PROG-c63f7e98,4793107,KES,2025,4747927,completed
FUND-4022f2bc,DONOR-a47761f8,PROG-3ff19543,11034958,KES,2024,10531145,completed
FUND-8a846154,DONOR-a47761f8,PROG-3ff19543,9654381,KES,2025,9005721,completed
FUND-4489570c,DONOR-a47761f8,PROG-3ff19543,10822384,KES,2026,6406035,active
FUND-d55f567c,DONOR-a47761f8,PROG-a56e19fd,11818250,KES,2026,4069895,suspended
FUND-0ffb517e,DONOR-a47761f8,PROG-0e8639f5,9249960,KES,2026,4497965,suspended
FUND-a06a6236,DONOR-a47761f8,PROG-8659089c,3224088,KES,2025,3192536,completed
FUND-7ab42842,DONOR-a47761f8,PROG-8659089c,6858202,KES,2026,2527831,active
FUND-3341e415,DONOR-a47761f8,PROG-a46ac700,6779740,KES,2025,6322761,completed
FUND-f5c4e913,DONOR-a47761f8,PROG-9ce19e72,2579306,KES,2025,2478556,completed
FUND-d1353fdc,DONOR-a47761f8,PROG-9ce19e72,2205623,KES,2026,800600,suspended
FUND-3882c53b,DONOR-a47761f8,PROG-ff2c588f,4191943,KES,2026,1321387,active
FUND-465bd478,DONOR-a47761f8,PROG-eb1c24d8,3107102,KES,2025,2705117,completed
FUND-1e480899,DONOR-a47761f8,PROG-eb1c24d8,4140312,KES,2026,1259125,suspended
FUND-03d95b8d,DONOR-a47761f8,PROG-be2f87c2,11106820,KES,2026,3410674,suspended
FUND-118c8d5f,DONOR-529c747b,PROG-dd577742,1948859,KES,2025,1700057,completed
FUND-2a929272,DONOR-529c747b,PROG-dd577742,4099549,KES,2026,2733770,active
FUND-064d50ed,DONOR-529c747b,PROG-ae109715,5329408,KES,2026,2699606,active
FUND-c3f11083,DONOR-529c747b,PROG-e109788d,7848842,KES,2025,7441176,completed
FUND-2276ec55,DONOR-529c747b,PROG-fc7b354b,9799441,KES,2025,8883932,completed
FUND-d22ec169,DONOR-529c747b,PROG-fc7b354b,3158547,KES,2026,1065090,active
FUND-2b9d8c93,DONOR-529c747b,PROG-0a0324fa,4599906,KES,2024,4544122,completed
FUND-af5e7e62,DONOR-529c747b,PROG-0a0324fa,10977571,KES,2025,9407606,completed
FUND-dcad99c9,DONOR-529c747b,PROG-ff57bf40,3777635,KES,2024,3737271,completed
FUND-a42ce5c9,DONOR-529c747b,PROG-3ff19543,5419132,KES,2026,3890903,active
FUND-26dc5539,DONOR-529c747b,PROG-bdd0cc6c,2508613,KES,2026,1127066,suspended
FUND-484d8e80,DONOR-529c747b,PROG-8cf15bc4,4315798,KES,2025,4151014,completed
FUND-51cdaaff,DONOR-529c747b,PROG-9c31bb5a,5275374,KES,2026,2391152,suspended
FUND-ab2d8b8c,DONOR-529c747b,PROG-58440103,8475691,KES,2024,8010532,completed
FUND-1f0efb95,DONOR-529c747b,PROG-58440103,6827527,KES,2025,6369780,completed
FUND-07c3aea7,DONOR-529c747b,PROG-58440103,6116163,KES,2026,3653199,active
FUND-08265b38,DONOR-529c747b,PROG-eb1c24d8,7134741,KES,2024,6152328,completed
FUND-70576fc2,DONOR-529c747b,PROG-7d9bc9c1,4787874,KES,2025,4297125,completed
FUND-7218a360,DONOR-cb8d611d,PROG-c63f7e98,2857579,KES,2025,2613676,completed
FUND-20af1a4f,DONOR-cb8d611d,PROG-c63f7e98,6672329,KES,2026,2311841,active
FUND-8a527e2a,DONOR-cb8d611d,PROG-325861d4,2780679,KES,2026,849646,active
FUND-6f3cd5b5,DONOR-cb8d611d,PROG-21c51332,13595903,KES,2026,7266970,active
FUND-38a9275b,DONOR-cb8d611d,PROG-7ccb0bcb,2082337,KES,2024,1853823,completed
FUND-9dab8746,DONOR-cb8d611d,PROG-7ccb0bcb,1765361,KES,2025,1573633,completed
FUND-a634980b,DONOR-cb8d611d,PROG-1998575f,3014667,KES,2026,1882372,active
FUND-d796bba5,DONOR-cb8d611d,PROG-02a826e9,2320188,KES,2026,837519,active
FUND-482eb4a7,DONOR-9a615fd3,PROG-d08e679f,2070947,KES,2025,1947688,completed
FUND-cef3cf7f,DONOR-9a615fd3,PROG-d08e679f,2342432,KES,2026,889976,active
FUND-1fc55898,DONOR-9a615fd3,PROG-ce4fe570,13661651,KES,2024,13214862,completed
FUND-f871e928,DONOR-9a615fd3,PROG-ce4fe570,10592357,KES,2025,9583460,completed
FUND-2fcf4ae4,DONOR-9a615fd3,PROG-ce4fe570,13229132,KES,2026,4128974,suspended
FUND-5af0abce,DONOR-9a615fd3,PROG-3d5ab23d,10356053,KES,2026,6980775,active
FUND-84128018,DONOR-9a615fd3,PROG-1f8ed400,4322672,KES,2024,4084927,completed
FUND-55767fd4,DONOR-9a615fd3,PROG-56db292e,10324856,KES,2025,8890680,completed
FUND-51799306,DONOR-9a615fd3,PROG-8e0a016e,12965197,KES,2024,12005667,completed
FUND-a008b77a,DONOR-9a615fd3,PROG-8e0a016e,10031903,KES,2025,9582927,completed
FUND-6e38f559,DONOR-9a615fd3,PROG-8e0a016e,5834914,KES,2026,3769526,active
